#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0        969.08      0.51727    3.880e-01   
1       1145.50      0.63195    9.950e-02   
2       1207.30      0.80686    5.607e-02   
3       1283.20      1.06490    6.249e-02   
4       1344.05      1.25720    2.269e-02   
5       1381.40      1.36940    2.508e-03   
6       1428.65      1.34910    1.873e-02   
7       1490.30      1.36860    4.968e-02   
8       1519.90      1.36065    6.296e-03   
9       1570.50      1.27340    2.402e-02   
10      1595.05      1.49680    1.534e-02   
11      1648.20      1.29400    1.511e-02   
12      1689.45      1.25160    2.302e-02   
13      1720.30      1.30620    2.237e-03   
14      1744.70      1.26030    1.065e-02   
15      1795.20      1.34740    5.062e-02   
16      1851.25      1.30735    8.068e-03   
17      1876.50      1.26900    8.458e-03   
18      1936.55      1.10250    5.092e-02   
19      1952.70      1.10890    3.063e-03   
20      1970.15      1.16430    3.880e-03   
21      2022.30      1.15440    1.735e-02   
22      2042.05      1.02559    2.135e-02   
23      2108.80      1.00110    2.525e-02   
24      2149.30      0.97534    2.828e-02   
25      2195.20      0.92918    1.294e-02   
26      2218.30      0.94250    2.805e-03   
27      2267.20      0.79861    6.334e-03   
28      2304.80      0.94567    1.474e-02   
29      2358.40      0.93759    5.791e-03   
30      2392.15      0.89762    1.548e-02   
31      2443.30      0.89819    2.080e-03   
32      2491.70      0.92927    7.702e-03   
33      2533.30      1.03320    9.108e-03   
34      2611.90      0.87065    2.037e-02   
35      2670.70      0.84123    1.553e-02   
36      2712.90      0.92669    5.144e-03   
37      2787.40      0.90130    7.334e-03   
38      2828.10      0.78703    1.029e-02   
39      2861.80      0.86262    2.812e-03   
40      2925.40      0.88783    6.401e-03   
41      3013.40      0.77618    2.182e-03   
42      3073.80      0.84325    7.669e-03   
43      3162.50      0.84897    1.470e-03   
44      3217.85      0.70676    1.051e-02   
45      3308.90      0.81512    4.216e-03   
46      3385.75      0.77070    7.041e-03   
47      3469.80      0.81927    3.088e-03   
48      3572.40      0.80839    2.974e-03   
49      3622.70      0.81579    3.905e-03   
50      3695.90      0.95559    5.982e-03   
51      3785.10      0.98328    7.871e-04   
52      3889.35      0.93895    7.455e-03   
53      3928.60      1.03810    2.328e-03   
54      4041.25      1.04095    1.987e-03   
55      4112.50      0.94305    4.453e-03   
56      4281.85      1.03239    2.899e-03   
57      4397.80      1.00040    1.842e-03   
58      4507.60      0.99083    2.018e-03   
59      4647.70      1.00990    1.656e-03   
60      4756.70      0.95877    2.756e-03   
61      4831.70      0.99029    2.616e-03   
62      4939.65      0.98744    1.738e-03   
63      5142.50      0.89461    2.327e-03   
64      5297.30      0.77968    2.831e-03   
65      5464.80      0.73864    8.880e-03   
66      5644.90      0.79716    4.920e-04   
67      5715.30      0.78916    5.478e-03   
68      5938.50      0.69505    1.547e-03   
69      6193.50      0.70261    1.496e-03   
70      6313.80      0.76110    2.853e-03   
71      6515.50      0.70713    3.391e-03   
72      6731.70      0.69394    3.457e-03   
73      6911.80      0.59187    6.641e-03   
74      7317.30      0.49822    7.755e-03   
75      7640.80      0.51766    3.726e-03   
76      7898.80      0.47699    9.915e-04   
77      8322.40      0.41757    8.973e-04   
78      9794.90      0.34113    2.692e-03   
79     10410.00      0.31267    5.916e-04   
80     11346.00      0.27609    1.426e-04   
81     13079.00      0.22313    3.667e-05   
82     14423.50      0.16110    2.803e-04   
83     16217.00      0.13529    1.374e-04   
84     17661.50      0.11201    1.421e-02   
85     20412.00      0.08096    2.300e-03   
86     22543.50      0.09493    1.285e-02   
87     26016.00      0.03192    1.291e-02   
88     33254.00      0.01946    1.357e-02   
89     75207.00      0.00629    3.627e-03   
90    320100.00      0.00945    9.453e-03   
91    512160.00      0.00607    6.071e-03   
