#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1157.50      0.18920    1.892e-01   
1       1301.80      0.25945    7.979e-02   
2       1366.30      0.15657    5.249e-02   
3       1422.60      0.15938    3.289e-02   
4       1474.50      0.19098    4.115e-02   
5       1537.80      0.31501    3.302e-02   
6       1594.20      0.14492    8.710e-02   
7       1653.45      0.18788    7.635e-02   
8       1685.40      0.23817    1.738e-02   
9       1719.40      0.18594    3.310e-02   
10      1787.75      0.26359    3.228e-03   
11      1819.50      0.25689    1.524e-02   
12      1866.80      0.26067    9.369e-03   
13      1894.10      0.28923    6.054e-03   
14      1946.50      0.15853    2.880e-02   
15      1979.70      0.27255    1.034e-02   
16      2035.40      0.26259    8.497e-03   
17      2071.40      0.26541    9.726e-03   
18      2131.20      0.23975    4.617e-03   
19      2181.20      0.24393    5.432e-03   
20      2237.40      0.23664    1.037e-03   
21      2313.05      0.23877    2.548e-02   
22      2369.50      0.25205    1.291e-02   
23      2397.00      0.31263    1.916e-02   
24      2413.55      0.21624    5.826e-03   
25      2455.60      0.29082    2.053e-03   
26      2537.00      0.30491    5.300e-03   
27      2626.30      0.28349    4.037e-03   
28      2687.10      0.29690    6.641e-03   
29      2757.80      0.28203    1.639e-02   
30      2840.80      0.34316    2.916e-03   
31      2895.90      0.35966    4.866e-03   
32      2951.20      0.41342    1.316e-03   
33      3042.10      0.42790    8.858e-04   
34      3100.40      0.41434    2.135e-03   
35      3200.80      0.47742    1.566e-03   
36      3308.90      0.42111    5.862e-03   
37      3353.00      0.49436    4.953e-03   
38      3440.90      0.47093    2.055e-02   
39      3497.00      0.50371    8.134e-04   
40      3624.10      0.55136    1.053e-03   
41      3690.70      0.62066    2.333e-03   
42      3899.90      0.64203    2.711e-04   
43      3923.70      0.75825    8.703e-04   
44      3994.90      0.82333    1.238e-03   
45      4065.50      0.87470    1.660e-03   
46      4127.70      0.97957    2.638e-03   
47      4252.85      0.96018    1.649e-03   
48      4380.30      1.00000    5.924e-04   
49      4433.40      1.03350    1.389e-03   
50      4561.35      1.05085    9.404e-04   
51      4657.20      1.02900    4.106e-04   
52      4783.30      1.04520    3.043e-03   
53      4865.35      1.05405    6.884e-04   
54      4916.30      1.08550    5.978e-04   
55      4992.80      1.06620    1.657e-03   
56      5099.80      1.02270    2.347e-04   
57      5210.60      1.01990    1.398e-03   
58      5359.60      1.00730    1.410e-03   
59      5448.90      1.02010    1.361e-03   
60      5613.30      1.04390    2.697e-04   
61      5750.80      1.04800    5.782e-04   
62      5918.80      0.97405    1.793e-03   
63      6043.40      0.98286    2.823e-03   
64      6264.10      0.97517    2.050e-04   
65      6309.40      1.01840    4.860e-04   
66      6523.40      0.90255    8.326e-03   
67      6743.85      0.93211    4.929e-04   
68      6820.30      0.92819    4.893e-03   
69      6922.70      0.86445    1.980e-03   
70      7344.00      0.86709    4.665e-04   
71      7619.60      0.84108    2.264e-04   
72      8012.90      0.83063    2.970e-03   
73      8273.30      0.78238    5.530e-03   
74      8423.20      0.75300    8.292e-04   
75      8714.30      0.74984    3.528e-03   
76      9148.70      0.69832    6.811e-04   
77      9718.80      0.63333    6.814e-05   
78     11196.50      0.63229    4.994e-05   
79     13199.00      0.48408    1.204e-05   
80     14189.00      0.46360    4.709e-05   
81     15465.50      0.40614    7.441e-06   
82     17316.00      0.31973    1.095e-04   
83     18234.00      0.26272    1.424e-04   
84     20777.50      0.22764    2.419e-03   
85     22503.00      0.18027    6.804e-03   
86     25040.00      0.15059    1.255e-03   
87     29554.50      0.06856    6.185e-03   
88     32357.00      0.04632    1.958e-03   
89     90450.00      0.01089    1.089e-02   
90    370410.00      0.03002    8.395e-03   
91    592660.00      0.00910    9.097e-03   
