#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1302.55      0.27776    2.778e-01   
1       1403.40      0.25769    2.577e-01   
2       1555.20      0.22532    4.345e-02   
3       1639.00      0.27846    4.905e-02   
4       1743.45      0.33278    3.305e-02   
5       1800.50      0.20928    7.265e-02   
6       1838.50      0.29451    1.765e-02   
7       1874.50      0.25997    3.409e-02   
8       1953.15      0.25131    9.523e-03   
9       2047.90      0.23758    3.417e-02   
10      2093.45      0.29021    1.095e-02   
11      2134.30      0.15035    3.549e-02   
12      2171.80      0.24454    8.091e-03   
13      2228.65      0.19554    2.580e-02   
14      2319.50      0.21563    2.471e-03   
15      2361.95      0.24713    2.976e-03   
16      2405.90      0.17170    5.645e-03   
17      2506.65      0.23691    6.698e-03   
18      2575.20      0.29283    2.360e-03   
19      2618.35      0.26673    9.015e-03   
20      2668.20      0.31155    5.510e-03   
21      2724.45      0.26728    1.266e-03   
22      2782.80      0.29480    2.921e-03   
23      2849.20      0.30557    2.225e-03   
24      2886.80      0.42256    6.522e-03   
25      2937.50      0.32970    1.159e-03   
26      2973.75      0.33985    4.255e-03   
27      3047.00      0.43249    1.799e-03   
28      3081.25      0.38256    1.012e-03   
29      3127.10      0.37864    9.830e-04   
30      3225.75      0.39499    1.871e-03   
31      3280.00      0.41108    2.610e-04   
32      3407.05      0.42736    1.970e-03   
33      3521.50      0.46467    7.444e-04   
34      3624.05      0.52041    3.173e-03   
35      3679.40      0.56894    3.949e-04   
36      3742.95      0.60523    3.394e-03   
37      3795.40      0.67051    1.096e-03   
38      3823.30      0.67553    2.203e-03   
39      3894.75      0.68142    2.493e-04   
40      4010.00      0.77082    3.008e-03   
41      4100.60      0.87128    1.365e-03   
42      4251.00      0.95050    2.287e-03   
43      4376.50      0.94544    1.615e-04   
44      4464.00      0.99384    1.083e-03   
45      4500.10      1.03880    6.025e-04   
46      4573.50      1.08510    1.545e-03   
47      4768.40      1.01930    4.899e-04   
48      4940.20      1.12610    2.006e-04   
49      5052.00      1.11165    7.609e-04   
50      5111.85      1.11750    1.079e-04   
51      5226.40      1.11540    5.302e-04   
52      5378.05      1.18575    1.854e-04   
53      5517.40      1.15460    3.332e-04   
54      5584.15      1.16600    5.072e-04   
55      5682.70      1.17050    2.803e-04   
56      5919.10      1.22790    3.366e-04   
57      6079.80      1.22450    2.260e-04   
58      6117.90      1.22770    1.742e-04   
59      6204.20      1.21140    1.951e-04   
60      6244.50      1.26455    1.377e-04   
61      6459.60      1.25010    1.624e-04   
62      6805.85      1.23575    1.854e-04   
63      7009.85      1.26555    2.465e-04   
64      7377.50      1.21510    6.329e-05   
65      7517.05      1.23540    9.641e-05   
66      7678.20      1.18530    8.974e-05   
67      7708.70      1.21565    8.367e-04   
68      7764.40      1.19040    3.056e-02   
69      7863.85      1.15870    6.229e-04   
70      8146.30      1.19130    7.453e-05   
71      8429.10      1.18950    1.589e-04   
72      9296.40      1.18710    2.064e-04   
73     10312.00      1.19475    5.736e-05   
74     10360.00      1.19090    1.829e-04   
75     10507.00      1.14555    2.271e-04   
76     10660.50      1.13925    7.376e-05   
77     10734.00      1.11940    3.869e-03   
78     11475.50      1.05195    2.721e-05   
79     14928.00      0.80195    6.282e-06   
80     16357.50      0.75720    4.008e-06   
81     17384.00      0.69776    3.567e-06   
82     19936.50      0.50778    5.471e-05   
83     21643.00      0.39944    2.424e-06   
84     22431.50      0.34887    3.555e-05   
85     27632.00      0.16820    2.893e-04   
86     28482.00      0.15904    6.019e-04   
87     34323.00      0.07895    1.689e-04   
88     39079.50      0.06889    6.352e-04   
89    111740.00      0.04465    3.037e-04   
90    478470.00      0.03558    8.991e-04   
91    765550.00      0.02096    6.327e-04   
