#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1029.00      4.72680    1.651e-02   
1       1216.80      5.38750    5.108e-03   
2       1365.85      5.38990    5.424e-03   
3       1458.20      5.14060    2.816e-03   
4       1527.30      4.61250    6.115e-03   
5       1607.20      4.29430    2.169e-03   
6       1674.90      4.18600    1.705e-03   
7       1716.00      3.81160    3.136e-03   
8       1755.90      3.76990    2.484e-03   
9       1814.00      3.58860    1.805e-03   
10      1865.70      3.32430    2.472e-03   
11      1918.75      3.17530    2.744e-03   
12      1995.10      2.90590    4.460e-03   
13      2046.10      2.84790    4.634e-03   
14      2082.80      2.69200    2.183e-03   
15      2120.90      2.56160    2.265e-03   
16      2165.80      2.45475    9.727e-04   
17      2220.20      2.30940    2.026e-03   
18      2278.10      2.25850    5.580e-03   
19      2337.10      2.12090    2.327e-03   
20      2379.00      2.03400    3.487e-03   
21      2438.80      1.99010    2.832e-03   
22      2488.40      1.82930    4.375e-03   
23      2569.20      1.73440    2.807e-03   
24      2617.00      1.66410    2.556e-03   
25      2664.10      1.65380    7.727e-04   
26      2727.10      1.56660    5.491e-03   
27      2794.00      1.52500    3.546e-03   
28      2829.60      1.45520    1.218e-03   
29      2877.90      1.42450    2.639e-03   
30      2930.80      1.36600    1.757e-03   
31      3000.60      1.33030    2.517e-03   
32      3059.90      1.28070    3.280e-03   
33      3116.30      1.23700    2.591e-03   
34      3178.40      1.17770    3.059e-03   
35      3251.95      1.12085    1.644e-03   
36      3353.60      1.16870    3.534e-03   
37      3411.90      1.09830    2.937e-03   
38      3483.90      1.03510    2.436e-03   
39      3578.50      1.11735    2.643e-03   
40      3668.80      1.12670    3.275e-03   
41      3728.60      1.14200    4.179e-03   
42      3803.10      1.17000    1.956e-03   
43      3892.40      1.11310    1.538e-03   
44      3984.85      1.13200    1.386e-03   
45      4049.70      1.10780    2.915e-03   
46      4145.60      1.11110    4.045e-03   
47      4244.30      1.07280    1.928e-03   
48      4355.30      1.01900    1.730e-03   
49      4484.10      0.98740    1.701e-03   
50      4568.10      0.96072    2.306e-03   
51      4702.00      0.94251    1.799e-03   
52      4811.80      0.90782    1.956e-03   
53      4917.25      0.92104    1.386e-03   
54      5033.80      0.91984    1.618e-03   
55      5155.80      0.87493    1.868e-03   
56      5322.50      0.71990    2.434e-03   
57      5482.50      0.66577    1.539e-03   
58      5582.00      0.67498    2.640e-03   
59      5700.40      0.62678    2.953e-03   
60      5826.40      0.56459    3.806e-03   
61      5912.80      0.59604    2.558e-03   
62      6011.10      0.58207    1.265e-03   
63      6138.80      0.57679    1.406e-03   
64      6318.20      0.59768    5.367e-03   
65      6516.30      0.56366    2.698e-03   
66      6773.20      0.52150    1.577e-03   
67      6956.75      0.52119    5.485e-03   
68      7250.90      0.43340    2.035e-03   
69      7449.40      0.42788    2.483e-03   
70      7617.60      0.37869    1.488e-03   
71      7997.80      0.35114    3.350e-03   
72      8199.55      0.35624    2.979e-03   
73      8475.90      0.32864    1.961e-03   
74      9178.90      0.28000    1.420e-03   
75      9619.20      0.29028    1.741e-03   
76     10047.00      0.26562    5.447e-03   
77     10380.50      0.24637    2.836e-03   
78     10620.00      0.23447    7.485e-04   
79     12312.00      0.15925    1.128e-04   
80     14347.00      0.12606    1.495e-04   
81     15800.00      0.10698    1.447e-04   
82     17152.00      0.09567    6.496e-05   
83     19684.00      0.06787    2.821e-04   
84     21473.00      0.04739    9.840e-04   
85     22601.00      0.03638    7.521e-03   
86     26934.00      0.02197    2.197e-02   
87     30263.00      0.00912    1.771e-02   
88     37888.00      0.01053    1.053e-02   
89     92870.50      0.08979    8.979e-02   
90    380690.00      0.14725    1.472e-01   
91    609110.00      0.07156    7.156e-02   
