#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1197.40      0.67998    1.219e-01   
1       1331.90      0.79257    2.879e-02   
2       1443.50      0.80363    3.829e-02   
3       1532.30      0.74411    1.682e-02   
4       1605.60      0.65640    1.071e-02   
5       1680.20      0.71819    4.711e-03   
6       1743.20      0.71945    4.991e-02   
7       1787.20      0.74184    7.599e-03   
8       1819.90      0.68558    8.363e-03   
9       1892.20      0.66638    7.179e-03   
10      1976.80      0.61675    6.950e-03   
11      2009.00      0.54904    1.956e-02   
12      2083.80      0.53960    1.612e-02   
13      2127.50      0.54955    4.610e-03   
14      2176.80      0.48949    1.193e-02   
15      2215.40      0.47863    5.261e-03   
16      2284.00      0.48450    2.183e-03   
17      2341.90      0.46659    6.486e-03   
18      2394.00      0.45475    3.033e-03   
19      2462.25      0.46418    1.833e-02   
20      2502.20      0.51618    1.191e-03   
21      2574.60      0.54657    6.728e-03   
22      2600.00      0.49998    6.839e-03   
23      2686.60      0.55991    4.169e-03   
24      2749.10      0.56565    2.779e-03   
25      2786.80      0.53016    5.755e-03   
26      2875.50      0.53667    3.040e-03   
27      2928.70      0.56193    1.629e-03   
28      2953.40      0.59651    6.793e-04   
29      3047.70      0.58911    8.474e-03   
30      3103.10      0.60874    1.812e-03   
31      3176.80      0.59484    2.476e-03   
32      3265.60      0.61393    8.476e-04   
33      3334.20      0.58021    1.899e-03   
34      3428.40      0.59585    1.707e-03   
35      3516.00      0.60465    5.187e-03   
36      3592.20      0.65344    2.027e-03   
37      3669.80      0.69065    3.282e-03   
38      3752.40      0.75295    1.445e-03   
39      3826.70      0.80313    1.642e-03   
40      3863.30      0.82739    1.253e-03   
41      3968.30      0.88858    4.958e-04   
42      4124.30      0.92814    1.158e-03   
43      4200.30      0.97050    1.109e-03   
44      4270.55      0.96792    2.351e-03   
45      4355.50      1.00250    2.340e-03   
46      4474.10      1.01470    3.776e-04   
47      4572.90      1.03670    5.969e-04   
48      4699.50      1.03450    1.664e-03   
49      4776.00      1.05430    1.292e-03   
50      4880.80      1.05850    4.308e-04   
51      5028.00      1.00250    2.626e-04   
52      5093.00      1.03280    2.421e-03   
53      5183.50      1.01530    1.073e-03   
54      5274.80      1.00320    1.563e-03   
55      5362.80      1.00530    2.342e-04   
56      5594.10      1.01630    9.090e-04   
57      5689.25      1.01110    1.537e-03   
58      5802.90      1.01110    1.414e-03   
59      5949.40      1.03630    2.337e-04   
60      6167.00      1.07440    3.847e-04   
61      6226.80      1.07470    7.113e-04   
62      6369.10      1.08820    5.020e-04   
63      6527.90      1.08680    2.350e-04   
64      6648.10      1.12890    1.152e-03   
65      6875.30      1.03470    7.804e-04   
66      7184.20      0.99230    7.063e-04   
67      7270.00      0.96534    3.032e-03   
68      7424.40      0.96656    5.376e-04   
69      7763.95      0.94494    4.944e-04   
70      7953.80      0.94468    5.330e-04   
71      8259.20      0.92149    2.113e-04   
72      8501.00      0.88867    1.570e-04   
73      8905.10      0.86921    1.423e-03   
74      9180.40      0.86222    9.358e-05   
75      9662.50      0.85390    3.762e-04   
76     10201.00      0.89059    2.305e-04   
77     10636.00      0.83512    8.650e-05   
78     11964.00      0.77182    3.011e-05   
79     13678.00      0.65815    1.573e-05   
80     15212.00      0.57887    2.333e-05   
81     16836.00      0.50464    5.387e-06   
82     18007.50      0.46240    5.229e-06   
83     19794.00      0.37833    2.445e-04   
84     22078.00      0.27709    2.129e-04   
85     23989.00      0.18334    5.823e-03   
86     27210.00      0.11653    5.659e-04   
87     30552.00      0.10363    2.154e-03   
88     37190.00      0.07701    4.879e-04   
89     95806.00      0.00845    7.368e-05   
90    431160.00      0.00328    4.541e-04   
91    689860.00      0.00195    1.937e-04   
