#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1067.70      1.55510    6.512e-02   
1       1149.30      1.82040    2.403e-02   
2       1240.00      2.12500    2.393e-02   
3       1293.30      2.26040    9.026e-03   
4       1360.55      2.31640    1.628e-02   
5       1410.00      2.33225    7.187e-03   
6       1446.80      2.36610    6.325e-03   
7       1507.55      2.19680    1.578e-02   
8       1548.45      2.17045    1.259e-02   
9       1586.50      2.16770    6.925e-03   
10      1620.90      2.15090    8.109e-03   
11      1662.70      2.10890    7.621e-03   
12      1708.20      2.06040    6.336e-03   
13      1746.00      1.97270    7.297e-03   
14      1777.20      1.93140    7.559e-03   
15      1814.30      1.91430    4.586e-03   
16      1850.85      1.86190    5.311e-03   
17      1888.60      1.75410    6.526e-03   
18      1922.20      1.68800    5.042e-03   
19      1970.90      1.62970    4.506e-03   
20      2003.15      1.56325    4.033e-03   
21      2040.25      1.51660    3.864e-03   
22      2081.30      1.46870    1.113e-02   
23      2130.60      1.41110    7.299e-03   
24      2175.00      1.37070    6.126e-03   
25      2216.40      1.32900    5.812e-03   
26      2254.25      1.30115    6.422e-03   
27      2294.80      1.26810    7.978e-03   
28      2338.05      1.21155    9.660e-03   
29      2384.00      1.21695    5.512e-03   
30      2439.30      1.19360    4.624e-03   
31      2481.00      1.16245    3.314e-03   
32      2534.90      1.10330    6.431e-03   
33      2581.05      1.10900    7.547e-03   
34      2627.85      1.10855    5.381e-03   
35      2679.30      1.08470    9.464e-03   
36      2756.70      1.04435    6.435e-03   
37      2831.10      1.00870    5.670e-03   
38      2880.80      1.00955    7.082e-03   
39      2941.55      0.96345    4.928e-03   
40      3004.60      0.92872    8.514e-03   
41      3070.50      0.92448    4.863e-03   
42      3133.95      0.91006    7.030e-03   
43      3216.90      0.90848    5.090e-03   
44      3293.80      0.87288    7.071e-03   
45      3358.20      0.86507    5.323e-03   
46      3452.85      0.86529    3.662e-03   
47      3541.50      0.90180    3.865e-03   
48      3630.30      0.97425    3.215e-03   
49      3694.70      1.00365    4.773e-03   
50      3760.25      0.99472    3.746e-03   
51      3852.00      1.03390    3.204e-03   
52      3941.45      1.06675    2.462e-03   
53      4018.70      1.08800    2.793e-03   
54      4101.15      1.03870    3.778e-03   
55      4214.90      1.06110    2.191e-03   
56      4331.30      1.01080    2.017e-03   
57      4434.70      0.99988    2.934e-03   
58      4526.20      0.98029    2.544e-03   
59      4644.20      0.98730    1.562e-03   
60      4764.00      0.98709    2.916e-03   
61      4879.40      0.98729    2.465e-03   
62      4988.60      0.97014    3.916e-03   
63      5119.75      0.92914    1.640e-03   
64      5258.20      0.83707    2.429e-03   
65      5422.90      0.78276    3.785e-03   
66      5578.00      0.70941    4.831e-03   
67      5799.25      0.69610    1.888e-03   
68      6016.00      0.69653    2.604e-03   
69      6239.10      0.71867    4.004e-03   
70      6369.50      0.69454    4.352e-03   
71      6516.10      0.68516    3.136e-03   
72      6732.35      0.63529    2.356e-03   
73      6914.85      0.61391    2.607e-03   
74      7157.30      0.53895    3.728e-03   
75      7499.95      0.49569    3.153e-03   
76      8009.65      0.45221    3.805e-03   
77      8394.40      0.40810    3.160e-03   
78      9532.15      0.33909    6.695e-04   
79     10485.00      0.27593    4.196e-04   
80     11747.50      0.23355    9.038e-05   
81     13317.50      0.18697    8.007e-05   
82     14614.00      0.16542    7.474e-05   
83     16559.00      0.13235    2.982e-04   
84     17577.50      0.11119    2.769e-03   
85     20054.00      0.07835    6.894e-03   
86     22892.50      0.04776    5.740e-03   
87     25350.00      0.02700    1.805e-02   
88     30254.50      0.01321    1.321e-02   
89     77169.50      0.00831    8.850e-03   
90    332200.00      0.01511    1.511e-02   
91    531530.00      0.00878    8.781e-03   
