#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1115.85      2.08445    3.347e-02   
1       1283.60      2.58460    1.137e-02   
2       1387.70      2.64735    7.623e-03   
3       1467.50      2.55890    9.043e-03   
4       1548.80      2.43290    6.718e-03   
5       1611.30      2.36345    5.480e-03   
6       1670.50      2.28470    4.285e-03   
7       1719.60      2.20780    5.288e-03   
8       1771.00      2.12590    4.428e-03   
9       1820.55      2.02530    4.566e-03   
10      1872.75      1.93385    4.848e-03   
11      1926.70      1.81930    3.678e-03   
12      1980.40      1.74660    3.112e-03   
13      2030.60      1.65750    4.073e-03   
14      2082.80      1.56800    4.086e-03   
15      2131.60      1.49475    3.915e-03   
16      2179.00      1.45120    3.253e-03   
17      2228.05      1.39605    4.487e-03   
18      2275.85      1.33595    3.733e-03   
19      2322.00      1.30170    3.279e-03   
20      2371.00      1.25655    3.889e-03   
21      2422.80      1.22300    3.570e-03   
22      2477.15      1.18830    3.120e-03   
23      2530.60      1.16265    4.145e-03   
24      2583.90      1.14770    3.938e-03   
25      2637.85      1.11020    3.946e-03   
26      2687.20      1.09470    2.687e-03   
27      2743.10      1.07805    2.951e-03   
28      2801.60      1.01765    2.471e-03   
29      2853.50      1.01010    3.217e-03   
30      2903.30      1.00055    2.535e-03   
31      2968.10      0.97687    2.995e-03   
32      3032.80      0.96330    3.045e-03   
33      3100.15      0.91417    3.935e-03   
34      3168.40      0.90302    3.406e-03   
35      3229.85      0.89338    3.548e-03   
36      3305.00      0.88230    4.162e-03   
37      3376.00      0.86942    3.425e-03   
38      3460.20      0.87005    3.736e-03   
39      3540.40      0.87497    3.150e-03   
40      3619.90      0.92927    2.398e-03   
41      3692.70      0.97457    2.741e-03   
42      3775.30      1.00680    3.426e-03   
43      3844.65      1.03200    2.331e-03   
44      3936.90      1.05580    2.776e-03   
45      4029.10      1.06410    2.289e-03   
46      4119.90      1.05330    2.554e-03   
47      4224.10      1.05110    2.511e-03   
48      4342.35      1.04215    1.896e-03   
49      4434.60      0.99114    1.879e-03   
50      4524.55      0.98538    1.591e-03   
51      4637.90      0.98357    1.575e-03   
52      4748.10      0.96187    1.770e-03   
53      4856.50      0.96037    1.717e-03   
54      4971.20      0.93760    1.954e-03   
55      5087.05      0.90269    1.359e-03   
56      5202.95      0.86376    1.802e-03   
57      5351.60      0.79815    1.808e-03   
58      5471.40      0.76965    1.945e-03   
59      5580.20      0.74594    1.822e-03   
60      5709.95      0.71890    1.790e-03   
61      5854.15      0.69252    2.260e-03   
62      6002.40      0.69429    1.499e-03   
63      6142.80      0.68010    1.630e-03   
64      6299.60      0.70223    2.176e-03   
65      6486.60      0.68656    1.910e-03   
66      6667.00      0.65772    1.703e-03   
67      6864.10      0.62555    1.673e-03   
68      7055.85      0.58186    2.287e-03   
69      7293.80      0.51679    1.700e-03   
70      7517.60      0.50527    1.721e-03   
71      7714.30      0.47240    2.727e-03   
72      8047.90      0.45421    2.548e-03   
73      8381.10      0.42695    2.456e-03   
74      8937.60      0.40560    1.791e-03   
75      9325.60      0.38268    1.924e-03   
76      9701.40      0.35847    1.336e-03   
77     10255.00      0.33222    1.207e-03   
78     10627.00      0.30557    8.071e-04   
79     12539.00      0.22890    9.091e-05   
80     14417.00      0.17970    8.253e-05   
81     15890.00      0.15487    6.835e-05   
82     17180.00      0.13490    8.142e-05   
83     19148.50      0.09853    1.694e-04   
84     20923.00      0.07340    4.095e-04   
85     23302.00      0.05142    6.086e-03   
86     26110.50      0.02985    1.180e-02   
87     29591.00      0.02349    8.610e-03   
88     35974.50      0.01243    8.051e-03   
89     92897.00      0.00229    2.290e-03   
90    395795.00      0.00327    3.274e-03   
91    633275.00      0.00174    1.739e-03   
