#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1140.10      1.86920    4.064e-02   
1       1298.65      2.21925    1.531e-02   
2       1405.70      2.10650    1.134e-02   
3       1497.95      2.09505    9.165e-03   
4       1562.15      1.93340    5.922e-03   
5       1608.90      1.96490    6.667e-03   
6       1667.15      1.88385    7.628e-03   
7       1727.10      1.80070    3.891e-03   
8       1776.05      1.69125    3.303e-03   
9       1822.60      1.67725    3.779e-03   
10      1866.70      1.63270    2.874e-03   
11      1910.80      1.54365    3.502e-03   
12      1959.45      1.51225    3.476e-03   
13      2017.10      1.38080    5.862e-03   
14      2070.95      1.29440    4.094e-03   
15      2123.45      1.27220    2.706e-03   
16      2181.00      1.19125    1.575e-03   
17      2230.45      1.16530    1.864e-03   
18      2292.90      1.07700    3.314e-03   
19      2340.00      1.09330    4.426e-03   
20      2386.80      1.02670    2.359e-03   
21      2440.10      1.07080    3.162e-03   
22      2483.10      1.02585    3.312e-03   
23      2535.10      0.99888    1.390e-03   
24      2605.15      0.98450    3.830e-03   
25      2680.05      0.99713    1.537e-03   
26      2728.95      0.95591    1.988e-03   
27      2797.05      0.91804    3.787e-03   
28      2853.90      0.92195    2.114e-03   
29      2914.45      0.92042    2.552e-03   
30      2951.30      0.90155    1.500e-03   
31      3046.50      0.89688    3.234e-03   
32      3108.60      0.85476    1.687e-03   
33      3182.75      0.87029    3.322e-03   
34      3245.10      0.84444    1.117e-03   
35      3340.20      0.82851    4.378e-03   
36      3425.85      0.84333    2.958e-03   
37      3485.90      0.80044    4.305e-03   
38      3567.45      0.80177    2.458e-03   
39      3655.40      0.87188    3.467e-03   
40      3745.15      0.95601    1.217e-03   
41      3825.05      0.94542    1.362e-03   
42      3910.50      0.97879    2.208e-03   
43      4002.15      1.00735    2.175e-03   
44      4106.00      1.05670    1.599e-03   
45      4200.95      1.02365    2.406e-03   
46      4319.45      1.00400    1.959e-03   
47      4417.60      1.01150    1.559e-03   
48      4484.05      0.98799    1.867e-03   
49      4565.20      1.00970    1.576e-03   
50      4762.55      0.92283    2.019e-03   
51      4820.20      0.97710    1.130e-03   
52      4908.30      0.98754    1.764e-03   
53      4996.35      0.94859    1.892e-03   
54      5098.00      0.91186    7.311e-04   
55      5231.20      0.89637    1.990e-03   
56      5367.25      0.83844    2.020e-03   
57      5490.85      0.81454    2.643e-03   
58      5644.75      0.79962    1.509e-03   
59      5836.30      0.73163    1.869e-03   
60      5932.70      0.71584    1.554e-03   
61      6049.95      0.77846    1.669e-03   
62      6158.15      0.76589    6.111e-04   
63      6298.05      0.78206    1.976e-03   
64      6460.75      0.78680    1.149e-03   
65      6617.60      0.77465    1.464e-03   
66      6733.35      0.73551    1.327e-03   
67      6956.40      0.71632    3.680e-03   
68      7224.45      0.62979    1.347e-03   
69      7496.35      0.60112    7.240e-04   
70      7678.90      0.57284    1.476e-03   
71      8071.60      0.54882    1.098e-03   
72      8340.35      0.51529    9.265e-04   
73      8518.25      0.52219    2.989e-03   
74      9050.75      0.50038    2.445e-03   
75      9353.60      0.46775    9.651e-04   
76     10111.00      0.44638    7.809e-04   
77     10470.00      0.41913    3.814e-04   
78     10874.50      0.40547    1.894e-04   
79     13221.00      0.32815    4.633e-05   
80     14780.00      0.27941    8.531e-05   
81     16239.00      0.24231    5.066e-05   
82     17555.00      0.21096    4.903e-05   
83     19333.00      0.16276    9.712e-05   
84     21804.50      0.12194    1.624e-04   
85     23269.00      0.08505    1.186e-02   
86     26727.00      0.06432    1.093e-02   
87     30560.50      0.03932    9.923e-03   
88     36814.00      0.02545    3.654e-03   
89     93794.00      0.00490    6.349e-04   
90    418780.00      0.00451    1.265e-03   
91    670045.00      0.00228    1.051e-03   
