#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1117.60      1.49710    4.920e-02   
1       1258.60      1.91910    2.201e-02   
2       1366.60      2.16300    1.021e-02   
3       1443.70      2.20700    1.059e-02   
4       1512.20      2.05590    9.125e-03   
5       1573.50      1.99730    8.167e-03   
6       1628.60      1.99750    7.353e-03   
7       1682.40      1.91155    4.559e-03   
8       1732.30      1.84170    6.734e-03   
9       1778.10      1.80040    5.011e-03   
10      1824.80      1.75140    4.619e-03   
11      1867.10      1.67110    5.371e-03   
12      1916.70      1.58920    4.666e-03   
13      1965.80      1.52670    3.947e-03   
14      2014.30      1.43840    4.216e-03   
15      2051.20      1.37020    4.919e-03   
16      2098.70      1.34030    4.431e-03   
17      2154.40      1.29380    3.240e-03   
18      2197.00      1.24210    3.836e-03   
19      2240.80      1.18460    3.710e-03   
20      2282.60      1.16350    3.672e-03   
21      2329.20      1.15150    5.363e-03   
22      2385.60      1.11590    2.758e-03   
23      2433.80      1.08970    2.676e-03   
24      2484.50      1.06200    2.696e-03   
25      2528.90      1.06720    3.646e-03   
26      2580.70      1.02060    4.134e-03   
27      2629.40      1.01800    5.200e-03   
28      2686.80      1.00730    4.190e-03   
29      2747.70      0.98378    2.165e-03   
30      2794.00      0.96708    2.465e-03   
31      2841.30      0.93564    2.374e-03   
32      2897.60      0.92765    3.776e-03   
33      2962.10      0.91690    3.071e-03   
34      3031.00      0.90043    3.812e-03   
35      3101.70      0.88317    3.274e-03   
36      3170.10      0.87086    2.663e-03   
37      3233.10      0.85093    4.099e-03   
38      3305.60      0.84539    5.395e-03   
39      3377.30      0.82471    3.126e-03   
40      3455.50      0.83546    3.566e-03   
41      3539.40      0.85334    2.771e-03   
42      3617.60      0.90269    3.441e-03   
43      3686.70      0.93887    3.629e-03   
44      3779.10      0.97173    2.410e-03   
45      3862.70      1.02090    2.467e-03   
46      3952.50      1.04920    1.671e-03   
47      4033.40      1.04450    1.873e-03   
48      4117.40      1.02150    2.599e-03   
49      4237.40      1.03240    2.196e-03   
50      4349.40      1.00780    1.598e-03   
51      4443.10      1.00765    1.685e-03   
52      4548.80      0.97799    2.254e-03   
53      4673.30      0.95252    1.561e-03   
54      4783.00      0.97062    1.583e-03   
55      4869.00      0.96018    1.276e-03   
56      4986.60      0.94034    1.828e-03   
57      5126.10      0.90472    1.852e-03   
58      5255.60      0.85006    1.672e-03   
59      5382.80      0.80652    1.399e-03   
60      5494.30      0.76829    2.591e-03   
61      5637.60      0.74663    1.634e-03   
62      5795.60      0.71935    1.697e-03   
63      5918.60      0.69731    1.370e-03   
64      6085.70      0.69717    1.429e-03   
65      6275.60      0.72732    2.342e-03   
66      6469.05      0.71870    1.729e-03   
67      6633.00      0.68900    1.547e-03   
68      6807.80      0.66098    2.049e-03   
69      7021.80      0.61816    3.004e-03   
70      7236.50      0.55740    1.646e-03   
71      7429.40      0.53558    2.014e-03   
72      7632.20      0.51755    1.418e-03   
73      8063.20      0.47155    1.845e-03   
74      8384.10      0.44670    1.646e-03   
75      9035.10      0.40581    2.344e-03   
76      9485.80      0.38563    1.175e-03   
77      9952.20      0.36121    1.054e-03   
78     10539.00      0.34974    1.598e-03   
79     11755.00      0.26508    8.331e-05   
80     13740.00      0.21108    6.114e-05   
81     15366.50      0.17471    6.918e-05   
82     16782.00      0.16067    7.073e-05   
83     18454.00      0.11909    1.393e-04   
84     20342.00      0.08903    2.481e-04   
85     22482.00      0.06078    4.065e-03   
86     25429.00      0.04260    9.592e-03   
87     28356.00      0.02886    6.760e-03   
88     35635.00      0.01483    8.015e-03   
89     90409.00      0.00175    1.306e-03   
90    385475.00      0.00256    2.561e-03   
91    616760.00      0.00125    1.249e-03   
