#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1071.90      0.40983    4.098e-01   
1       1246.30      0.36434    2.839e-01   
2       1352.00      0.36433    1.434e-01   
3       1419.90      0.39160    3.552e-01   
4       1480.30      0.32220    5.234e-02   
5       1528.45      0.46486    1.261e-01   
6       1577.50      0.24564    1.666e-01   
7       1609.40      0.42402    1.231e-01   
8       1667.25      0.36804    6.216e-02   
9       1719.50      0.23087    1.922e-01   
10      1775.15      0.34363    8.351e-02   
11      1821.30      0.32308    6.850e-02   
12      1868.30      0.35850    5.102e-02   
13      1900.80      0.30933    3.818e-02   
14      1944.70      0.22692    4.268e-02   
15      1984.35      0.26745    3.018e-02   
16      2033.80      0.37779    4.765e-02   
17      2094.45      0.24223    4.663e-02   
18      2138.00      0.28035    5.408e-02   
19      2181.75      0.28709    4.724e-03   
20      2213.80      0.24206    2.057e-02   
21      2255.60      0.20577    4.111e-02   
22      2307.55      0.16397    4.816e-02   
23      2348.30      0.30484    3.930e-02   
24      2415.45      0.28658    5.619e-03   
25      2457.90      0.25443    1.379e-02   
26      2514.10      0.28615    1.108e-02   
27      2576.40      0.34298    1.965e-02   
28      2641.30      0.30579    8.865e-03   
29      2691.80      0.36353    1.149e-02   
30      2732.20      0.33543    6.542e-03   
31      2784.70      0.32800    1.104e-02   
32      2841.40      0.31222    1.357e-02   
33      2910.80      0.36086    1.694e-02   
34      3020.50      0.41683    4.734e-02   
35      3079.90      0.40963    9.941e-03   
36      3148.20      0.42725    9.880e-03   
37      3202.50      0.43382    5.070e-03   
38      3290.10      0.40274    2.050e-02   
39      3346.00      0.14511    1.636e-01   
40      3467.35      0.50853    6.862e-03   
41      3531.90      0.54646    7.872e-03   
42      3609.50      0.62006    4.238e-03   
43      3691.40      0.62169    1.193e-02   
44      3815.30      0.73250    3.444e-03   
45      3899.65      0.84869    3.208e-03   
46      3966.90      0.82723    2.198e-03   
47      4054.30      0.81520    3.502e-03   
48      4188.95      0.92400    2.150e-03   
49      4290.10      1.00350    2.478e-03   
50      4347.70      0.91049    3.079e-03   
51      4436.30      0.98874    3.573e-03   
52      4514.90      1.00665    6.144e-03   
53      4687.70      1.07950    1.470e-03   
54      4744.60      1.06260    4.838e-03   
55      4894.80      1.07530    1.775e-03   
56      5002.90      1.12150    2.582e-03   
57      5160.40      1.17845    1.094e-03   
58      5242.20      1.11750    6.219e-04   
59      5391.65      1.01769    1.720e-03   
60      5503.90      1.14750    4.891e-03   
61      5600.20      1.22730    7.290e-04   
62      5716.95      1.18065    2.167e-03   
63      5823.30      1.17870    3.146e-03   
64      6025.00      1.24155    3.374e-03   
65      6196.40      1.32470    3.040e-03   
66      6301.25      1.33400    2.589e-04   
67      6570.30      1.43730    1.271e-03   
68      6831.30      1.39440    1.989e-03   
69      6967.60      1.36595    5.694e-04   
70      7305.10      1.26860    1.680e-03   
71      7384.20      1.30135    1.027e-03   
72      7618.50      1.32940    8.420e-04   
73      7692.70      1.30515    1.701e-03   
74      8290.70      1.37590    1.267e-03   
75      8821.30      1.36180    8.157e-04   
76      9278.30      1.42415    3.734e-04   
77      9719.30      1.47250    2.314e-04   
78     10745.00      1.42575    5.760e-05   
79     12056.00      1.36370    1.525e-05   
80     13719.00      1.29095    2.496e-05   
81     15262.00      1.19930    1.106e-05   
82     16095.00      1.09160    1.638e-05   
83     18231.50      0.99491    1.096e-04   
84     20141.00      0.78317    5.245e-04   
85     22211.50      0.57487    5.650e-04   
86     25258.00      0.38968    2.915e-03   
87     28209.00      0.30634    4.618e-03   
88     35511.00      0.14994    1.835e-03   
89     85058.50      0.09868    3.728e-04   
90    338320.00      0.06679    1.758e-03   
91    541310.00      0.02493    9.240e-04   
