#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1136.80      1.45970    3.706e-02   
1       1313.70      1.84570    6.296e-03   
2       1417.25      1.88690    6.285e-03   
3       1520.65      1.77380    1.104e-02   
4       1585.30      1.73940    7.451e-03   
5       1649.50      1.77340    8.410e-03   
6       1698.60      1.65060    3.291e-03   
7       1743.00      1.63965    5.857e-03   
8       1795.45      1.60175    3.688e-03   
9       1842.80      1.52360    4.075e-03   
10      1885.90      1.47675    4.528e-03   
11      1949.30      1.35000    3.514e-03   
12      2003.20      1.27170    3.597e-03   
13      2057.50      1.22105    4.363e-03   
14      2105.40      1.16220    1.807e-03   
15      2155.75      1.12400    1.534e-03   
16      2206.70      1.06580    4.748e-03   
17      2257.50      1.01100    3.647e-03   
18      2307.65      1.04575    4.226e-03   
19      2360.55      0.99260    2.092e-03   
20      2412.00      0.96030    3.030e-03   
21      2473.55      0.97542    2.364e-03   
22      2519.90      0.95396    3.198e-03   
23      2571.65      0.92497    2.829e-03   
24      2612.50      0.92507    2.220e-03   
25      2674.50      0.92698    2.121e-03   
26      2727.05      0.92435    2.582e-03   
27      2786.85      0.88373    2.062e-03   
28      2828.00      0.85037    2.194e-03   
29      2885.45      0.86573    1.909e-03   
30      2933.05      0.87029    1.506e-03   
31      2986.10      0.87862    1.806e-03   
32      3058.00      0.83112    2.006e-03   
33      3122.00      0.82956    2.135e-03   
34      3192.55      0.80208    1.991e-03   
35      3255.85      0.79781    2.877e-03   
36      3331.70      0.78667    2.820e-03   
37      3403.35      0.79696    3.441e-03   
38      3479.40      0.80500    1.953e-03   
39      3571.30      0.82593    1.397e-03   
40      3627.40      0.88400    1.480e-03   
41      3696.80      0.89253    3.169e-03   
42      3769.65      0.94334    1.488e-03   
43      3858.80      0.94788    1.821e-03   
44      3942.20      1.01450    1.117e-03   
45      4013.25      1.02930    2.749e-03   
46      4101.30      1.02025    2.217e-03   
47      4201.50      1.02390    1.325e-03   
48      4330.80      1.01545    8.973e-04   
49      4435.20      1.00880    8.873e-04   
50      4520.90      0.97941    1.472e-03   
51      4640.00      0.96250    9.801e-04   
52      4765.30      0.96900    1.161e-03   
53      4871.00      0.96948    1.291e-03   
54      4973.70      0.95796    1.065e-03   
55      5075.60      0.92314    9.962e-04   
56      5188.10      0.89992    9.761e-04   
57      5339.70      0.85202    1.110e-03   
58      5453.05      0.82437    1.534e-03   
59      5584.85      0.79048    8.165e-04   
60      5714.20      0.78975    7.762e-04   
61      5898.10      0.76537    9.329e-04   
62      6052.80      0.75874    9.885e-04   
63      6184.90      0.74257    1.054e-03   
64      6309.90      0.76648    1.188e-03   
65      6536.20      0.75509    1.203e-03   
66      6712.90      0.73932    1.268e-03   
67      6863.05      0.69266    9.299e-04   
68      7052.60      0.65851    2.278e-03   
69      7292.00      0.61197    9.277e-04   
70      7508.20      0.57461    7.261e-04   
71      7667.50      0.55108    8.984e-04   
72      8109.65      0.52385    1.547e-03   
73      8470.15      0.48879    9.967e-04   
74      9163.00      0.47042    1.671e-03   
75      9529.35      0.44242    5.183e-04   
76      9976.80      0.42011    1.104e-03   
77     10314.00      0.38438    4.982e-04   
78     10631.50      0.37411    3.733e-04   
79     12312.00      0.31007    5.473e-05   
80     14400.50      0.22891    4.451e-05   
81     15997.00      0.21097    2.913e-05   
82     17386.00      0.17066    2.729e-05   
83     19385.50      0.12816    1.251e-04   
84     21276.00      0.09163    7.527e-05   
85     23473.00      0.06775    4.442e-03   
86     26169.00      0.04395    7.927e-03   
87     30247.00      0.03214    3.876e-03   
88     37290.50      0.01760    2.209e-03   
89     95132.00      0.00236    5.012e-04   
90    425300.00      0.00159    1.592e-03   
91    690700.00      0.00089    8.852e-04   
