#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1124.15      0.74443    1.144e-01   
1       1273.60      0.94228    2.072e-02   
2       1394.80      1.12970    1.391e-02   
3       1453.90      1.24450    2.507e-02   
4       1516.60      1.16545    1.289e-02   
5       1577.40      1.19695    5.331e-03   
6       1635.80      1.21740    6.952e-03   
7       1696.75      1.13795    6.504e-03   
8       1738.15      1.12740    3.944e-03   
9       1781.45      1.13105    4.326e-03   
10      1824.40      1.07710    4.551e-03   
11      1878.80      1.02290    5.424e-03   
12      1928.10      1.03010    3.267e-03   
13      1979.30      0.97435    3.064e-03   
14      2035.50      0.89998    4.008e-03   
15      2071.50      0.87674    4.102e-03   
16      2117.45      0.83905    5.390e-03   
17      2162.15      0.80148    7.534e-03   
18      2219.70      0.80437    4.299e-03   
19      2266.20      0.73620    4.549e-03   
20      2294.70      0.72827    4.448e-03   
21      2340.00      0.72876    3.678e-03   
22      2369.80      0.74200    4.083e-03   
23      2422.65      0.69980    4.749e-03   
24      2472.35      0.71393    2.245e-03   
25      2516.50      0.75887    1.821e-03   
26      2567.70      0.77487    6.069e-03   
27      2608.80      0.72374    3.311e-03   
28      2675.80      0.77614    2.519e-03   
29      2721.35      0.73061    2.910e-03   
30      2802.20      0.71841    2.371e-03   
31      2867.75      0.73869    1.949e-03   
32      2902.35      0.77462    1.012e-03   
33      2960.90      0.72911    1.344e-03   
34      3038.80      0.78093    9.106e-03   
35      3089.80      0.73704    2.886e-03   
36      3159.35      0.72973    5.023e-03   
37      3239.05      0.71782    2.233e-03   
38      3324.80      0.74599    6.420e-03   
39      3377.80      0.72284    3.160e-03   
40      3456.45      0.73151    2.684e-03   
41      3541.10      0.75290    1.635e-03   
42      3617.00      0.79645    3.111e-03   
43      3710.85      0.81143    2.306e-03   
44      3808.55      0.85164    2.562e-03   
45      3893.15      0.88817    2.320e-03   
46      3973.10      0.94661    1.911e-03   
47      4090.15      0.99616    1.325e-03   
48      4179.05      1.01170    1.038e-03   
49      4282.45      0.97618    9.294e-04   
50      4405.50      1.00840    1.311e-03   
51      4493.90      1.01650    1.998e-03   
52      4588.50      0.99624    1.497e-03   
53      4692.15      1.01015    1.366e-03   
54      4811.70      0.98529    1.261e-03   
55      4916.15      0.97146    9.293e-04   
56      5023.55      0.97584    8.080e-04   
57      5149.05      0.94190    9.689e-04   
58      5363.20      0.91775    8.141e-04   
59      5470.25      0.89823    6.606e-04   
60      5608.30      0.91796    8.015e-04   
61      5766.85      0.86994    1.239e-03   
62      5914.60      0.82074    9.860e-04   
63      5985.75      0.84651    7.684e-04   
64      6132.30      0.85943    5.362e-04   
65      6289.50      0.84099    1.322e-03   
66      6462.00      0.91823    9.416e-04   
67      6658.55      0.86987    1.367e-03   
68      6803.35      0.91148    9.231e-04   
69      7083.75      0.79405    6.939e-04   
70      7359.50      0.73646    2.789e-03   
71      7578.35      0.71665    7.681e-04   
72      7848.20      0.72046    4.338e-04   
73      8194.90      0.67687    6.528e-04   
74      8500.60      0.64579    1.090e-03   
75      8903.45      0.63789    6.149e-04   
76      9458.15      0.61055    1.014e-03   
77      9971.30      0.59941    2.387e-04   
78     10397.00      0.55886    1.124e-04   
79     12106.00      0.47031    6.413e-05   
80     13803.00      0.40532    1.227e-05   
81     15585.00      0.34776    3.335e-05   
82     16869.00      0.31545    2.363e-05   
83     18217.50      0.26063    3.848e-05   
84     20898.50      0.17922    8.881e-05   
85     22759.50      0.14655    6.743e-04   
86     25278.00      0.08596    4.381e-03   
87     29059.00      0.06997    2.659e-03   
88     35480.50      0.04633    1.475e-03   
89     92046.00      0.01110    3.449e-04   
90    388460.00      0.00645    1.520e-03   
91    621535.00      0.00204    2.037e-03   
