#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1109.60      0.83140    1.454e-01   
1       1176.65      0.89807    1.435e-02   
2       1259.90      1.06693    3.790e-02   
3       1355.60      1.20830    5.973e-03   
4       1414.60      1.30990    7.101e-03   
5       1452.45      1.29950    1.534e-02   
6       1525.45      1.28610    9.232e-03   
7       1571.35      1.24740    4.656e-03   
8       1610.30      1.30995    1.184e-02   
9       1636.85      1.34425    5.643e-03   
10      1682.25      1.28480    2.259e-03   
11      1723.00      1.26310    5.911e-03   
12      1764.35      1.23635    4.263e-03   
13      1795.70      1.27190    1.101e-02   
14      1844.60      1.25805    4.778e-03   
15      1877.25      1.17505    4.990e-03   
16      1917.60      1.12560    3.815e-03   
17      1944.05      1.10050    3.770e-03   
18      2001.00      1.05730    1.445e-03   
19      2020.75      1.04500    2.680e-03   
20      2048.80      0.96825    6.845e-03   
21      2101.70      0.89326    2.641e-03   
22      2169.40      0.91458    3.684e-03   
23      2214.00      0.84513    3.343e-03   
24      2269.85      0.83372    1.736e-03   
25      2291.90      0.85942    4.838e-03   
26      2328.45      0.81190    1.254e-02   
27      2370.30      0.83043    9.759e-03   
28      2410.10      0.85137    6.752e-03   
29      2471.50      0.86157    2.221e-03   
30      2496.55      0.81817    2.148e-03   
31      2554.35      0.85199    3.118e-03   
32      2598.55      0.78339    8.439e-03   
33      2636.90      0.84473    6.858e-03   
34      2724.90      0.83929    5.934e-03   
35      2800.15      0.82776    2.975e-03   
36      2851.70      0.84376    4.470e-03   
37      2905.40      0.81824    6.892e-03   
38      2952.30      0.81754    2.924e-03   
39      3042.95      0.79659    4.656e-03   
40      3117.60      0.79828    1.925e-03   
41      3184.20      0.82651    4.641e-03   
42      3250.95      0.79309    1.231e-03   
43      3302.85      0.79414    2.571e-03   
44      3373.75      0.77639    5.792e-03   
45      3448.95      0.74744    7.062e-03   
46      3539.60      0.87567    3.450e-03   
47      3673.50      0.88982    1.605e-03   
48      3726.30      0.89855    1.788e-03   
49      3810.60      0.93009    8.122e-04   
50      3894.95      0.94778    1.246e-03   
51      4013.65      1.03235    1.842e-03   
52      4055.05      0.99737    1.001e-03   
53      4121.75      1.05120    3.544e-03   
54      4205.40      1.01600    2.735e-03   
55      4389.20      1.00500    6.144e-04   
56      4496.90      0.96932    7.086e-04   
57      4563.95      1.00375    1.588e-03   
58      4652.65      0.99130    1.319e-03   
59      4786.65      0.94817    2.656e-04   
60      4912.45      0.98546    8.934e-04   
61      4996.85      0.98087    3.073e-03   
62      5074.50      0.90561    2.200e-03   
63      5289.50      0.86219    1.586e-03   
64      5454.85      0.83537    1.186e-03   
65      5579.20      0.82563    1.099e-03   
66      5838.60      0.76697    1.930e-03   
67      5957.50      0.80085    4.324e-04   
68      6192.80      0.78551    6.665e-04   
69      6402.05      0.81329    4.688e-03   
70      6518.70      0.83666    3.058e-03   
71      6725.00      0.77681    4.465e-04   
72      6847.80      0.77747    9.340e-04   
73      6966.65      0.74356    4.699e-03   
74      7296.15      0.66797    1.093e-03   
75      7837.90      0.58786    2.277e-04   
76      8266.70      0.53408    1.361e-03   
77      8528.50      0.53147    2.664e-04   
78      9492.25      0.50020    5.047e-04   
79     10866.50      0.42495    6.872e-05   
80     12433.00      0.36971    2.407e-05   
81     13669.50      0.29725    3.979e-05   
82     14678.00      0.26465    3.293e-05   
83     16931.00      0.23745    2.912e-05   
84     18005.50      0.19121    8.711e-04   
85     20702.00      0.14895    2.133e-03   
86     23399.00      0.08429    2.279e-03   
87     25577.00      0.06814    1.541e-03   
88     30570.50      0.03202    2.534e-03   
89     77604.50      0.00185    9.103e-05   
90    326180.00      0.00091    4.227e-04   
91    521890.00      0.00045    4.476e-04   
