#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1161.40      0.62941    1.028e-01   
1       1294.75      1.01090    4.801e-02   
2       1422.15      1.11220    1.850e-02   
3       1471.40      1.09100    9.447e-03   
4       1554.50      1.02870    3.448e-02   
5       1650.35      1.08375    1.875e-02   
6       1707.25      1.03695    2.228e-02   
7       1752.60      1.03745    5.352e-03   
8       1806.25      0.98787    1.154e-02   
9       1856.45      1.01305    5.214e-03   
10      1895.10      0.92350    6.525e-03   
11      1958.75      0.86197    1.457e-02   
12      2005.00      0.86901    1.576e-02   
13      2062.35      0.77745    1.160e-02   
14      2084.65      0.71139    4.077e-03   
15      2137.05      0.70395    2.040e-03   
16      2200.95      0.65774    1.847e-02   
17      2256.00      0.67123    6.168e-03   
18      2296.60      0.67205    1.323e-02   
19      2337.45      0.61477    7.198e-03   
20      2385.10      0.66125    2.508e-03   
21      2438.20      0.63639    8.066e-03   
22      2473.35      0.65039    7.030e-03   
23      2527.55      0.64796    5.118e-03   
24      2577.35      0.68732    4.921e-03   
25      2617.50      0.69254    3.218e-03   
26      2686.90      0.71168    4.894e-03   
27      2794.15      0.64140    6.279e-03   
28      2850.80      0.67414    8.749e-03   
29      2892.45      0.66840    1.189e-03   
30      2946.05      0.67607    3.905e-03   
31      2999.80      0.69068    3.237e-03   
32      3054.80      0.69263    7.071e-03   
33      3109.30      0.66351    2.672e-03   
34      3197.40      0.65878    1.755e-03   
35      3282.40      0.64880    2.686e-03   
36      3372.30      0.67255    3.357e-03   
37      3447.35      0.70620    3.879e-03   
38      3512.05      0.69313    2.512e-03   
39      3611.75      0.73544    1.691e-03   
40      3715.70      0.76561    1.765e-03   
41      3797.40      0.81207    3.994e-03   
42      3894.25      0.87563    1.003e-03   
43      3986.15      0.91758    1.672e-03   
44      4056.10      0.95851    4.330e-03   
45      4112.50      0.98304    1.380e-03   
46      4208.65      0.99353    2.529e-03   
47      4362.45      1.02385    1.108e-03   
48      4453.90      1.00980    1.437e-03   
49      4548.20      0.98912    1.918e-03   
50      4728.40      0.99996    1.084e-03   
51      4833.30      1.01470    9.847e-04   
52      4902.20      0.99848    9.643e-04   
53      4952.70      0.98037    8.816e-04   
54      5068.30      0.97810    7.372e-04   
55      5205.25      0.95547    1.615e-03   
56      5350.25      0.95237    1.008e-03   
57      5444.00      0.91906    1.460e-03   
58      5595.00      0.91146    6.757e-04   
59      5819.55      0.89177    1.200e-03   
60      5932.40      0.89625    7.870e-04   
61      6006.15      0.92758    6.206e-04   
62      6110.55      0.92977    5.218e-04   
63      6231.70      0.91043    6.540e-04   
64      6471.25      0.96226    1.409e-03   
65      6612.95      0.97434    7.044e-04   
66      6767.30      0.89548    9.891e-04   
67      6922.70      0.93030    1.078e-03   
68      7148.70      0.90906    1.453e-03   
69      7398.25      0.79041    9.790e-04   
70      7623.05      0.79791    5.248e-04   
71      8161.05      0.76266    1.980e-03   
72      8253.25      0.72799    5.554e-04   
73      8343.05      0.73789    3.221e-03   
74      8551.75      0.74002    4.074e-04   
75      9320.60      0.71894    5.968e-04   
76      9988.80      0.69900    2.905e-04   
77     10422.00      0.68402    4.201e-04   
78     10728.50      0.65796    7.247e-05   
79     13499.00      0.54101    3.107e-05   
80     14390.50      0.49380    1.939e-05   
81     16503.50      0.40507    3.033e-05   
82     17349.50      0.40790    1.184e-05   
83     19249.50      0.31265    1.255e-04   
84     21846.00      0.21876    8.257e-04   
85     22932.50      0.14835    2.066e-03   
86     26636.00      0.13405    2.701e-03   
87     30481.00      0.09062    1.787e-03   
88     36863.00      0.06393    2.106e-03   
89     92306.00      0.03005    5.001e-04   
90    381865.00      0.01159    2.349e-03   
91    610985.00      0.00421    3.096e-03   
