#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1252.10      0.51548    5.909e-02   
1       1385.90      0.37443    4.933e-02   
2       1449.95      0.34924    2.896e-02   
3       1513.30      0.44064    1.196e-02   
4       1580.80      0.39819    1.576e-02   
5       1655.20      0.39786    7.557e-03   
6       1737.40      0.41911    1.753e-02   
7       1777.30      0.37114    1.593e-02   
8       1818.45      0.35052    2.494e-02   
9       1860.55      0.38256    2.789e-03   
10      1942.30      0.38053    7.769e-02   
11      2006.20      0.36883    5.053e-03   
12      2063.65      0.29053    1.934e-02   
13      2125.30      0.35319    4.656e-03   
14      2171.90      0.35335    1.189e-02   
15      2218.55      0.36567    3.075e-03   
16      2262.00      0.32311    4.161e-03   
17      2335.30      0.35057    1.192e-02   
18      2404.00      0.32643    1.064e-02   
19      2468.20      0.33116    1.557e-02   
20      2541.25      0.32955    1.819e-02   
21      2601.05      0.34806    1.916e-03   
22      2646.65      0.37238    8.825e-03   
23      2693.60      0.35377    9.805e-03   
24      2759.50      0.38504    9.876e-04   
25      2839.20      0.37440    8.125e-03   
26      2921.00      0.44960    7.274e-03   
27      2976.65      0.36131    1.015e-02   
28      3032.95      0.44703    1.637e-03   
29      3103.60      0.45145    1.739e-03   
30      3184.70      0.44322    1.605e-03   
31      3264.50      0.47093    7.416e-03   
32      3344.70      0.48641    5.085e-03   
33      3476.15      0.47001    4.628e-03   
34      3562.20      0.56679    8.116e-03   
35      3629.50      0.57661    5.608e-03   
36      3716.05      0.63088    1.583e-03   
37      3753.85      0.64955    1.586e-03   
38      3840.80      0.74602    2.979e-03   
39      3935.45      0.75001    2.206e-03   
40      4067.90      0.90004    2.706e-03   
41      4181.20      0.96672    1.175e-03   
42      4233.15      0.97023    2.483e-03   
43      4273.75      0.94384    2.434e-03   
44      4378.90      1.00620    6.067e-04   
45      4529.15      1.02395    6.561e-04   
46      4600.30      0.97374    1.705e-03   
47      4685.30      1.02640    1.863e-03   
48      4764.70      1.01700    4.071e-04   
49      4896.85      1.01640    8.756e-04   
50      5048.30      0.99558    2.106e-03   
51      5112.60      1.01705    1.338e-03   
52      5180.00      0.99769    4.971e-03   
53      5267.30      1.01800    3.934e-04   
54      5480.80      0.99403    5.986e-04   
55      5596.80      0.98243    4.041e-04   
56      5660.60      1.00820    2.135e-03   
57      5786.55      0.97565    2.791e-04   
58      5922.80      0.95542    4.288e-04   
59      6037.10      0.94938    1.934e-03   
60      6152.05      0.92799    1.332e-03   
61      6244.90      0.92534    2.002e-03   
62      6363.80      0.92341    5.474e-04   
63      6610.25      0.90321    4.348e-04   
64      6894.10      0.85091    2.162e-03   
65      7160.00      0.83935    2.239e-03   
66      7326.80      0.78008    7.825e-04   
67      7432.00      0.77311    1.189e-03   
68      7605.65      0.77619    4.271e-04   
69      7825.80      0.76597    7.578e-04   
70      7905.25      0.76946    3.306e-03   
71      8076.65      0.76215    3.340e-03   
72      8532.20      0.71936    7.382e-04   
73      8776.30      0.67851    2.156e-03   
74      9500.35      0.64377    5.428e-04   
75     10151.00      0.63161    1.084e-03   
76     10475.50      0.59356    1.896e-03   
77     10639.50      0.59420    2.203e-03   
78     12173.00      0.48135    6.556e-05   
79     14273.00      0.39466    3.158e-05   
80     15702.50      0.34147    2.226e-05   
81     16790.00      0.29639    3.721e-05   
82     18369.00      0.27021    6.275e-05   
83     20786.00      0.16913    1.193e-03   
84     22052.00      0.14219    2.258e-04   
85     24988.00      0.08988    4.468e-03   
86     27405.50      0.07524    6.933e-03   
87     29437.00      0.03324    1.270e-02   
88     37837.50      0.02769    4.065e-03   
89     92721.00      0.00442    4.420e-03   
90    460240.00      0.00362    3.623e-03   
91    736380.00      0.00257    2.572e-03   
