#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1083.00      4.28500    2.104e-02   
1       1204.30      5.04570    1.312e-02   
2       1299.80      5.05250    6.839e-03   
3       1394.25      4.88695    5.405e-03   
4       1463.80      4.60070    6.457e-03   
5       1538.20      4.22520    5.509e-03   
6       1589.60      4.07840    6.509e-03   
7       1635.30      3.88530    5.343e-03   
8       1688.30      3.69215    3.599e-03   
9       1734.70      3.54100    5.313e-03   
10      1780.10      3.37930    3.862e-03   
11      1825.70      3.24845    5.813e-03   
12      1867.40      3.08050    4.275e-03   
13      1908.75      2.93470    4.367e-03   
14      1957.20      2.80530    4.716e-03   
15      2006.40      2.64520    4.504e-03   
16      2052.65      2.51660    5.101e-03   
17      2102.10      2.41880    3.060e-03   
18      2147.70      2.30940    3.387e-03   
19      2197.10      2.20420    3.807e-03   
20      2248.70      2.13380    5.206e-03   
21      2295.20      2.04245    4.416e-03   
22      2338.00      1.95380    4.039e-03   
23      2384.60      1.88240    4.277e-03   
24      2436.70      1.79300    4.763e-03   
25      2487.60      1.73860    4.630e-03   
26      2541.35      1.65520    4.692e-03   
27      2590.40      1.62250    3.591e-03   
28      2637.60      1.55660    2.597e-03   
29      2689.85      1.49900    3.394e-03   
30      2752.50      1.44000    3.479e-03   
31      2814.25      1.39675    3.549e-03   
32      2872.20      1.34000    3.328e-03   
33      2935.30      1.28780    2.884e-03   
34      2996.70      1.23635    3.024e-03   
35      3070.70      1.19540    2.870e-03   
36      3140.85      1.13880    3.600e-03   
37      3203.50      1.11570    2.759e-03   
38      3277.20      1.08450    4.211e-03   
39      3352.35      1.07100    4.363e-03   
40      3425.90      1.05160    4.780e-03   
41      3504.85      1.05425    3.493e-03   
42      3585.00      1.09370    2.649e-03   
43      3667.00      1.15350    2.410e-03   
44      3749.20      1.15285    3.101e-03   
45      3831.20      1.16330    2.791e-03   
46      3921.30      1.15480    1.977e-03   
47      4003.55      1.10435    2.426e-03   
48      4098.50      1.09370    2.593e-03   
49      4211.95      1.04330    2.757e-03   
50      4320.30      1.02240    1.816e-03   
51      4414.90      0.99488    2.060e-03   
52      4509.45      0.97480    2.642e-03   
53      4624.10      0.97800    2.239e-03   
54      4734.10      0.98112    2.310e-03   
55      4860.80      1.01590    1.973e-03   
56      4955.70      1.01020    1.804e-03   
57      5064.90      0.95142    1.856e-03   
58      5200.40      0.86628    2.119e-03   
59      5349.10      0.76026    1.970e-03   
60      5484.40      0.68788    2.652e-03   
61      5616.10      0.65764    2.369e-03   
62      5788.15      0.62920    3.169e-03   
63      5957.50      0.59998    2.258e-03   
64      6105.75      0.61374    1.937e-03   
65      6249.20      0.63623    2.724e-03   
66      6412.90      0.61095    3.348e-03   
67      6550.55      0.59928    4.091e-03   
68      6746.30      0.57129    2.876e-03   
69      6908.55      0.53404    2.766e-03   
70      7109.40      0.46201    4.312e-03   
71      7395.70      0.42167    2.539e-03   
72      7624.25      0.39292    2.636e-03   
73      8052.50      0.37222    2.577e-03   
74      8411.40      0.33218    4.133e-03   
75      8972.65      0.30981    3.003e-03   
76      9386.00      0.29873    1.872e-03   
77     10040.00      0.27088    1.473e-03   
78     10557.00      0.24430    7.927e-04   
79     11637.00      0.18122    1.565e-04   
80     13539.00      0.13471    1.374e-04   
81     14985.00      0.11859    1.077e-04   
82     16636.50      0.10104    1.519e-04   
83     17996.00      0.08203    2.618e-04   
84     20009.00      0.06027    2.138e-03   
85     22271.50      0.04048    5.770e-03   
86     24939.00      0.02490    1.039e-02   
87     28133.50      0.01759    1.772e-02   
88     35065.00      0.00800    1.135e-02   
89     86884.00      0.00187    1.872e-03   
90    341320.00      0.00325    3.254e-03   
91    546110.00      0.00173    1.734e-03   
