#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1095.50      0.62291    6.229e-01   
1       1216.90      0.30100    3.010e-01   
2       1274.90      0.25508    2.551e-01   
3       1362.30      0.30436    3.044e-01   
4       1426.60      0.22843    2.284e-01   
5       1469.40      0.18642    1.864e-01   
6       1543.30      0.19765    1.502e-01   
7       1571.30      0.22799    2.280e-01   
8       1622.80      0.30523    3.052e-01   
9       1670.90      0.19860    8.041e-02   
10      1741.70      0.20479    1.071e-01   
11      1766.80      0.21007    1.532e-01   
12      1793.90      0.18934    1.262e-01   
13      1828.00      0.13443    6.019e-02   
14      1895.90      0.26814    2.681e-01   
15      1941.20      0.17726    1.773e-01   
16      1993.30      0.14175    1.417e-01   
17      2011.60      0.12021    1.142e-01   
18      2069.80      0.15709    1.403e-01   
19      2101.70      0.17571    1.757e-01   
20      2156.90      0.12902    1.290e-01   
21      2194.60      0.12212    1.221e-01   
22      2241.20      0.16165    1.154e-01   
23      2306.00      0.17930    8.278e-02   
24      2343.50      0.18926    9.682e-02   
25      2398.60      0.14486    9.346e-02   
26      2459.20      0.25405    9.200e-02   
27      2480.80      0.20230    1.327e-01   
28      2563.20      0.20500    1.519e-01   
29      2586.00      0.23129    2.325e-02   
30      2664.30      0.25754    5.042e-02   
31      2710.95      0.14826    1.483e-01   
32      2780.90      0.21221    7.625e-02   
33      2841.90      0.24821    4.020e-02   
34      2881.20      0.26959    5.938e-02   
35      2922.90      0.29283    4.395e-02   
36      3015.20      0.30519    6.112e-02   
37      3101.00      0.31222    3.681e-02   
38      3198.50      0.31305    7.797e-02   
39      3270.80      0.36524    2.034e-02   
40      3332.00      0.31758    4.799e-02   
41      3376.70      0.53028    1.941e-02   
42      3456.80      0.56251    3.264e-02   
43      3526.00      0.44789    5.211e-02   
44      3575.80      0.49706    1.751e-02   
45      3665.90      0.67241    9.243e-03   
46      3783.30      0.65076    1.379e-02   
47      3831.00      0.70250    3.324e-02   
48      3903.60      0.83216    1.537e-02   
49      4010.30      0.85634    6.365e-03   
50      4136.80      0.89815    8.681e-03   
51      4200.10      0.98190    4.563e-03   
52      4258.40      1.00770    1.765e-02   
53      4381.40      0.96077    6.586e-03   
54      4469.00      0.91284    2.067e-02   
55      4627.40      1.19500    8.215e-03   
56      4691.30      1.10110    7.830e-03   
57      4746.30      1.17055    9.698e-03   
58      4908.30      1.15660    1.223e-02   
59      5058.10      1.24000    7.285e-03   
60      5170.40      1.35460    3.914e-03   
61      5215.00      1.29620    3.712e-03   
62      5445.80      1.29900    4.645e-03   
63      5582.30      1.47910    2.107e-03   
64      5712.60      1.47260    1.155e-02   
65      5828.30      1.52930    5.443e-03   
66      6043.10      1.59110    1.301e-02   
67      6191.40      1.67320    5.783e-03   
68      6430.50      1.80410    4.834e-03   
69      6583.15      1.86465    9.654e-03   
70      6798.20      1.89800    1.081e-03   
71      6898.50      1.75310    2.294e-03   
72      7166.80      1.77040    8.967e-03   
73      7249.80      1.79480    1.317e-02   
74      7550.60      1.90290    1.476e-03   
75      8001.10      2.03640    2.492e-03   
76      8987.90      2.11640    3.679e-03   
77      9560.70      2.16250    2.767e-04   
78     10190.00      2.19360    2.978e-04   
79     11403.00      2.14300    5.191e-05   
80     12900.00      2.08670    3.492e-05   
81     14435.00      1.96280    2.144e-05   
82     15534.50      1.80865    2.704e-05   
83     17179.00      1.70740    7.916e-04   
84     18819.00      1.42030    1.532e-03   
85     21255.00      0.98404    2.781e-04   
86     23982.00      0.66165    6.439e-03   
87     26464.00      0.50208    4.294e-03   
88     33144.00      0.28270    6.355e-04   
89     79835.00      0.08248    3.639e-04   
90    362040.00      0.04153    6.777e-04   
91    579270.00      0.02695    3.726e-04   
