#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1130.20      3.22330    3.598e-02   
1       1312.00      3.41530    1.250e-02   
2       1401.85      3.48700    5.373e-03   
3       1492.40      3.28560    1.481e-02   
4       1569.70      3.09790    1.631e-02   
5       1625.20      3.06790    1.729e-02   
6       1689.75      2.76720    1.137e-02   
7       1730.90      2.78990    5.285e-03   
8       1800.30      2.50970    1.660e-02   
9       1844.50      2.39550    3.604e-03   
10      1899.50      2.23485    1.287e-02   
11      1931.90      2.14920    9.664e-03   
12      1997.20      2.09890    1.206e-02   
13      2065.20      1.96590    1.029e-02   
14      2118.35      1.81640    9.959e-03   
15      2164.10      1.84500    1.010e-02   
16      2207.50      1.76240    1.158e-02   
17      2258.10      1.60310    8.989e-03   
18      2289.40      1.71450    1.347e-02   
19      2332.90      1.48050    1.143e-02   
20      2363.90      1.48270    8.779e-03   
21      2411.70      1.45270    4.395e-03   
22      2458.30      1.37820    7.476e-03   
23      2550.00      1.30650    1.026e-02   
24      2573.10      1.24450    8.367e-03   
25      2617.80      1.27590    3.717e-03   
26      2665.90      1.23930    7.740e-03   
27      2716.50      1.23450    1.977e-02   
28      2776.30      1.21590    9.384e-03   
29      2831.70      1.11540    9.035e-03   
30      2875.20      1.12430    7.505e-03   
31      2908.50      1.07340    6.203e-03   
32      2978.60      1.06150    1.497e-02   
33      3025.50      1.00480    6.597e-03   
34      3099.10      1.10755    9.222e-03   
35      3164.60      0.99956    1.118e-02   
36      3225.10      0.99243    1.183e-02   
37      3285.60      0.92892    7.935e-03   
38      3377.90      0.89128    3.342e-02   
39      3429.80      0.85340    1.229e-02   
40      3546.30      1.01180    7.503e-03   
41      3605.70      1.03360    4.416e-03   
42      3671.00      1.13200    2.433e-03   
43      3726.90      1.16440    5.549e-03   
44      3825.70      1.19780    6.060e-03   
45      3912.80      1.12190    7.648e-03   
46      3982.30      1.11550    6.174e-03   
47      4036.40      1.11680    5.080e-03   
48      4167.00      1.08480    6.992e-03   
49      4319.40      1.00840    2.650e-03   
50      4435.25      0.99774    4.878e-03   
51      4527.30      0.97172    2.817e-03   
52      4639.90      0.98404    4.585e-03   
53      4707.00      1.10310    2.059e-03   
54      4858.60      1.17155    1.636e-03   
55      4929.00      1.08640    3.023e-03   
56      5039.80      1.13090    6.694e-03   
57      5181.90      0.99030    1.001e-02   
58      5318.80      0.88258    2.946e-03   
59      5483.80      0.85628    4.443e-03   
60      5608.30      0.77637    1.612e-03   
61      5764.80      0.69997    1.577e-03   
62      5971.70      0.69382    3.078e-03   
63      6145.20      0.69516    4.695e-03   
64      6232.30      0.78751    4.976e-03   
65      6370.00      0.72676    3.857e-03   
66      6566.65      0.66897    2.692e-03   
67      6812.40      0.64128    6.949e-03   
68      6888.60      0.59738    3.573e-03   
69      7085.60      0.58090    5.021e-03   
70      7528.50      0.49291    4.725e-03   
71      7721.20      0.45063    2.934e-03   
72      8000.00      0.40477    1.925e-02   
73      8429.50      0.41273    5.550e-03   
74      8719.70      0.42178    5.488e-03   
75      9451.20      0.37033    4.929e-03   
76      9602.60      0.35581    9.569e-03   
77      9885.50      0.28906    3.896e-03   
78     10431.00      0.27895    6.499e-04   
79     12595.00      0.19450    2.248e-04   
80     13991.00      0.17701    1.988e-04   
81     15805.00      0.12995    1.478e-04   
82     16971.00      0.11220    2.726e-04   
83     18664.00      0.08093    1.518e-04   
84     20948.00      0.06110    2.368e-03   
85     22995.00      0.03464    3.335e-02   
86     25551.50      0.04171    1.649e-02   
87     29758.00      0.02090    8.803e-03   
88     35506.00      0.01419    1.419e-02   
89     94066.00      0.00403    4.032e-03   
90    393905.00      0.00598    5.975e-03   
91    630250.00      0.00391    3.908e-03   
