#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1086.10      0.78702    4.138e-02   
1       1274.30      1.08245    2.190e-02   
2       1361.80      1.22875    2.507e-02   
3       1422.50      1.23640    5.700e-03   
4       1522.60      1.18490    1.630e-02   
5       1563.00      1.18295    6.615e-03   
6       1613.50      1.13575    4.007e-03   
7       1675.20      1.21300    4.867e-03   
8       1705.85      1.26710    6.190e-03   
9       1754.60      1.15210    7.522e-03   
10      1803.80      1.12230    1.190e-02   
11      1837.60      1.10505    9.364e-03   
12      1875.20      1.07405    3.425e-03   
13      1916.20      1.07180    5.122e-03   
14      1964.80      1.03970    2.973e-03   
15      2017.00      0.96073    3.893e-03   
16      2064.10      0.89887    3.398e-03   
17      2109.10      0.87313    3.501e-03   
18      2152.55      0.84613    4.904e-03   
19      2190.95      0.82312    5.360e-03   
20      2234.70      0.83523    3.742e-03   
21      2270.15      0.77164    6.015e-03   
22      2312.70      0.81469    2.116e-03   
23      2364.60      0.79871    2.426e-03   
24      2412.70      0.79368    3.362e-03   
25      2478.55      0.78136    4.770e-03   
26      2522.05      0.78138    4.474e-03   
27      2561.20      0.78063    2.620e-03   
28      2625.80      0.77853    1.650e-03   
29      2688.60      0.77423    2.249e-03   
30      2746.15      0.80182    2.189e-03   
31      2801.45      0.77583    2.871e-03   
32      2834.30      0.70122    4.385e-03   
33      2881.40      0.75169    5.110e-03   
34      2945.80      0.75158    2.613e-03   
35      3019.95      0.71984    3.157e-03   
36      3108.85      0.72368    2.467e-03   
37      3177.60      0.71932    2.991e-03   
38      3236.40      0.67496    5.222e-03   
39      3315.00      0.71625    4.275e-03   
40      3370.30      0.70188    3.808e-03   
41      3478.30      0.77312    1.657e-03   
42      3587.55      0.70356    3.672e-03   
43      3668.20      0.80693    1.228e-03   
44      3726.95      0.83654    3.821e-03   
45      3802.65      0.89529    3.210e-03   
46      3913.45      0.93752    1.433e-03   
47      3985.50      0.99330    1.502e-03   
48      4090.85      0.99581    1.722e-03   
49      4208.25      1.02205    1.172e-03   
50      4337.35      0.99160    1.231e-03   
51      4407.95      1.01970    1.844e-03   
52      4497.30      1.02515    2.101e-03   
53      4569.15      0.96162    1.190e-03   
54      4667.00      0.99000    8.545e-04   
55      4839.30      0.96548    1.058e-03   
56      4931.20      0.96161    1.219e-03   
57      5032.05      0.90063    7.769e-04   
58      5185.25      0.91795    9.599e-04   
59      5364.55      0.84279    1.261e-03   
60      5464.00      0.85334    1.012e-03   
61      5611.95      0.82254    9.402e-04   
62      5744.60      0.76907    2.682e-03   
63      5899.50      0.77277    2.695e-03   
64      6032.00      0.75889    1.657e-03   
65      6112.75      0.76998    3.483e-03   
66      6309.60      0.79209    8.188e-04   
67      6570.30      0.76885    1.575e-03   
68      6734.30      0.76706    9.105e-04   
69      6916.35      0.69241    9.268e-04   
70      7359.65      0.64418    7.880e-04   
71      7554.35      0.60406    3.722e-03   
72      7688.55      0.60050    1.871e-03   
73      7865.40      0.56914    3.725e-03   
74      8140.95      0.55637    1.801e-03   
75      8626.85      0.51326    7.226e-04   
76      9265.60      0.49239    5.722e-04   
77     10011.00      0.43132    7.742e-04   
78     10569.00      0.41094    9.455e-04   
79     12346.00      0.34237    6.083e-05   
80     13308.50      0.30227    2.365e-05   
81     15403.00      0.23911    3.532e-05   
82     16448.00      0.21497    9.338e-05   
83     18080.50      0.17437    4.276e-05   
84     20336.00      0.11922    9.315e-03   
85     22107.00      0.09813    6.912e-04   
86     25046.00      0.05760    2.097e-03   
87     28408.50      0.04134    1.375e-02   
88     34405.50      0.02729    3.779e-03   
89     86964.00      0.00373    5.494e-04   
90    363815.00      0.00299    2.987e-03   
91    582105.00      0.00167    1.671e-03   
