#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1233.00      0.70681    4.853e-02   
1       1390.20      0.82048    1.475e-02   
2       1503.50      0.81623    1.286e-02   
3       1570.95      0.74829    1.253e-02   
4       1643.90      0.82086    2.022e-02   
5       1710.65      0.75652    4.606e-03   
6       1759.90      0.80555    1.186e-02   
7       1821.90      0.77321    4.386e-03   
8       1871.00      0.74667    7.228e-03   
9       1934.05      0.67685    1.420e-02   
10      1994.20      0.70895    1.093e-02   
11      2040.55      0.62139    3.227e-03   
12      2103.20      0.58072    3.983e-03   
13      2159.85      0.56425    1.958e-03   
14      2220.80      0.57108    2.761e-03   
15      2271.95      0.54427    3.304e-03   
16      2340.10      0.53820    1.321e-02   
17      2387.30      0.56293    1.996e-03   
18      2447.50      0.54640    5.867e-03   
19      2488.95      0.55963    2.441e-03   
20      2547.20      0.54891    8.051e-03   
21      2588.40      0.55701    2.580e-03   
22      2637.90      0.55556    3.740e-03   
23      2703.05      0.60522    1.365e-03   
24      2772.40      0.60846    6.668e-03   
25      2870.75      0.59509    8.028e-03   
26      2905.70      0.58020    1.568e-03   
27      2963.50      0.59116    2.492e-03   
28      3044.20      0.60549    7.594e-04   
29      3086.00      0.61379    1.322e-03   
30      3165.80      0.58241    2.869e-03   
31      3238.40      0.60843    6.431e-03   
32      3326.20      0.59130    3.532e-03   
33      3415.50      0.62221    4.298e-03   
34      3493.05      0.62075    1.292e-03   
35      3552.40      0.64551    1.746e-03   
36      3625.90      0.65797    2.671e-03   
37      3731.90      0.73938    7.840e-04   
38      3831.80      0.79803    2.671e-03   
39      3928.80      0.85386    1.443e-03   
40      4012.40      0.89637    1.617e-03   
41      4078.80      0.92863    4.732e-03   
42      4184.45      0.95532    9.758e-04   
43      4283.70      0.99902    1.131e-03   
44      4357.15      0.99787    7.335e-04   
45      4436.60      1.00100    1.341e-03   
46      4548.35      1.01695    2.428e-03   
47      4676.70      1.00000    8.632e-04   
48      4801.55      0.98402    1.024e-03   
49      4923.00      0.99308    1.041e-03   
50      5009.00      0.99562    1.508e-03   
51      5085.60      0.95371    1.051e-03   
52      5168.00      0.94123    4.688e-04   
53      5276.50      0.94305    1.798e-03   
54      5376.95      0.92595    1.087e-03   
55      5539.20      0.94281    8.588e-04   
56      5615.00      0.92619    7.211e-04   
57      5771.30      0.89520    1.404e-03   
58      5933.95      0.90385    1.774e-03   
59      6092.70      0.90962    3.858e-04   
60      6158.40      0.88944    1.447e-03   
61      6242.60      0.90437    5.672e-04   
62      6423.70      0.94691    9.734e-04   
63      6717.85      0.90850    7.540e-04   
64      6821.00      0.94278    8.679e-04   
65      6939.25      0.89199    9.340e-04   
66      7124.60      0.84155    8.694e-04   
67      7381.20      0.79873    1.235e-03   
68      7493.40      0.78868    6.361e-04   
69      7675.70      0.77046    2.136e-03   
70      8105.10      0.72821    4.587e-04   
71      8365.55      0.71135    3.461e-04   
72      8631.40      0.68485    4.243e-03   
73      8919.15      0.66034    5.671e-04   
74      9407.60      0.66685    5.777e-04   
75      9857.60      0.62491    1.063e-03   
76     10424.00      0.58777    2.138e-03   
77     10611.50      0.60785    8.353e-04   
78     11919.00      0.52206    4.350e-05   
79     14254.50      0.40546    1.722e-05   
80     15612.00      0.37733    2.788e-05   
81     17315.00      0.32131    2.018e-05   
82     18503.00      0.27850    5.657e-05   
83     20394.50      0.21934    6.541e-05   
84     22220.00      0.15041    4.529e-04   
85     25191.50      0.09998    5.811e-03   
86     27704.00      0.06580    6.788e-03   
87     31746.00      0.05854    4.729e-03   
88     38287.00      0.03526    5.894e-03   
89     96335.00      0.00747    1.022e-03   
90    458355.00      0.00360    2.856e-03   
91    733375.00      0.00192    1.917e-03   
