#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1076.25      0.85120    7.501e-02   
1       1232.45      1.21205    1.622e-02   
2       1327.55      1.50335    1.050e-02   
3       1402.00      1.51390    9.295e-03   
4       1463.20      1.65960    1.385e-02   
5       1510.70      1.51050    8.742e-03   
6       1556.50      1.48610    6.657e-03   
7       1604.15      1.49735    7.830e-03   
8       1654.65      1.47135    5.459e-03   
9       1694.00      1.47070    5.043e-03   
10      1737.15      1.42945    5.931e-03   
11      1787.10      1.37360    5.328e-03   
12      1820.90      1.36760    5.385e-03   
13      1875.10      1.31930    4.438e-03   
14      1907.85      1.25180    2.271e-03   
15      1966.65      1.19120    3.595e-03   
16      2016.30      1.15655    7.127e-03   
17      2072.65      1.07605    5.413e-03   
18      2115.10      1.08530    3.891e-03   
19      2152.75      0.99393    3.645e-03   
20      2209.70      0.98536    2.694e-03   
21      2246.15      0.95995    2.944e-03   
22      2288.55      0.93346    7.414e-03   
23      2337.25      0.90616    4.066e-03   
24      2366.95      0.88034    2.603e-03   
25      2431.50      0.88506    3.317e-03   
26      2477.80      0.92281    2.205e-03   
27      2529.05      0.87014    4.781e-03   
28      2586.10      0.90441    2.753e-03   
29      2631.45      0.86807    3.703e-03   
30      2695.90      0.87357    2.636e-03   
31      2756.70      0.83681    3.380e-03   
32      2815.70      0.84591    2.486e-03   
33      2880.60      0.83953    1.737e-03   
34      2930.85      0.80333    2.485e-03   
35      2994.20      0.80927    4.599e-03   
36      3057.40      0.82276    2.790e-03   
37      3119.90      0.79340    2.763e-03   
38      3176.20      0.78070    3.145e-03   
39      3249.85      0.79045    1.714e-03   
40      3330.55      0.78116    4.050e-03   
41      3410.40      0.76886    3.795e-03   
42      3499.95      0.77464    3.487e-03   
43      3576.55      0.85197    2.187e-03   
44      3646.00      0.87435    2.217e-03   
45      3723.35      0.90807    3.218e-03   
46      3813.45      0.97276    1.353e-03   
47      3907.00      1.00309    1.957e-03   
48      3982.10      0.99811    1.022e-03   
49      4071.05      1.04830    1.066e-03   
50      4161.70      1.05620    1.288e-03   
51      4284.90      1.00530    2.733e-03   
52      4377.60      1.03360    1.224e-03   
53      4469.10      0.97022    1.194e-03   
54      4557.20      0.97564    1.665e-03   
55      4686.00      0.99242    1.324e-03   
56      4794.35      0.97586    8.888e-04   
57      4907.15      0.94923    1.421e-03   
58      4989.10      0.92363    1.123e-03   
59      5115.20      0.93969    9.321e-04   
60      5272.90      0.87316    7.988e-04   
61      5427.35      0.83474    1.358e-03   
62      5579.60      0.80274    1.278e-03   
63      5725.10      0.76677    1.186e-03   
64      5902.95      0.75145    1.468e-03   
65      6043.65      0.74667    1.732e-03   
66      6168.50      0.75049    1.612e-03   
67      6271.15      0.77662    2.003e-03   
68      6473.50      0.79163    1.268e-03   
69      6649.45      0.76136    2.260e-03   
70      6846.90      0.71008    8.826e-04   
71      7140.85      0.62708    9.419e-04   
72      7500.55      0.57576    1.449e-03   
73      7815.65      0.55214    9.334e-04   
74      8216.45      0.49284    1.964e-03   
75      8540.20      0.48608    7.123e-04   
76      8991.50      0.44454    3.666e-03   
77      9495.10      0.42386    8.677e-04   
78     10402.00      0.36216    3.855e-04   
79     11294.00      0.34149    5.201e-05   
80     13121.00      0.26446    4.551e-05   
81     14471.50      0.23190    4.147e-05   
82     16222.50      0.19827    5.300e-05   
83     17518.00      0.16514    4.872e-05   
84     19783.00      0.11388    7.385e-04   
85     22083.50      0.08021    2.149e-03   
86     24168.00      0.04753    8.498e-03   
87     27990.00      0.03725    4.290e-03   
88     34325.00      0.01530    4.892e-03   
89     87035.00      0.00246    8.491e-04   
90    387000.00      0.00239    2.392e-03   
91    619200.00      0.00123    1.226e-03   
