#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1183.60      0.74262    3.038e-02   
1       1381.00      0.80620    5.135e-02   
2       1484.10      0.85270    1.478e-02   
3       1571.30      0.97541    1.627e-02   
4       1624.90      0.90130    1.611e-02   
5       1690.00      1.01470    1.011e-02   
6       1715.70      0.92254    8.343e-03   
7       1778.40      1.02490    7.680e-03   
8       1837.20      0.84633    4.902e-03   
9       1861.20      0.78636    1.343e-03   
10      1918.10      0.81691    6.394e-03   
11      2002.50      0.75007    1.834e-03   
12      2027.70      0.74143    4.536e-03   
13      2079.40      0.69316    4.139e-03   
14      2112.80      0.66947    4.659e-03   
15      2187.10      0.62472    6.540e-03   
16      2216.75      0.58010    2.512e-03   
17      2288.00      0.59998    2.657e-03   
18      2353.60      0.56402    8.594e-03   
19      2374.40      0.60679    4.511e-03   
20      2401.70      0.57507    4.556e-03   
21      2482.90      0.59259    3.661e-03   
22      2553.70      0.58159    4.140e-03   
23      2611.30      0.62189    2.245e-03   
24      2659.50      0.62623    1.208e-03   
25      2709.20      0.63001    3.485e-03   
26      2797.40      0.62716    1.672e-03   
27      2824.35      0.57012    4.283e-03   
28      2879.80      0.63569    1.379e-03   
29      2951.70      0.65102    1.901e-03   
30      3024.50      0.60275    5.656e-03   
31      3086.90      0.63065    8.349e-04   
32      3171.00      0.62160    2.383e-03   
33      3228.00      0.63668    1.194e-03   
34      3313.20      0.62050    6.677e-03   
35      3374.60      0.64331    1.421e-03   
36      3460.90      0.63801    2.158e-03   
37      3535.30      0.69208    3.274e-03   
38      3652.15      0.67585    1.474e-03   
39      3713.40      0.74568    2.961e-03   
40      3805.50      0.79582    1.509e-03   
41      3901.10      0.87985    3.242e-03   
42      3996.00      0.99822    1.684e-03   
43      4052.00      0.94369    1.794e-03   
44      4155.50      0.95525    2.249e-03   
45      4277.10      0.98382    3.425e-03   
46      4373.10      0.99162    9.236e-04   
47      4432.50      1.04300    1.575e-03   
48      4594.80      0.98778    1.221e-03   
49      4706.40      1.01750    7.024e-04   
50      4771.40      0.96528    7.904e-04   
51      4838.90      1.01460    1.217e-03   
52      4992.30      0.96421    3.865e-04   
53      5125.50      0.95932    1.716e-03   
54      5180.60      0.92376    9.525e-04   
55      5294.70      0.92845    1.393e-03   
56      5401.50      0.88710    9.637e-04   
57      5562.10      0.90482    2.338e-03   
58      5638.90      0.88235    1.725e-03   
59      5739.80      0.88265    7.488e-04   
60      5862.60      0.85855    4.721e-04   
61      6008.45      0.85562    8.556e-04   
62      6218.20      0.85523    3.656e-04   
63      6317.70      0.84095    5.744e-04   
64      6536.80      0.88238    1.063e-03   
65      6652.80      0.88055    2.965e-03   
66      6853.70      0.81394    6.284e-04   
67      7027.30      0.78386    1.607e-03   
68      7206.70      0.74897    8.309e-04   
69      7547.40      0.69132    2.496e-04   
70      7594.70      0.70546    4.414e-03   
71      7966.70      0.65018    5.277e-04   
72      8253.75      0.65453    4.132e-03   
73      8678.20      0.58465    2.240e-03   
74      9040.70      0.56393    1.316e-03   
75      9388.60      0.56230    4.021e-04   
76      9817.10      0.54417    1.280e-03   
77     10550.00      0.50198    2.018e-04   
78     10997.00      0.47372    9.388e-05   
79     13548.00      0.36440    3.816e-05   
80     14995.00      0.31461    3.645e-05   
81     16280.00      0.27636    3.340e-05   
82     17773.00      0.23767    1.483e-05   
83     19874.00      0.18311    3.078e-04   
84     21826.00      0.11700    1.942e-05   
85     24167.00      0.10127    7.314e-03   
86     26458.00      0.06199    1.113e-02   
87     30261.00      0.04467    6.141e-03   
88     36245.00      0.02471    4.573e-03   
89     94378.00      0.01146    9.088e-04   
90    435770.00      0.00288    2.879e-03   
91    697230.00      0.00167    1.672e-03   
