#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1176.90      0.30812    1.633e-01   
1       1338.20      0.50873    7.216e-02   
2       1406.00      0.67274    2.198e-02   
3       1476.55      0.62176    3.231e-02   
4       1556.70      0.67167    2.901e-02   
5       1599.00      0.67890    1.570e-02   
6       1640.15      0.68398    3.125e-02   
7       1701.40      0.70072    9.173e-03   
8       1744.30      0.62752    1.545e-02   
9       1790.40      0.64106    1.743e-02   
10      1843.35      0.59428    1.750e-02   
11      1887.10      0.53968    2.750e-02   
12      1931.50      0.63802    2.526e-03   
13      1972.30      0.61979    9.343e-03   
14      2018.20      0.54659    3.674e-03   
15      2074.95      0.53972    1.555e-02   
16      2127.10      0.55084    5.725e-03   
17      2190.40      0.52364    1.043e-02   
18      2237.05      0.50199    4.438e-03   
19      2283.00      0.47606    6.055e-03   
20      2319.70      0.47252    5.837e-03   
21      2381.60      0.49574    3.211e-03   
22      2448.35      0.51172    1.180e-02   
23      2502.10      0.52343    5.517e-03   
24      2549.20      0.49831    2.722e-03   
25      2617.75      0.54499    7.514e-03   
26      2701.30      0.51077    1.990e-03   
27      2754.05      0.60595    1.138e-02   
28      2837.20      0.49984    1.645e-03   
29      2873.50      0.53930    9.246e-03   
30      2919.95      0.58125    4.691e-03   
31      2986.10      0.55147    2.168e-03   
32      3122.85      0.57542    3.906e-03   
33      3187.50      0.56653    1.990e-03   
34      3271.95      0.61614    3.332e-03   
35      3369.30      0.61399    6.101e-03   
36      3436.40      0.64130    1.004e-02   
37      3521.95      0.63753    1.030e-03   
38      3667.30      0.71112    4.152e-03   
39      3743.80      0.76521    2.523e-03   
40      3810.10      0.76850    3.613e-03   
41      3932.10      0.83228    2.042e-03   
42      4009.70      0.92508    1.420e-03   
43      4094.50      0.94573    2.299e-03   
44      4229.95      1.00285    2.813e-03   
45      4343.30      0.96055    2.057e-03   
46      4424.35      1.03090    1.247e-03   
47      4492.80      0.96348    1.655e-03   
48      4616.80      1.00230    4.336e-03   
49      4718.20      1.00847    2.154e-03   
50      4812.90      0.96838    1.747e-03   
51      4923.10      1.02425    2.829e-03   
52      4990.70      0.98302    1.049e-03   
53      5149.30      0.95332    2.064e-03   
54      5236.30      0.99722    2.031e-03   
55      5388.00      0.94106    4.016e-03   
56      5470.95      0.92666    1.780e-03   
57      5596.90      0.95260    1.532e-03   
58      5752.45      0.89331    1.877e-03   
59      5857.10      0.81112    4.986e-03   
60      5926.90      0.90735    1.957e-03   
61      6044.95      0.87965    1.512e-03   
62      6108.60      0.90132    1.798e-03   
63      6363.20      0.86698    2.247e-03   
64      6566.10      0.85852    3.506e-03   
65      6709.90      0.94955    1.726e-03   
66      6940.10      0.87092    1.805e-03   
67      7098.00      0.78942    1.021e-02   
68      7518.00      0.78102    2.653e-03   
69      7636.70      0.71590    1.762e-03   
70      7829.20      0.73494    7.397e-04   
71      8034.30      0.72463    2.943e-03   
72      8285.10      0.69396    1.696e-03   
73      8403.90      0.65828    1.265e-03   
74      8987.50      0.64573    9.195e-03   
75      9399.60      0.55571    4.348e-03   
76      9970.30      0.56828    1.794e-03   
77     10491.00      0.56751    6.571e-03   
78     11922.50      0.48273    7.159e-05   
79     13408.00      0.44050    3.711e-05   
80     15087.50      0.34527    1.340e-04   
81     16490.00      0.32362    2.574e-05   
82     17535.50      0.24445    1.880e-04   
83     20146.00      0.21550    7.193e-04   
84     21483.00      0.15233    7.209e-04   
85     23863.00      0.15559    1.783e-02   
86     27428.00      0.08032    1.271e-02   
87     29816.00      0.06111    1.680e-02   
88     35734.00      0.02859    3.628e-02   
89     91432.00      0.01106    3.482e-03   
90    372910.00      0.05126    1.517e-03   
91    596660.00      0.01689    1.753e-03   
