#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1080.80      6.32210    3.872e-02   
1       1153.10      7.63960    1.800e-02   
2       1262.35      6.14865    2.297e-02   
3       1340.70      6.20560    1.328e-02   
4       1459.30      5.35650    1.327e-02   
5       1523.60      4.56010    1.931e-02   
6       1572.85      4.63915    8.891e-03   
7       1630.70      4.41260    2.340e-02   
8       1676.20      4.31380    2.108e-02   
9       1723.40      3.96340    8.172e-03   
10      1749.45      3.82040    1.364e-02   
11      1778.10      3.84550    1.083e-02   
12      1817.80      3.53410    1.502e-02   
13      1859.00      3.62570    9.271e-03   
14      1882.25      3.24775    7.962e-03   
15      1909.00      3.34820    1.723e-02   
16      1953.30      3.05830    1.101e-02   
17      2000.10      2.77070    9.609e-03   
18      2070.80      2.78360    7.234e-03   
19      2126.30      2.58045    1.062e-02   
20      2164.00      2.37030    2.967e-03   
21      2197.10      2.40190    6.376e-03   
22      2229.00      2.27130    9.433e-03   
23      2261.05      2.16650    2.282e-02   
24      2313.20      2.07520    5.697e-03   
25      2351.20      2.13650    3.223e-02   
26      2406.70      2.02490    1.517e-02   
27      2465.70      1.89985    8.163e-03   
28      2494.00      1.87320    1.160e-02   
29      2555.90      1.75840    1.104e-02   
30      2615.20      1.75360    1.256e-02   
31      2659.55      1.63220    9.509e-03   
32      2720.40      1.58550    7.181e-03   
33      2750.70      1.65240    1.507e-02   
34      2807.40      1.48400    1.707e-03   
35      2853.10      1.42140    6.226e-03   
36      2920.00      1.24940    1.131e-02   
37      3035.60      1.23550    8.581e-03   
38      3080.80      1.23210    3.733e-03   
39      3139.00      1.32710    3.897e-03   
40      3217.60      1.20590    5.629e-03   
41      3239.80      1.21800    4.860e-03   
42      3346.40      1.23880    3.116e-02   
43      3410.50      1.20730    8.025e-03   
44      3516.30      1.17385    1.653e-02   
45      3584.20      1.26520    2.613e-03   
46      3661.70      1.28020    3.872e-03   
47      3724.40      1.34200    6.081e-03   
48      3789.95      1.30350    6.573e-03   
49      3864.00      1.41530    2.966e-03   
50      3978.40      1.28540    2.957e-03   
51      4063.20      1.16850    7.157e-03   
52      4182.45      0.96640    7.831e-03   
53      4329.70      0.95814    3.016e-03   
54      4448.40      0.98837    3.856e-03   
55      4522.60      1.01100    2.663e-03   
56      4637.30      1.00910    2.171e-03   
57      4712.00      1.13720    2.367e-03   
58      4877.10      1.72970    1.175e-02   
59      4999.60      1.41000    2.529e-03   
60      5068.60      1.40460    1.313e-03   
61      5253.90      1.02335    1.135e-02   
62      5487.90      0.68157    2.407e-03   
63      5622.50      0.69471    2.312e-03   
64      5868.50      0.66192    3.932e-03   
65      6069.80      0.65182    4.949e-03   
66      6204.80      0.72416    8.075e-03   
67      6282.20      0.66712    4.192e-03   
68      6417.90      0.73025    1.079e-02   
69      6580.05      0.72649    5.849e-02   
70      6667.80      0.63962    1.815e-03   
71      6930.40      0.63445    4.322e-03   
72      7151.60      0.50095    1.318e-02   
73      7373.40      0.48551    2.818e-03   
74      7581.65      0.44973    2.575e-03   
75      8125.70      0.40697    6.139e-03   
76      9479.00      0.34952    2.629e-02   
77      9760.00      0.31988    1.044e-03   
78     10285.50      0.29842    1.942e-03   
79     10634.00      0.24901    6.748e-04   
80     12476.00      0.17425    2.568e-04   
81     13860.00      0.11159    3.170e-04   
82     15918.00      0.14607    1.718e-04   
83     17007.00      0.12255    9.123e-03   
84     19470.00      0.08337    6.401e-03   
85     22014.00      0.04630    3.814e-03   
86     24246.50      0.02626    2.626e-02   
87     26907.00      0.06506    1.693e-02   
88     35530.00      0.02280    1.540e-02   
89     79253.50      0.00910    1.005e-02   
90    314115.00      0.02125    2.125e-02   
91    502575.00      0.01141    1.141e-02   
