#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1264.20      0.23790    2.379e-01   
1       1445.10      0.07978    5.701e-02   
2       1587.60      0.10921    8.101e-02   
3       1650.00      0.02987    9.317e-02   
4       1715.30      0.06905    9.745e-03   
5       1815.20      0.07320    2.341e-02   
6       1877.40      0.09261    2.563e-02   
7       1924.90      0.08853    1.182e-02   
8       1996.00      0.07326    1.628e-02   
9       2042.40      0.06433    4.285e-02   
10      2121.00      0.08611    2.059e-02   
11      2183.30      0.09518    3.393e-03   
12      2238.00      0.10407    6.046e-03   
13      2299.95      0.08153    7.098e-03   
14      2344.70      0.10907    2.113e-02   
15      2386.60      0.09610    8.231e-03   
16      2429.80      0.08482    5.462e-03   
17      2482.70      0.10860    3.995e-03   
18      2560.10      0.09710    1.350e-02   
19      2606.90      0.15634    4.381e-03   
20      2650.90      0.14789    7.740e-03   
21      2734.50      0.14411    1.140e-03   
22      2798.60      0.14744    1.383e-03   
23      2840.80      0.18434    1.038e-02   
24      2890.50      0.20492    1.027e-03   
25      2934.20      0.23649    4.844e-03   
26      2987.65      0.21930    5.343e-03   
27      3062.60      0.24175    1.675e-02   
28      3143.50      0.26956    1.354e-03   
29      3203.35      0.32166    8.075e-04   
30      3290.10      0.37054    5.147e-03   
31      3339.20      0.32169    1.375e-03   
32      3438.20      0.37823    8.781e-04   
33      3515.00      0.38445    3.042e-03   
34      3597.80      0.43698    4.722e-04   
35      3681.35      0.44825    6.340e-03   
36      3766.30      0.54584    9.404e-04   
37      3853.40      0.58414    1.717e-03   
38      3965.05      0.68637    4.238e-04   
39      4036.80      0.67592    3.651e-04   
40      4087.50      0.73394    1.179e-03   
41      4183.75      0.84350    1.824e-03   
42      4378.30      0.93988    2.909e-04   
43      4457.60      1.01450    1.127e-03   
44      4528.75      1.03335    2.819e-04   
45      4604.30      1.13530    6.967e-04   
46      4757.80      1.10480    1.615e-04   
47      4871.95      1.16955    2.726e-04   
48      4990.20      1.16280    1.225e-03   
49      5077.90      1.16210    8.265e-05   
50      5147.45      1.17230    7.799e-05   
51      5248.20      1.22450    2.297e-04   
52      5446.50      1.23610    7.247e-04   
53      5541.80      1.24265    3.098e-04   
54      5604.30      1.24590    5.643e-05   
55      5702.20      1.33560    4.981e-05   
56      5909.60      1.28335    1.361e-04   
57      6049.60      1.28270    1.468e-04   
58      6155.00      1.27340    4.383e-04   
59      6231.10      1.28795    7.323e-05   
60      6317.70      1.29210    1.059e-04   
61      6593.80      1.30080    2.409e-04   
62      6800.10      1.26600    1.774e-04   
63      6945.50      1.27330    9.897e-05   
64      7014.00      1.29020    1.803e-04   
65      7294.75      1.27365    1.510e-04   
66      7525.40      1.25200    4.154e-05   
67      7674.60      1.26780    5.948e-05   
68      7847.30      1.22220    2.211e-03   
69      8197.15      1.25470    1.069e-04   
70      8376.00      1.20690    2.791e-04   
71      8547.20      1.15700    1.129e-03   
72      9042.40      1.16305    9.812e-05   
73      9516.70      1.15570    7.583e-04   
74      9691.50      1.14750    1.770e-05   
75     10230.00      1.12545    5.302e-05   
76     10532.00      1.12980    6.609e-05   
77     10715.00      1.08800    9.664e-04   
78     12776.00      0.90151    1.110e-05   
79     14799.00      0.77170    3.193e-06   
80     16108.00      0.68728    1.889e-06   
81     17539.50      0.59767    3.210e-06   
82     19416.00      0.44611    2.479e-06   
83     21513.00      0.31960    1.141e-06   
84     22654.00      0.28927    2.811e-04   
85     25766.00      0.16969    7.343e-04   
86     28421.00      0.12506    6.015e-04   
87     33225.00      0.09509    8.088e-04   
88     38518.00      0.05636    3.489e-04   
89    103300.00      0.00761    4.713e-03   
90    430400.00      0.00687    6.870e-03   
91    688650.00      0.00440    4.403e-03   
