#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1012.55     15.98650    2.885e-03   
1       1088.70     12.05300    1.917e-01   
2       1121.50     12.81750    3.926e-03   
3       1178.65     15.78950    5.404e-03   
4       1277.25     13.78800    9.819e-03   
5       1327.00     10.25600    9.201e-03   
6       1381.10      9.85355    1.007e-02   
7       1435.65      9.87040    9.584e-03   
8       1491.95      8.10545    4.039e-03   
9       1542.60      8.25930    3.060e-02   
10      1572.90      7.74835    7.697e-03   
11      1607.10      7.20210    1.360e-02   
12      1633.90      6.90850    5.739e-03   
13      1669.70      6.38950    4.734e-03   
14      1709.85      6.32000    1.735e-02   
15      1729.25      6.27470    7.339e-03   
16      1760.70      5.68230    7.133e-03   
17      1783.50      5.67510    9.461e-03   
18      1812.70      5.27345    8.301e-03   
19      1844.45      5.55580    1.509e-02   
20      1881.90      5.16740    3.941e-03   
21      1908.40      5.21185    9.956e-03   
22      1935.60      4.92070    1.097e-02   
23      1969.15      4.58175    8.395e-03   
24      2001.80      4.01950    1.249e-02   
25      2050.45      3.98565    1.263e-02   
26      2084.35      3.87410    1.464e-02   
27      2137.20      3.67850    2.490e-02   
28      2163.75      3.70490    3.931e-03   
29      2197.55      3.55435    1.305e-02   
30      2220.60      3.38225    2.306e-03   
31      2267.00      3.19560    2.503e-02   
32      2299.05      3.21700    3.580e-02   
33      2328.10      3.02055    4.039e-03   
34      2357.85      2.83665    4.902e-02   
35      2386.00      2.79940    6.917e-03   
36      2426.55      2.77640    2.299e-02   
37      2462.65      2.65355    1.517e-02   
38      2528.00      2.73100    1.013e-01   
39      2559.65      2.42105    1.044e-02   
40      2657.90      1.71600    1.968e-02   
41      2724.85      2.24485    3.328e-02   
42      2798.70      1.77160    1.926e-02   
43      2867.85      2.06935    3.935e-03   
44      2924.85      1.94765    1.308e-02   
45      2965.60      1.68755    2.053e-03   
46      3029.40      1.61880    1.437e-02   
47      3118.25      1.59480    1.908e-02   
48      3163.35      1.60210    7.356e-03   
49      3261.70      1.48175    1.220e-02   
50      3345.80      1.61700    1.161e-02   
51      3409.35      1.27040    2.530e-02   
52      3532.35      1.42430    6.506e-04   
53      3615.80      1.34130    2.357e-02   
54      3695.55      1.26065    4.047e-03   
55      3810.90      1.30775    2.616e-02   
56      3907.20      1.46445    4.414e-03   
57      4000.20      1.10940    7.309e-04   
58      4125.10      0.98849    2.792e-02   
59      4187.15      0.82634    2.134e-02   
60      4370.05      1.05140    1.419e-02   
61      4486.80      0.85422    3.233e-03   
62      4595.50      1.01782    2.019e-03   
63      4660.55      1.30395    1.611e-02   
64      4782.10      1.90810    5.634e-03   
65      4916.50      1.99855    4.404e-03   
66      5077.65      1.74570    8.938e-03   
67      5460.05      0.52362    3.051e-02   
68      5770.00      0.39711    1.855e-02   
69      5867.80      0.39751    2.801e-03   
70      6035.50      0.40941    5.107e-03   
71      6195.60      0.64661    2.028e-02   
72      6358.80      0.73151    1.472e-02   
73      6422.95      0.63122    1.901e-02   
74      6465.65      0.73243    3.551e-02   
75      6657.90      0.68290    4.292e-02   
76      6894.40      0.58518    4.557e-02   
77      7836.15      0.26236    3.131e-02   
78      8266.50      0.17360    9.062e-03   
79      9691.40      0.13430    1.500e-04   
80     10649.00      0.13647    6.106e-04   
81     12410.50      0.08155    2.177e-04   
82     13388.00      0.07408    5.366e-04   
83     14435.00      0.05816    1.007e-03   
84     16567.50      0.03622    7.577e-03   
85     17663.50      0.04179    4.179e-02   
86     21575.50      0.01801    5.497e-03   
87     23492.00      0.02046    2.046e-02   
88     27189.50      0.02359    2.359e-02   
89     71721.50      0.00198    1.980e-03   
90    298840.00      0.00477    4.773e-03   
91    478140.00      0.00275    2.749e-03   
