#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1137.50      1.14410    1.043e-01   
1       1327.65      1.35235    4.683e-02   
2       1388.20      1.44940    1.726e-02   
3       1463.65      1.42590    3.199e-02   
4       1542.00      1.50170    8.453e-03   
5       1600.80      1.36990    2.510e-03   
6       1644.75      1.34780    2.735e-02   
7       1672.80      1.37140    1.094e-02   
8       1728.70      1.28260    2.019e-02   
9       1781.70      1.23220    1.586e-02   
10      1829.70      1.26470    1.740e-02   
11      1887.00      1.18250    1.144e-02   
12      1929.10      1.21910    4.168e-03   
13      1968.25      1.10095    3.066e-03   
14      2007.60      1.06530    1.449e-02   
15      2054.30      0.93766    8.759e-03   
16      2121.80      0.92522    7.719e-03   
17      2158.60      0.87322    1.124e-02   
18      2233.10      0.82759    2.210e-03   
19      2265.70      0.82766    2.381e-03   
20      2295.20      0.79969    1.131e-02   
21      2349.95      0.82161    3.419e-03   
22      2397.30      0.66555    2.321e-02   
23      2442.85      0.76948    6.578e-03   
24      2509.70      0.76267    7.578e-03   
25      2557.15      0.79741    9.274e-03   
26      2616.60      0.78261    1.111e-02   
27      2674.90      0.79784    4.892e-03   
28      2742.40      0.78833    1.359e-03   
29      2782.60      0.76543    1.580e-03   
30      2869.65      0.75360    7.468e-03   
31      2918.10      0.79355    5.256e-03   
32      2984.10      0.72137    9.496e-03   
33      3048.70      0.73918    6.018e-03   
34      3135.00      0.76583    4.580e-03   
35      3201.35      0.72809    6.452e-03   
36      3256.00      0.73149    8.221e-03   
37      3324.70      0.76643    1.951e-03   
38      3432.25      0.77498    7.571e-03   
39      3533.40      0.72228    1.048e-02   
40      3613.45      0.81452    3.527e-03   
41      3699.60      0.88011    2.932e-03   
42      3774.60      0.89168    4.009e-03   
43      3842.05      0.89543    5.735e-03   
44      3932.90      0.94410    4.131e-03   
45      4039.95      0.98008    2.335e-03   
46      4137.50      1.03930    3.345e-03   
47      4230.80      0.97105    2.711e-03   
48      4324.40      1.00601    6.691e-03   
49      4431.50      0.96894    1.869e-03   
50      4519.25      1.01925    5.947e-04   
51      4554.10      0.98645    1.512e-03   
52      4662.20      0.99657    1.848e-03   
53      4763.30      0.95434    3.465e-03   
54      4914.30      1.01830    1.042e-03   
55      5032.40      0.99333    2.557e-03   
56      5106.60      0.93027    2.315e-03   
57      5251.90      0.88497    3.682e-03   
58      5364.50      0.89818    1.360e-03   
59      5494.00      0.88264    5.301e-04   
60      5583.05      0.88671    1.033e-03   
61      5706.10      0.86496    1.719e-03   
62      5851.40      0.85299    4.570e-03   
63      6000.50      0.82011    1.504e-03   
64      6197.80      0.85832    6.641e-04   
65      6378.35      0.92852    2.887e-03   
66      6524.40      0.89551    6.722e-02   
67      6659.55      0.90467    1.250e-03   
68      6857.30      0.90142    1.558e-03   
69      7051.70      0.81517    5.483e-04   
70      7391.55      0.75334    2.708e-03   
71      7650.20      0.71997    2.937e-03   
72      7792.60      0.70959    1.234e-03   
73      8039.30      0.70221    1.562e-03   
74      8433.10      0.67532    2.746e-03   
75      8914.10      0.64570    4.422e-04   
76      9451.90      0.64999    5.657e-04   
77      9906.55      0.61258    5.064e-04   
78     10989.00      0.56171    1.389e-04   
79     12859.00      0.51923    5.441e-05   
80     14018.50      0.43146    6.486e-05   
81     15646.00      0.40393    2.299e-05   
82     16853.00      0.36581    3.512e-05   
83     18658.00      0.30017    2.947e-05   
84     20323.00      0.24891    5.266e-03   
85     22657.50      0.17326    8.284e-04   
86     25287.00      0.10379    2.706e-03   
87     28704.50      0.08203    1.233e-02   
88     34143.00      0.06940    8.471e-04   
89     86762.00      0.01128    4.911e-04   
90    386435.00      0.00621    1.801e-03   
91    618295.00      0.00251    1.439e-03   
