#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1152.15      0.63160    8.735e-02   
1       1374.30      0.78665    5.288e-02   
2       1490.85      0.88062    2.866e-02   
3       1546.75      0.74465    1.877e-02   
4       1585.30      0.79636    2.893e-02   
5       1657.70      0.68591    2.632e-02   
6       1705.80      0.66421    6.441e-03   
7       1776.40      0.70649    2.144e-02   
8       1809.20      0.67202    1.454e-02   
9       1871.40      0.57825    2.276e-02   
10      1939.70      0.61129    9.691e-03   
11      2026.45      0.52882    3.524e-02   
12      2061.90      0.58887    2.646e-02   
13      2117.60      0.53319    8.899e-03   
14      2181.60      0.49988    5.293e-03   
15      2207.00      0.50535    1.709e-03   
16      2298.30      0.49101    1.282e-02   
17      2342.45      0.48616    1.387e-02   
18      2407.70      0.42902    4.077e-03   
19      2442.95      0.44600    3.862e-03   
20      2510.60      0.46394    1.512e-02   
21      2536.65      0.39100    4.097e-02   
22      2591.60      0.39522    1.264e-02   
23      2621.80      0.45933    7.282e-03   
24      2690.05      0.47414    2.434e-03   
25      2711.90      0.50343    4.456e-03   
26      2771.00      0.48626    3.992e-03   
27      2830.85      0.46232    5.481e-03   
28      2864.20      0.48742    1.248e-02   
29      2897.90      0.50432    3.181e-03   
30      2948.20      0.50790    3.644e-03   
31      3044.80      0.53263    6.586e-03   
32      3096.85      0.49940    6.782e-03   
33      3129.40      0.52462    1.851e-03   
34      3211.90      0.51393    3.417e-03   
35      3259.00      0.25563    2.731e-02   
36      3328.85      0.56115    4.188e-03   
37      3380.40      0.57877    1.869e-03   
38      3441.65      0.55018    7.914e-03   
39      3538.20      0.58652    8.386e-03   
40      3587.30      0.59508    4.543e-03   
41      3640.60      0.70130    8.497e-04   
42      3704.40      0.68341    1.232e-02   
43      3791.20      0.77474    2.621e-03   
44      3884.65      0.76029    3.390e-03   
45      3967.30      0.83747    3.536e-03   
46      4064.80      0.86105    1.863e-03   
47      4154.00      0.87535    5.695e-03   
48      4268.20      0.95920    1.133e-03   
49      4358.70      1.00039    2.657e-03   
50      4421.45      1.01115    9.791e-04   
51      4454.70      1.00560    2.123e-03   
52      4676.15      1.00168    8.171e-04   
53      4785.20   -1995.33000   -1.995e+03   
54      4878.90      1.02830    8.588e-04   
55      5054.40      1.03040    6.528e-03   
56      5154.40      0.99915    1.091e-03   
57      5281.30      0.96306    8.891e-04   
58      5409.05      0.97978    3.995e-04   
59      5511.00      0.98460    1.220e-02   
60      5632.35      0.96420    4.359e-04   
61      5792.30      0.97751    1.250e-03   
62      5902.40      0.94388    5.902e-04   
63      6024.05      0.94809    6.507e-04   
64      6192.45      0.99699    1.477e-03   
65      6483.70      0.95783    2.908e-04   
66      6727.20      0.91096    2.719e-03   
67      6939.30      0.87513    2.233e-03   
68      7114.90      0.85082    1.522e-04   
69      7423.55      0.80004    1.545e-03   
70      7538.40      0.78074    2.427e-03   
71      7701.20      0.77766    1.287e-03   
72      8184.90      0.72108    3.594e-03   
73      9008.90      0.69427    5.302e-04   
74      9072.50      0.65744    7.217e-04   
75      9641.10      0.64991    8.285e-04   
76      9773.20      0.62941    9.552e-04   
77     10361.00      0.61452    3.135e-03   
78     10439.00      0.59781    4.321e-03   
79     11556.00      0.50645    7.715e-05   
80     14668.00      0.37638    8.214e-06   
81     15758.50      0.32576    2.048e-05   
82     17175.00      0.28924    3.229e-05   
83     19403.50      0.21993    9.886e-05   
84     21553.00      0.15227    1.355e-04   
85     24150.00      0.08491    2.690e-04   
86     27405.50      0.05702    9.574e-03   
87     31796.00      0.04332    1.861e-03   
88     38134.00      0.02766    1.443e-03   
89    100360.00      0.00149    1.690e-04   
90    421490.00      0.00069    6.915e-04   
91    695860.00      0.00041    4.136e-04   
