#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1256.10      0.32898    3.290e-01   
1       1438.30      0.21411    2.141e-01   
2       1497.80      0.17033    1.703e-01   
3       1632.00      0.07934    7.934e-02   
4       1669.10      0.09698    5.118e-02   
5       1721.90      0.21328    1.415e-01   
6       1773.10      0.14806    1.481e-01   
7       1833.50      0.09963    9.963e-02   
8       1893.10      0.13180    1.318e-01   
9       1942.00      0.08104    5.366e-02   
10      1999.50      0.11896    1.190e-01   
11      2054.10      0.08736    2.712e-02   
12      2123.60      0.12342    5.611e-02   
13      2144.90      0.10501    1.050e-01   
14      2237.05      0.04769    5.762e-02   
15      2293.10      0.07081    2.081e-02   
16      2341.30      0.09574    4.227e-02   
17      2392.00      0.08256    8.256e-02   
18      2443.90      0.13590    1.033e-02   
19      2485.10      0.14718    5.483e-03   
20      2534.40      0.06441    6.441e-02   
21      2588.10      0.13000    2.473e-02   
22      2637.90      0.20198    2.308e-02   
23      2715.80      0.17835    4.033e-02   
24      2745.20      0.23864    2.358e-02   
25      2799.50      0.21692    1.129e-02   
26      2864.80      0.20624    1.402e-02   
27      2928.30      0.22230    5.462e-03   
28      2983.20      0.23049    1.216e-02   
29      3039.40      0.28332    1.283e-02   
30      3083.10      0.27700    6.732e-03   
31      3139.80      0.24051    1.676e-02   
32      3224.10      0.30585    1.224e-02   
33      3354.30      0.33795    1.221e-02   
34      3408.65      0.31156    2.188e-02   
35      3470.80      0.36552    2.760e-03   
36      3526.70      0.47527    4.956e-03   
37      3601.50      0.46278    8.354e-03   
38      3693.60      0.42698    1.059e-02   
39      3768.00      0.53972    9.889e-03   
40      3831.00      0.62741    1.352e-02   
41      3930.80      0.65928    6.613e-03   
42      4047.00      0.74963    2.127e-03   
43      4110.20      0.86030    2.216e-03   
44      4201.75      0.82544    2.391e-03   
45      4276.90      0.88403    7.452e-03   
46      4444.40      1.04520    1.324e-03   
47      4583.90      1.09700    2.523e-03   
48      4665.40      1.05270    2.097e-03   
49      4733.20      0.93717    4.802e-03   
50      4826.00      1.11810    2.155e-03   
51      4910.70      1.11950    2.159e-03   
52      5001.40      1.15380    9.897e-04   
53      5086.20      1.16230    5.379e-03   
54      5239.35      1.24060    2.141e-03   
55      5365.20      1.14660    3.082e-03   
56      5520.20      1.30230    8.919e-04   
57      5611.60      1.30610    2.597e-03   
58      5761.60      1.33740    1.873e-03   
59      5865.00      1.34120    8.383e-04   
60      6011.20      1.37320    5.041e-04   
61      6143.20      1.41730    1.628e-03   
62      6384.40      1.39880    2.218e-03   
63      6528.10      1.54290    5.139e-03   
64      6672.45      1.47620    3.118e-04   
65      6853.80      1.58790    3.181e-03   
66      7035.80      1.53210    1.604e-03   
67      7186.70      1.46520    9.407e-04   
68      7350.00      1.47250    3.311e-03   
69      7533.20      1.49690    1.639e-03   
70      7847.10      1.52230    7.559e-04   
71      8246.40      1.51230    7.615e-04   
72      8406.60      1.52580    1.611e-04   
73      8699.20      1.54770    8.800e-04   
74      9477.85      1.55335    8.752e-04   
75      9747.90      1.59310    2.225e-03   
76      9936.10      1.59060    4.719e-04   
77     10202.00      1.59450    1.124e-04   
78     11336.00      1.46290    1.270e-04   
79     13678.00      1.26370    1.074e-05   
80     15530.00      1.20070    1.971e-05   
81     16836.00      1.14120    9.702e-06   
82     17948.00      0.97692    2.270e-05   
83     20250.00      0.76443    5.458e-06   
84     21799.50      0.58692    3.786e-05   
85     25101.00      0.35658    1.473e-03   
86     26819.00      0.27585    2.572e-03   
87     30913.00      0.19110    1.501e-03   
88     36429.00      0.13565    7.915e-04   
89     94604.50      0.03348    6.642e-04   
90    438060.00      0.01713    2.202e-03   
91    700890.00      0.01127    1.358e-03   
