#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1162.60      0.23829    2.383e-01   
1       1355.45      0.24288    6.344e-02   
2       1439.30      0.20671    6.399e-02   
3       1540.60      0.25871    4.999e-02   
4       1594.85      0.26138    2.473e-02   
5       1655.70      0.21088    4.470e-02   
6       1725.20      0.26725    1.676e-02   
7       1763.00      0.22469    1.616e-02   
8       1822.95      0.21609    3.146e-02   
9       1875.85      0.22072    2.334e-02   
10      1921.80      0.23508    1.908e-02   
11      1975.45      0.23563    5.711e-03   
12      2032.30      0.21699    2.308e-02   
13      2077.25      0.18155    1.162e-02   
14      2123.90      0.20494    3.327e-03   
15      2175.10      0.23389    5.987e-03   
16      2217.55      0.23317    1.135e-02   
17      2265.95      0.21203    5.124e-03   
18      2315.30      0.21348    7.848e-03   
19      2369.10      0.19634    3.828e-03   
20      2400.35      0.21822    3.918e-03   
21      2466.10      0.21574    7.953e-03   
22      2522.40      0.19243    1.698e-02   
23      2571.00      0.23746    3.587e-03   
24      2622.25      0.21982    3.475e-03   
25      2681.40      0.26181    2.401e-03   
26      2724.60      0.23800    4.316e-03   
27      2768.70      0.25963    2.021e-03   
28      2824.15      0.26800    5.557e-03   
29      2869.00      0.30597    2.726e-03   
30      2922.60      0.34055    1.442e-02   
31      3004.60      0.36628    2.247e-03   
32      3086.50      0.37123    5.098e-04   
33      3158.55      0.38834    2.337e-03   
34      3206.85      0.40295    5.765e-03   
35      3258.05      0.42194    1.548e-03   
36      3334.30      0.42577    6.360e-03   
37      3426.25      0.45848    1.802e-03   
38      3517.15      0.47975    1.112e-03   
39      3589.10      0.49838    4.319e-03   
40      3666.20      0.55894    7.068e-04   
41      3750.65      0.63613    6.487e-03   
42      3846.35      0.67607    9.849e-04   
43      3929.80      0.75678    1.091e-03   
44      3995.20      0.78018    1.914e-03   
45      4077.45      0.81678    2.613e-03   
46      4202.40      0.89831    4.295e-04   
47      4355.60      0.92535    9.563e-04   
48      4406.50      0.99280    2.210e-03   
49      4482.90      1.01930    1.141e-03   
50      4600.50      1.04265    3.655e-04   
51      4708.45      1.05520    4.612e-04   
52      4848.20      1.08610    8.526e-04   
53      4933.40      1.06830    7.348e-04   
54      5040.55      1.07260    2.728e-04   
55      5144.45      1.07545    2.616e-04   
56      5323.70      1.07210    1.106e-03   
57      5462.80      1.07100    5.815e-04   
58      5534.75      1.06730    1.056e-03   
59      5604.70      1.08075    4.019e-04   
60      5752.45      1.08180    1.793e-03   
61      5933.80      1.05310    5.424e-04   
62      6056.90      1.05055    3.949e-04   
63      6159.70      1.03850    2.045e-04   
64      6463.70      1.05645    6.577e-04   
65      6631.30      1.02160    3.592e-04   
66      6769.50      0.97628    1.192e-04   
67      6914.90      0.98565    6.685e-04   
68      7197.95      0.93871    2.275e-04   
69      7462.10      0.94028    4.309e-04   
70      7584.55      0.92829    2.154e-03   
71      7753.40      0.90674    1.053e-03   
72      8087.55      0.86874    1.002e-03   
73      8297.75      0.84594    8.814e-04   
74      8897.20      0.81714    2.337e-04   
75      9378.95      0.80213    9.553e-05   
76      9584.80      0.77328    2.790e-04   
77     10354.00      0.71591    1.409e-03   
78     10617.00      0.66023    3.583e-05   
79     12713.50      0.54370    2.316e-05   
80     14756.00      0.44771    8.131e-06   
81     16000.50      0.40909    1.713e-05   
82     17407.00      0.33016    1.078e-05   
83     19637.50      0.25335    3.349e-05   
84     21001.00      0.18619    1.023e-03   
85     24159.50      0.12477    6.125e-04   
86     26540.00      0.08038    3.215e-03   
87     29571.00      0.03780    4.389e-03   
88     35810.00      0.02768    1.239e-03   
89     92750.50      0.00030    3.674e-04   
90    404970.00      0.00059    5.871e-04   
91    652110.00      0.00037    3.692e-04   
