#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1097.70      1.23980    6.695e-02   
1       1219.90      1.50745    3.192e-02   
2       1313.30      1.83820    1.032e-02   
3       1392.40      1.90140    7.125e-03   
4       1467.60      1.83680    1.592e-02   
5       1536.75      1.80775    7.519e-03   
6       1577.70      1.80850    4.501e-03   
7       1623.70      1.79110    4.952e-03   
8       1674.50      1.75940    9.352e-03   
9       1720.20      1.72560    3.561e-03   
10      1765.40      1.64060    3.918e-03   
11      1804.25      1.60660    8.527e-03   
12      1839.90      1.59990    6.796e-03   
13      1882.80      1.53690    3.951e-03   
14      1920.90      1.45410    2.932e-03   
15      1966.95      1.38435    3.598e-03   
16      2016.20      1.35140    4.224e-03   
17      2059.60      1.27340    3.831e-03   
18      2098.15      1.23030    3.283e-03   
19      2139.70      1.21190    3.029e-03   
20      2188.20      1.14890    3.448e-03   
21      2246.60      1.11560    4.739e-03   
22      2282.05      1.07945    2.902e-03   
23      2323.50      1.07830    2.776e-03   
24      2371.60      1.02320    4.874e-03   
25      2410.30      1.02670    5.875e-03   
26      2467.20      1.02500    5.227e-03   
27      2495.10      1.01740    2.564e-03   
28      2545.40      1.05170    3.473e-03   
29      2590.60      0.97393    5.060e-03   
30      2633.00      0.98873    3.101e-03   
31      2691.60      0.97564    2.986e-03   
32      2742.50      0.97712    2.094e-03   
33      2812.60      0.89234    5.055e-03   
34      2879.50      0.88375    3.060e-03   
35      2928.85      0.92390    3.313e-03   
36      3001.20      0.86761    1.908e-03   
37      3059.90      0.85306    2.412e-03   
38      3120.40      0.85697    3.696e-03   
39      3188.15      0.86275    2.714e-03   
40      3242.30      0.84587    2.460e-03   
41      3317.60      0.81219    7.105e-03   
42      3391.85      0.82051    2.969e-03   
43      3471.10      0.84862    4.149e-03   
44      3560.20      0.85135    3.050e-03   
45      3624.10      0.89797    3.082e-03   
46      3715.50      0.94113    1.744e-03   
47      3787.00      0.98121    1.766e-03   
48      3877.30      0.99062    1.944e-03   
49      3980.55      1.04805    1.802e-03   
50      4082.60      1.05020    8.287e-04   
51      4176.60      1.03470    2.443e-03   
52      4278.90      1.01670    1.683e-03   
53      4392.60      1.00475    1.124e-03   
54      4480.20      0.99833    1.429e-03   
55      4558.20      0.95484    1.602e-03   
56      4718.60      0.96688    1.900e-03   
57      4838.50      0.97845    1.858e-03   
58      4943.50      0.92593    8.369e-04   
59      5047.80      0.89630    1.664e-03   
60      5182.20      0.86912    6.646e-04   
61      5346.80      0.82735    1.016e-03   
62      5491.90      0.77578    1.699e-03   
63      5598.80      0.73887    1.965e-03   
64      5896.90      0.71227    1.401e-03   
65      5993.80      0.70093    2.004e-03   
66      6138.80      0.69579    8.263e-04   
67      6331.30      0.70665    3.374e-03   
68      6501.90      0.71595    7.354e-04   
69      6650.90      0.68203    2.619e-03   
70      6830.40      0.67308    1.440e-03   
71      7030.90      0.59974    1.395e-03   
72      7317.60      0.54793    1.501e-03   
73      7595.35      0.52110    1.032e-03   
74      8002.20      0.48555    7.731e-04   
75      8524.40      0.42960    2.211e-03   
76      9024.40      0.41600    5.964e-04   
77      9299.00      0.39900    3.405e-03   
78     10375.00      0.35510    6.362e-04   
79     10858.00      0.31248    1.791e-04   
80     12886.00      0.24532    5.300e-05   
81     14487.00      0.19726    2.545e-05   
82     16061.00      0.16970    8.763e-05   
83     17529.50      0.13986    1.058e-04   
84     19294.00      0.11014    5.999e-04   
85     22014.00      0.07202    2.629e-03   
86     24363.00      0.04362    3.918e-03   
87     27907.50      0.03060    4.777e-03   
88     33910.00      0.01912    3.549e-03   
89     86611.00      0.00473    1.258e-03   
90    373005.00      0.00413    4.134e-03   
91    596805.00      0.00237    2.365e-03   
