#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1183.90      0.98330    4.199e-02   
1       1350.20      1.49550    1.334e-02   
2       1451.80      1.55180    9.015e-03   
3       1524.60      1.52240    9.051e-03   
4       1601.20      1.51020    8.740e-03   
5       1665.50      1.43230    5.025e-03   
6       1709.90      1.45130    3.253e-03   
7       1757.10      1.41900    6.658e-03   
8       1815.70      1.34910    3.022e-03   
9       1859.90      1.28460    2.315e-03   
10      1921.40      1.21150    6.471e-03   
11      1975.40      1.15450    5.246e-03   
12      2033.10      1.07790    3.505e-03   
13      2088.40      1.02060    3.033e-03   
14      2129.45      0.92675    4.011e-03   
15      2169.90      0.95778    3.216e-03   
16      2220.00      0.91998    4.772e-03   
17      2279.40      0.89167    2.350e-03   
18      2333.80      0.86187    2.511e-03   
19      2380.90      0.84910    2.198e-03   
20      2421.40      0.85348    3.258e-03   
21      2473.40      0.86096    2.542e-03   
22      2532.50      0.83158    6.363e-03   
23      2583.70      0.83180    9.696e-04   
24      2634.70      0.83475    2.508e-03   
25      2675.00      0.84321    2.265e-03   
26      2726.70      0.83274    2.657e-03   
27      2795.20      0.78665    2.092e-03   
28      2841.60      0.79146    2.687e-03   
29      2894.90      0.80504    2.009e-03   
30      2944.80      0.79557    9.277e-04   
31      3011.40      0.79235    3.098e-03   
32      3084.30      0.78594    2.239e-03   
33      3154.00      0.76309    1.830e-03   
34      3202.00      0.74940    1.818e-03   
35      3273.20      0.76174    2.918e-03   
36      3338.60      0.74684    2.020e-03   
37      3420.10      0.76476    1.978e-03   
38      3488.10      0.77719    2.912e-03   
39      3585.60      0.77151    9.756e-04   
40      3650.30      0.81221    1.701e-03   
41      3735.50      0.86643    1.906e-03   
42      3822.20      0.91921    1.522e-03   
43      3905.00      0.99042    1.967e-03   
44      3976.75      0.98134    7.081e-04   
45      4053.30      1.00790    1.213e-03   
46      4181.00      1.02430    1.629e-03   
47      4277.10      1.00000    2.145e-03   
48      4384.50      1.00470    7.401e-04   
49      4455.90      0.99470    9.437e-04   
50      4580.70      0.97290    8.760e-04   
51      4713.30      1.00200    8.695e-04   
52      4806.10      0.95872    9.785e-04   
53      4903.80      0.95126    9.813e-04   
54      5017.80      0.94572    5.488e-04   
55      5138.70      0.90686    6.446e-04   
56      5230.00      0.89957    1.005e-03   
57      5366.60      0.86709    1.213e-03   
58      5500.90      0.84062    9.061e-04   
59      5606.00      0.82506    6.626e-04   
60      5739.50      0.81256    1.068e-03   
61      5906.80      0.78451    1.079e-03   
62      6031.90      0.78336    5.563e-04   
63      6206.10      0.80175    5.179e-04   
64      6349.40      0.80579    6.176e-04   
65      6551.40      0.80166    8.766e-04   
66      6759.20      0.78963    7.403e-04   
67      6900.20      0.73900    4.580e-04   
68      7056.30      0.70131    1.596e-03   
69      7346.50      0.65545    6.016e-04   
70      7591.00      0.62111    5.714e-04   
71      7743.30      0.60926    1.362e-03   
72      8253.50      0.56768    1.211e-03   
73      8517.70      0.54623    1.120e-03   
74      8865.95      0.52326    1.082e-03   
75      9254.90      0.52242    3.605e-04   
76      9666.00      0.49358    6.257e-04   
77     10193.00      0.47874    4.593e-04   
78     10629.00      0.44110    2.016e-04   
79     12598.00      0.35405    3.205e-05   
80     14626.00      0.27684    2.906e-05   
81     15929.00      0.25172    2.835e-05   
82     17499.00      0.21320    1.549e-05   
83     19366.00      0.17188    3.577e-05   
84     21502.00      0.11849    5.314e-04   
85     23660.00      0.08229    3.937e-03   
86     26207.00      0.05482    3.591e-03   
87     30538.00      0.04214    2.979e-03   
88     35939.00      0.02394    1.302e-03   
89     95144.00      0.00401    3.680e-04   
90    411905.00      0.00184    1.538e-03   
91    678490.00      0.00081    8.192e-04   
