#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1291.30      0.41820    4.501e-02   
1       1390.50      0.47403    6.792e-02   
2       1479.05      0.52370    6.066e-03   
3       1531.35      0.52581    3.772e-02   
4       1607.25      0.49357    1.037e-02   
5       1663.00      0.49115    4.993e-03   
6       1693.20      0.39760    4.684e-02   
7       1744.80      0.52341    2.199e-02   
8       1802.65      0.44183    5.392e-03   
9       1845.95      0.44712    1.904e-03   
10      1895.90      0.43719    1.452e-02   
11      1939.20      0.44540    1.502e-02   
12      1982.35      0.41965    1.114e-02   
13      2042.60      0.41439    7.659e-03   
14      2069.65      0.40770    2.512e-03   
15      2117.15      0.37567    1.684e-03   
16      2151.10      0.37812    1.668e-02   
17      2209.40      0.26463    3.583e-02   
18      2255.15      0.38011    1.048e-03   
19      2308.45      0.30473    5.773e-03   
20      2351.15      0.34611    7.604e-03   
21      2405.20      0.37119    8.585e-03   
22      2443.45      0.32057    1.319e-03   
23      2482.00      0.29852    1.198e-02   
24      2553.10      0.34857    6.522e-03   
25      2624.55      0.38659    1.606e-03   
26      2697.85      0.38592    4.605e-03   
27      2723.40      0.35820    1.865e-03   
28      2801.35      0.43505    7.505e-03   
29      2840.15      0.41100    1.028e-02   
30      2880.40      0.43711    1.327e-03   
31      2940.70      0.40519    6.020e-03   
32      3008.80      0.41356    6.232e-03   
33      3045.10      0.45571    1.998e-03   
34      3163.85      0.50282    9.171e-04   
35      3245.25      0.46032    1.610e-03   
36      3359.65      0.48120    1.881e-03   
37      3443.80      0.52387    1.657e-03   
38      3509.30      0.54279    1.328e-02   
39      3595.10      0.56539    2.971e-03   
40      3684.95      0.63183    9.862e-04   
41      3774.75      0.69966    4.878e-04   
42      3875.05      0.75138    9.530e-04   
43      3937.65      0.80615    1.526e-03   
44      4030.40      0.84228    4.792e-03   
45      4157.85      0.94756    1.227e-03   
46      4263.40      0.97042    2.975e-03   
47      4337.55      0.97652    4.976e-04   
48      4407.10      1.02039    3.038e-04   
49      4547.90      1.09440    2.177e-04   
50      4683.35      1.16640    2.821e-04   
51      4770.25      1.16420    6.210e-04   
52      4859.15      1.10035    3.515e-04   
53      4917.15      1.15800    1.079e-03   
54      5130.10      1.13360    9.814e-04   
55      5204.00   -534.65795   -7.157e+01   
56      5295.75      1.13430    3.749e-04   
57      5428.00      1.10545    1.946e-04   
58      5489.10      1.10090    4.139e-04   
59      5672.70      1.15370    4.360e-04   
60      5763.25      1.16845    6.920e-04   
61      5855.95      1.10060    1.045e-03   
62      6034.35      1.13705    2.900e-04   
63      6136.55      1.11415    3.297e-04   
64      6389.55      1.09260    6.151e-04   
65      6663.25      1.11685    3.893e-04   
66      6810.25      1.10730    4.909e-04   
67      7091.85      1.08575    3.123e-04   
68      7340.70      1.01635    1.205e-03   
69      7431.00      1.02080    3.577e-04   
70      7582.10      1.01150    2.815e-04   
71      7804.60      1.00255    1.141e-03   
72      7976.10      1.01230    7.066e-03   
73      8160.95      0.93508    2.557e-04   
74      8460.85      0.91867    9.367e-04   
75      9126.80      0.87491    1.254e-04   
76      9678.95      0.84323    4.588e-04   
77     10329.50      0.79730    1.080e-03   
78     10886.00      0.76319    1.301e-04   
79     13110.00      0.60987    4.415e-06   
80     14882.00      0.52938    1.265e-05   
81     16115.50      0.43917    4.975e-06   
82     17521.00      0.40193    7.585e-06   
83     19677.00      0.30622    1.607e-04   
84     21336.00      0.22126    2.307e-04   
85     24021.50      0.15739    1.123e-03   
86     27337.00      0.07547    2.066e-02   
87     29487.00      0.08233    7.969e-04   
88     35996.00      0.03488    2.862e-03   
89     90358.00      0.00193    1.641e-03   
90    368240.00      0.00273    1.839e-03   
91    589190.00      0.00156    1.556e-03   
