#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1315.00      2.29310    2.259e-02   
1       1454.10      2.34890    5.973e-03   
2       1546.30      2.24130    4.518e-03   
3       1643.90      2.15080    5.070e-03   
4       1710.55      1.99600    3.655e-03   
5       1769.10      1.94450    3.380e-03   
6       1835.95      1.85470    3.350e-03   
7       1884.60      1.74130    2.856e-03   
8       1934.40      1.65350    2.335e-03   
9       2012.85      1.57100    3.835e-03   
10      2063.40      1.44700    3.353e-03   
11      2114.90      1.37930    1.939e-03   
12      2161.00      1.31850    1.569e-03   
13      2204.90      1.29970    2.995e-03   
14      2256.40      1.25580    1.861e-03   
15      2315.35      1.20215    3.144e-03   
16      2357.25      1.15960    2.059e-03   
17      2405.70      1.14180    2.502e-03   
18      2457.25      1.12685    2.185e-03   
19      2519.20      1.09100    2.108e-03   
20      2572.70      1.08180    1.213e-03   
21      2625.00      1.03490    1.318e-03   
22      2668.45      1.05475    1.160e-03   
23      2730.20      1.03360    2.288e-03   
24      2803.00      0.99057    2.432e-03   
25      2851.65      0.96205    2.271e-03   
26      2897.90      0.95820    1.486e-03   
27      2963.65      0.94580    2.585e-03   
28      3020.30      0.91935    1.153e-03   
29      3081.50      0.92302    2.062e-03   
30      3140.30      0.87507    1.861e-03   
31      3211.30      0.88012    2.198e-03   
32      3310.00      0.84523    3.223e-03   
33      3396.60      0.84173    1.462e-03   
34      3488.40      0.84156    2.525e-03   
35      3562.30      0.85981    1.183e-03   
36      3654.50      0.91266    1.580e-03   
37      3709.80      0.93446    1.539e-03   
38      3794.75      0.97985    2.225e-03   
39      3892.80      0.98486    1.363e-03   
40      3994.90      1.04925    1.288e-03   
41      4094.85      1.04150    1.962e-03   
42      4175.60      1.05990    1.499e-03   
43      4321.15      1.03790    8.525e-04   
44      4388.60      1.00720    1.266e-03   
45      4478.75      0.97491    1.384e-03   
46      4585.10      0.98945    1.387e-03   
47      4734.95      0.98000    8.206e-04   
48      4848.20      0.96959    1.224e-03   
49      4933.00      0.97228    7.782e-04   
50      5006.30      0.95444    1.102e-03   
51      5086.00      0.91775    8.492e-04   
52      5233.05      0.87976    8.943e-04   
53      5375.00      0.82157    1.977e-03   
54      5499.25      0.79422    8.355e-04   
55      5577.10      0.77626    1.024e-03   
56      5728.95      0.77911    1.461e-03   
57      5892.15      0.73856    1.352e-03   
58      5997.00      0.72728    7.301e-04   
59      6072.50      0.74765    6.927e-04   
60      6156.00      0.71921    7.971e-04   
61      6326.20      0.77028    1.140e-03   
62      6512.80      0.75412    1.196e-03   
63      6721.55      0.71590    7.815e-04   
64      6889.35      0.69370    8.907e-04   
65      7120.80      0.62808    1.308e-03   
66      7407.30      0.58583    1.135e-03   
67      7490.50      0.57199    9.919e-04   
68      7619.35      0.55241    1.752e-03   
69      7839.40      0.54109    1.695e-03   
70      8158.15      0.51455    7.812e-04   
71      8350.40      0.47811    1.678e-03   
72      8537.80      0.47134    2.111e-03   
73      9019.40      0.44501    7.316e-04   
74      9488.70      0.43501    1.129e-03   
75      9889.10      0.42293    1.061e-03   
76     10357.00      0.39673    6.085e-04   
77     10470.00      0.39159    9.088e-04   
78     12312.00      0.31902    1.186e-04   
79     14119.50      0.23988    4.585e-05   
80     16020.00      0.20094    4.371e-05   
81     17188.00      0.18201    2.057e-05   
82     18886.50      0.14486    4.650e-05   
83     20770.00      0.10486    9.982e-05   
84     22318.50      0.07692    1.721e-03   
85     25675.00      0.04012    2.383e-02   
86     27816.00      0.03857    7.343e-03   
87     31537.00      0.02576    6.389e-03   
88     38088.00      0.01666    6.567e-03   
89     98542.50      0.00483    2.007e-03   
90    406415.00      0.00347    3.468e-03   
91    650260.00      0.00247    2.470e-03   
