#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1168.10      0.46098    2.868e-01   
1       1309.10      0.72523    1.072e-01   
2       1376.00      0.75096    6.333e-03   
3       1476.30      0.87325    7.306e-02   
4       1565.80      0.93857    2.220e-02   
5       1627.00      0.91107    3.705e-02   
6       1703.50      0.90854    8.780e-03   
7       1779.90      0.71240    2.541e-02   
8       1830.50      0.85653    1.182e-02   
9       1866.70      0.74809    1.482e-02   
10      1897.70      0.73278    2.033e-02   
11      1961.40      0.82983    3.404e-03   
12      2039.20      0.60532    2.778e-02   
13      2065.40      0.61405    2.397e-03   
14      2142.10      0.59617    3.238e-03   
15      2158.00      0.57958    1.347e-02   
16      2221.60      0.60053    3.267e-03   
17      2254.90      0.53444    1.548e-02   
18      2321.90      0.57581    3.591e-03   
19      2361.80      0.54985    3.847e-03   
20      2407.10      0.51995    5.707e-03   
21      2432.80      0.56806    7.865e-03   
22      2510.30      0.60066    1.410e-02   
23      2590.30      0.60252    5.219e-03   
24      2646.10      0.61912    6.818e-04   
25      2683.80      0.62841    3.772e-03   
26      2767.60      0.68080    7.459e-03   
27      2813.10      0.64593    1.708e-03   
28      2860.55      0.64111    3.734e-03   
29      2970.80      0.63481    7.537e-03   
30      3000.70      0.63745    1.504e-03   
31      3043.00      0.58032    1.756e-02   
32      3122.00      0.63755    2.720e-03   
33      3167.70      0.65776    8.300e-03   
34      3244.15      0.67503    3.228e-03   
35      3353.80      0.71314    7.535e-03   
36      3414.50      0.57254    5.286e-03   
37      3522.70      0.64160    8.609e-03   
38      3620.00      0.72850    5.427e-03   
39      3678.60      0.75143    8.639e-04   
40      3807.10      0.76420    1.968e-03   
41      3869.40      0.83321    1.261e-03   
42      3923.90      0.90375    5.341e-03   
43      3951.50      0.93611    2.652e-03   
44      4041.25      0.92354    4.421e-03   
45      4252.30      1.03810    1.301e-03   
46      4302.60      1.01360    4.608e-03   
47      4340.40      0.96474    3.817e-03   
48      4419.30      0.99562    2.221e-03   
49      4618.35      1.00540    1.116e-03   
50      4735.80      1.06840    2.775e-03   
51      4815.80      1.01020    5.206e-03   
52      4895.10      1.02520    1.372e-03   
53      5045.70      1.04850    1.289e-03   
54      5147.90      0.99143    1.882e-03   
55      5247.10      0.99296    1.837e-03   
56      5320.40      0.98715    2.894e-03   
57      5432.70      0.97375    2.332e-03   
58      5568.00      0.97094    1.154e-03   
59      5712.70      0.99736    8.742e-04   
60      5856.50      1.02110    4.213e-03   
61      5997.10      0.97296    9.245e-04   
62      6153.60      0.99434    5.646e-04   
63      6337.20      1.07710    2.273e-03   
64      6491.90      1.13740    3.763e-03   
65      6653.75      1.04055    2.619e-02   
66      6793.50      1.07540    1.501e-02   
67      6946.60      0.98013    5.937e-04   
68      7358.80      0.92480    1.143e-03   
69      7425.60      0.89627    2.638e-03   
70      7591.05      0.87818    7.273e-04   
71      7853.30      0.88168    3.666e-04   
72      8051.70      0.88751    1.518e-03   
73      8228.20      0.82990    1.287e-03   
74      8874.30      0.79754    3.264e-03   
75      9153.25      0.83865    3.517e-04   
76     10289.00      0.78036    4.176e-04   
77     10392.00      0.80419    1.928e-04   
78     10975.00      0.75979    1.003e-04   
79     13260.00      0.66677    1.083e-04   
80     14472.00      0.55597    4.374e-05   
81     16297.00      0.53025    2.896e-05   
82     17540.00      0.47841    6.103e-05   
83     19726.00      0.37499    1.032e-04   
84     21529.00      0.29861    2.979e-05   
85     23708.00      0.19786    9.019e-03   
86     27358.00      0.13798    1.326e-02   
87     29681.00      0.11724    2.004e-03   
88     37987.00      0.06011    6.848e-03   
89     90137.00      0.01750    4.058e-04   
90    370265.00      0.05399    4.171e-04   
91    592425.00      0.03462    1.394e-04   
