#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1262.10      0.16926    1.693e-01   
1       1432.70      0.08455    8.455e-02   
2       1540.65      0.06914    6.914e-02   
3       1624.35      0.07839    1.015e-01   
4       1682.95      0.07192    2.160e-02   
5       1731.35      0.08867    4.267e-02   
6       1791.65      0.07433    2.825e-02   
7       1842.70      0.09520    3.352e-02   
8       1895.25      0.08855    4.319e-02   
9       1931.15      0.08075    1.535e-02   
10      1982.20      0.14369    6.970e-03   
11      2025.00      0.13656    1.317e-02   
12      2093.45      0.11638    7.675e-03   
13      2143.10      0.11736    7.585e-03   
14      2187.10      0.11457    3.359e-03   
15      2253.55      0.11106    2.242e-02   
16      2289.55      0.11650    8.625e-03   
17      2345.05      0.12597    7.818e-03   
18      2375.15      0.12552    8.875e-03   
19      2416.90      0.13648    4.875e-03   
20      2467.50      0.10903    7.707e-03   
21      2542.45      0.12292    4.073e-03   
22      2603.20      0.14514    1.203e-02   
23      2670.70      0.19417    2.252e-03   
24      2724.95      0.17756    2.534e-03   
25      2788.45      0.16548    2.651e-03   
26      2821.60      0.17685    4.717e-03   
27      2881.05      0.24262    1.596e-03   
28      2928.00      0.24995    2.415e-03   
29      3006.40      0.26924    2.966e-03   
30      3082.25      0.30127    8.987e-04   
31      3153.95      0.32821    8.144e-04   
32      3231.10      0.33923    1.913e-03   
33      3303.65      0.37409    1.485e-03   
34      3386.60      0.39793    2.098e-03   
35      3468.30      0.42052    1.678e-03   
36      3558.20      0.45132    6.498e-04   
37      3642.80      0.51619    1.271e-03   
38      3731.05      0.52874    8.626e-04   
39      3830.55      0.55828    1.589e-03   
40      3926.35      0.66775    5.424e-04   
41      4007.15      0.72777    4.652e-04   
42      4063.35      0.78233    7.084e-04   
43      4167.20      0.83066    1.319e-03   
44      4320.50      0.94410    6.263e-04   
45      4425.95      0.98205    4.320e-04   
46      4532.45      1.03875    4.874e-04   
47      4659.40      1.08115    3.935e-04   
48      4732.85      1.08265    3.061e-04   
49      4816.15      1.09775    4.390e-04   
50      4919.20      1.09045    4.958e-04   
51      5015.45      1.10010    5.385e-04   
52      5116.10      1.09915    1.990e-04   
53      5232.75      1.10825    5.725e-04   
54      5397.50      1.11075    4.060e-04   
55      5519.75      1.10630    2.302e-04   
56      5621.15      1.12550    9.713e-05   
57      5722.00      1.13620    2.698e-04   
58      5851.85      1.11860    4.438e-04   
59      5962.40      1.12830    3.316e-04   
60      6081.80      1.11115    3.787e-04   
61      6209.25      1.09810    1.680e-04   
62      6339.20      1.08000    3.967e-04   
63      6528.75      1.07250    1.633e-03   
64      6700.45      1.05685    2.856e-04   
65      6897.50      1.03920    1.171e-04   
66      7040.00      1.02765    4.296e-04   
67      7340.45      1.01265    1.230e-04   
68      7495.20      1.00285    1.075e-04   
69      7680.95      0.99665    5.067e-04   
70      7875.10      0.97445    5.462e-04   
71      8160.15      0.93514    3.279e-04   
72      8341.55      0.91726    3.619e-04   
73      8801.25      0.89162    7.761e-04   
74      9478.20      0.84835    8.584e-05   
75      9698.20      0.82530    2.556e-04   
76     10130.50      0.82321    4.454e-04   
77     10435.50      0.78759    1.307e-04   
78     11457.00      0.68610    5.460e-05   
79     13760.50      0.53627    1.032e-05   
80     15901.00      0.47253    6.809e-06   
81     16986.00      0.40737    7.403e-06   
82     18293.00      0.33376    1.747e-05   
83     20483.50      0.22845    1.591e-05   
84     21958.50      0.17630    6.543e-04   
85     25310.00      0.10135    2.669e-03   
86     27660.00      0.07587    3.974e-03   
87     31178.50      0.05607    2.783e-03   
88     37084.00      0.02800    2.524e-03   
89     96725.00      0.00118    1.182e-03   
90    446950.00      0.00144    1.437e-03   
91    715120.00      0.00099    9.910e-04   
