#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1197.00      0.70470    1.681e-01   
1       1306.25      0.80336    2.615e-02   
2       1393.50      0.91486    1.302e-02   
3       1453.55      1.01070    4.681e-02   
4       1512.90      0.91530    1.352e-02   
5       1584.85      1.06915    9.622e-03   
6       1684.30      1.04700    3.595e-02   
7       1713.60      0.91834    1.486e-02   
8       1778.50      0.95777    2.066e-02   
9       1825.50      0.91676    4.449e-03   
10      1885.65      0.85580    8.560e-03   
11      1952.20      0.76178    8.642e-03   
12      1990.00      0.76195    1.008e-02   
13      2040.60      0.76318    2.021e-02   
14      2106.20      0.63347    1.359e-02   
15      2156.20      0.63718    6.325e-03   
16      2178.10      0.73727    5.364e-03   
17      2229.40      0.64315    7.358e-03   
18      2269.80      0.62173    2.187e-02   
19      2330.20      0.59833    1.230e-02   
20      2371.00      0.54213    4.672e-03   
21      2435.90      0.65626    1.840e-03   
22      2500.20      0.60064    1.158e-02   
23      2554.40      0.58482    7.217e-03   
24      2575.80      0.56130    6.928e-03   
25      2628.60      0.64530    2.308e-03   
26      2702.40      0.59575    7.749e-03   
27      2773.80      0.64875    3.986e-03   
28      2853.25      0.67631    8.906e-03   
29      2900.40      0.67240    1.270e-02   
30      2937.95      0.61969    2.686e-03   
31      3000.00      0.75589    1.873e-02   
32      3028.70      0.60180    9.661e-03   
33      3121.10      0.64265    5.421e-03   
34      3175.40      0.63161    1.767e-03   
35      3239.80      0.64026    1.466e-02   
36      3305.50      0.65472    3.545e-03   
37      3398.75      0.66582    2.539e-03   
38      3539.00      0.60303    1.044e-02   
39      3575.10      0.68944    2.471e-03   
40      3631.90      0.73533    7.551e-03   
41      3716.90      0.71991    6.637e-03   
42      3774.45      0.81593    2.724e-03   
43      3901.30      0.87013    4.436e-03   
44      3964.05      0.80444    3.416e-03   
45      3997.00      0.93640    1.704e-03   
46      4135.05      0.87100    4.931e-03   
47      4226.10      0.98949    2.255e-03   
48      4328.20      1.01150    5.255e-03   
49      4408.40      0.98813    1.306e-03   
50      4500.30      0.98508    2.072e-03   
51      4603.25      0.99424    2.991e-03   
52      4674.50      1.01350    2.030e-03   
53      4805.35      0.98220    1.887e-03   
54      4838.90      0.95728    3.610e-03   
55      5023.30      0.99192    1.799e-03   
56      5131.20      0.93541    2.119e-03   
57      5173.30      0.92398    1.842e-03   
58      5404.80      0.92948    2.455e-03   
59      5529.90      0.94623    5.656e-04   
60      5633.65      0.94935    1.381e-03   
61      5782.00      0.92390    6.495e-04   
62      5973.25      0.98374    2.713e-03   
63      6108.50      0.92682    2.973e-03   
64      6162.50      0.93079    1.350e-02   
65      6261.35      0.95889    3.073e-03   
66      6411.30      1.01880    2.270e-03   
67      6759.65      1.00006    2.129e-03   
68      6907.40      0.92327    6.432e-04   
69      7239.05      0.86567    2.708e-03   
70      7553.20      0.86102    3.203e-04   
71      7630.10      0.83566    3.446e-03   
72      8031.00      0.75307    3.143e-03   
73      8157.60      0.74420    1.258e-03   
74      8362.00      0.77633    1.776e-03   
75      8649.60      0.85841    1.489e-03   
76      9536.00      0.78601    9.506e-04   
77     10345.00      0.76264    1.154e-04   
78     10582.00      0.69974    1.631e-04   
79     12812.00      0.62836    6.372e-05   
80     13998.00      0.56524    3.819e-05   
81     15839.50      0.50537    1.969e-05   
82     16987.00      0.48209    8.421e-06   
83     18306.50      0.39724    4.452e-05   
84     20927.00      0.29500    3.611e-03   
85     22595.50      0.21129    2.929e-03   
86     25582.00      0.14912    4.539e-03   
87     29286.00      0.11649    1.237e-03   
88     35108.00      0.07284    1.353e-03   
89     89890.00      0.01127    1.944e-04   
90    392820.00      0.00389    8.045e-04   
91    628510.00      0.00314    4.770e-04   
