#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1243.50      0.41565    5.463e-02   
1       1410.00      0.35372    7.064e-02   
2       1493.60      0.39538    8.868e-02   
3       1582.80      0.40936    3.259e-02   
4       1699.50      0.41605    2.275e-02   
5       1759.60      0.42189    5.493e-02   
6       1813.20      0.37332    9.010e-03   
7       1834.30      0.33708    1.710e-02   
8       1855.55      0.38659    5.734e-03   
9       1916.70      0.40709    1.466e-02   
10      2027.70      0.35045    9.673e-03   
11      2080.00      0.39676    2.884e-02   
12      2142.90      0.34242    9.449e-03   
13      2181.75      0.31412    1.228e-02   
14      2204.70      0.36243    2.829e-03   
15      2256.30      0.32636    1.893e-02   
16      2350.05      0.31295    6.303e-03   
17      2403.70      0.33785    1.094e-03   
18      2476.05      0.31639    1.188e-02   
19      2555.10      0.37690    4.533e-03   
20      2585.10      0.31564    1.319e-02   
21      2613.10      0.38407    8.898e-04   
22      2685.60      0.40477    1.133e-03   
23      2771.00      0.40616    9.894e-04   
24      2833.20      0.40553    4.768e-04   
25      2873.80      0.41890    2.108e-03   
26      2912.30      0.40417    3.493e-03   
27      2966.20      0.43978    2.882e-04   
28      3041.50      0.46137    5.146e-03   
29      3103.50      0.48918    1.255e-03   
30      3154.35      0.51084    1.628e-03   
31      3218.00      0.50587    2.964e-04   
32      3277.10      0.48971    7.923e-04   
33      3350.10      0.50679    4.946e-03   
34      3427.30      0.51583    5.689e-04   
35      3567.70      0.52046    2.972e-03   
36      3635.40      0.60916    3.077e-03   
37      3683.30      0.61690    3.752e-03   
38      3751.50      0.62431    1.281e-03   
39      3820.70      0.70303    2.975e-04   
40      3912.55      0.72008    3.032e-04   
41      3970.00      0.81273    1.765e-03   
42      4028.50      0.80500    2.004e-04   
43      4185.00      0.93354    1.621e-03   
44      4247.00      0.96815    7.138e-04   
45      4380.20      0.98879    1.973e-03   
46      4469.30      1.01630    7.608e-04   
47      4523.70      1.03320    6.791e-04   
48      4689.00      1.04855    1.144e-03   
49      4801.60      1.06920    1.437e-03   
50      4892.40      1.03250    1.587e-04   
51      5072.30      1.05920    2.137e-04   
52      5163.80      1.00540    2.066e-03   
53      5221.65      1.05410    8.918e-05   
54      5316.60      1.09410    5.926e-04   
55      5462.65      1.12260    3.090e-04   
56      5658.20      1.11350    4.447e-05   
57      5734.90      1.12740    1.238e-03   
58      5906.90      1.10655    1.736e-03   
59      6073.60      1.10890    8.601e-05   
60      6193.35      1.10470    1.758e-04   
61      6231.80      1.14290    1.770e-03   
62      6341.60      1.15300    3.819e-04   
63      6585.60      1.13180    1.833e-04   
64      6836.80      1.10480    5.034e-04   
65      6975.05      1.11305    1.047e-04   
66      7241.00      1.07750    1.524e-04   
67      7513.05      1.04065    1.057e-04   
68      7573.20      1.01550    4.995e-04   
69      7699.80      1.03240    3.191e-05   
70      8061.65      1.02205    8.059e-04   
71      8321.90      0.99383    9.843e-05   
72      8746.60      0.98613    9.511e-04   
73      9243.20      0.95106    8.153e-05   
74      9890.10      0.93493    2.754e-04   
75     10450.50      0.89481    9.439e-05   
76     10637.00      0.90670    5.167e-05   
77     10703.00      0.91559    2.478e-05   
78     10908.00      0.86794    4.116e-05   
79     13202.00      0.71415    3.963e-05   
80     15786.50      0.58149    8.355e-06   
81     17273.00      0.48869    5.983e-06   
82     18369.50      0.45130    3.800e-06   
83     20695.00      0.28579    4.722e-05   
84     22407.00      0.23690    5.040e-06   
85     25466.50      0.15159    9.098e-04   
86     28151.00      0.11038    1.843e-04   
87     32797.00      0.08008    1.386e-03   
88     39298.00      0.04723    1.550e-04   
89    102515.00      0.00248    3.047e-05   
90    486765.00      0.00109    1.101e-04   
91    778830.00      0.00077    4.032e-05   
