#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0        836.89      0.44048    4.405e-01   
1        907.76      0.39738    1.673e-01   
2        957.75      0.75831    6.430e-02   
3        997.73      0.86376    7.858e-02   
4       1044.00      1.17560    3.866e-02   
5       1082.40      1.20190    5.934e-02   
6       1135.20      1.37310    3.885e-02   
7       1171.60      0.95506    5.259e-02   
8       1198.70      1.46250    3.703e-02   
9       1241.00      1.69160    1.578e-02   
10      1269.80      1.81100    1.752e-02   
11      1298.00      1.97020    2.850e-02   
12      1327.30      1.92210    1.871e-02   
13      1350.70      1.98840    1.333e-02   
14      1391.80      2.13110    1.772e-02   
15      1407.10      1.98240    1.388e-02   
16      1437.10      1.91400    6.518e-03   
17      1457.70      1.86850    1.546e-02   
18      1475.20      1.99170    8.435e-03   
19      1509.20      1.93940    7.924e-03   
20      1544.30      1.80000    1.106e-02   
21      1576.00      1.86620    9.369e-03   
22      1601.40      1.83350    1.579e-02   
23      1625.50      1.82260    6.732e-03   
24      1653.00      1.81530    1.521e-02   
25      1682.90      1.74050    1.315e-02   
26      1720.35      1.80035    8.762e-03   
27      1745.60      1.71240    4.953e-03   
28      1777.70      1.64600    1.354e-02   
29      1815.00      1.63010    6.794e-03   
30      1856.30      1.64770    2.724e-02   
31      1896.20      1.44380    1.631e-02   
32      1941.70      1.49480    3.394e-02   
33      1974.80      1.47110    6.463e-03   
34      2011.00      1.39020    7.472e-03   
35      2059.70      1.32540    1.693e-02   
36      2098.30      1.22240    1.024e-02   
37      2142.30      1.26930    1.205e-02   
38      2195.00      1.31500    2.026e-02   
39      2241.70      1.21150    1.284e-02   
40      2301.40      1.17250    1.168e-02   
41      2363.60      1.00950    1.921e-02   
42      2423.80      1.09000    7.020e-03   
43      2486.30      1.06080    6.970e-03   
44      2550.50      1.11030    8.069e-03   
45      2607.60      1.02680    9.215e-03   
46      2689.90      0.98231    5.309e-03   
47      2748.00      0.96128    1.022e-02   
48      2794.50      1.04240    5.981e-03   
49      2849.20      1.02480    1.223e-02   
50      2903.40      1.00960    5.924e-03   
51      2964.40      0.97569    3.838e-03   
52      3042.30      0.96367    3.302e-03   
53      3114.50      0.94564    7.805e-03   
54      3198.30      0.96906    4.395e-03   
55      3258.00      0.87298    5.453e-03   
56      3350.70      0.92870    4.777e-03   
57      3415.60      0.77054    9.180e-03   
58      3468.30      0.92358    5.433e-03   
59      3544.30      0.97057    7.509e-03   
60      3649.20      0.97719    4.979e-03   
61      3742.00      0.99652    6.112e-03   
62      3806.35      0.98969    1.053e-02   
63      3889.30      1.05120    5.082e-03   
64      3994.50      1.06800    3.259e-03   
65      4140.30      1.00120    6.926e-03   
66      4239.90      1.03410    5.094e-03   
67      4358.50      1.03540    4.444e-03   
68      4577.10      0.99242    7.834e-03   
69      4764.70      0.92795    7.334e-03   
70      4849.30      0.99180    1.105e-02   
71      5076.90      0.90166    1.856e-03   
72      5210.10      0.81752    8.427e-03   
73      5283.90      0.94366    8.203e-03   
74      5452.30      0.73967    4.524e-03   
75      5594.20      0.76767    3.368e-03   
76      5792.00      0.68811    1.137e-02   
77      5919.70      0.70552    2.512e-03   
78      6067.20      0.58624    6.252e-04   
79      8574.80      0.41132    1.176e-04   
80      9306.45      0.39875    9.696e-05   
81     10038.00      0.36685    1.245e-04   
82     11124.00      0.31380    7.551e-05   
83     12323.00      0.27132    1.144e-04   
84     13487.00      0.19150    1.284e-02   
85     14794.00      0.15834    7.346e-03   
86     17200.00      0.10853    1.792e-02   
87     19356.00      0.13584    5.163e-03   
88     21397.00      0.09355    9.335e-03   
89     59185.00      0.01873    9.990e-03   
90    246600.00      0.01912    1.912e-02   
91    394560.00      0.01247    1.247e-02   
