#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0        856.09      0.40448    4.045e-01   
1        923.85      0.67364    2.328e-01   
2        969.48      1.00530    5.258e-02   
3       1008.30      1.28500    5.148e-02   
4       1044.50      1.38160    2.743e-02   
5       1083.80      1.46240    2.384e-02   
6       1122.60      1.51710    3.862e-02   
7       1157.70      1.53420    4.397e-02   
8       1189.00      1.79500    1.302e-02   
9       1224.50      2.00920    3.068e-02   
10      1260.20      2.14520    1.166e-02   
11      1286.30      2.09020    1.457e-02   
12      1325.50      2.15830    1.078e-02   
13      1352.90      2.24180    1.479e-02   
14      1379.65      2.19145    1.306e-02   
15      1404.80      2.29500    8.986e-03   
16      1436.60      2.37690    1.511e-02   
17      1460.40      2.25010    8.731e-03   
18      1492.80      2.15540    5.310e-03   
19      1514.80      2.16850    8.153e-03   
20      1537.70      2.14680    8.414e-03   
21      1574.20      2.11620    8.872e-03   
22      1607.90      2.11690    9.687e-03   
23      1637.70      2.08850    1.036e-02   
24      1666.20      1.99130    6.546e-03   
25      1698.70      2.02510    8.043e-03   
26      1726.20      1.96750    8.581e-03   
27      1756.10      1.89990    4.482e-03   
28      1782.80      1.91700    4.652e-03   
29      1820.20      1.84070    1.082e-02   
30      1868.90      1.77970    9.534e-03   
31      1917.50      1.66730    1.298e-02   
32      1960.70      1.62690    1.529e-02   
33      1998.70      1.55230    1.611e-02   
34      2044.50      1.43645    1.301e-02   
35      2090.00      1.44420    1.112e-02   
36      2119.00      1.45160    7.521e-03   
37      2173.20      1.30680    1.082e-02   
38      2209.30      1.27270    1.027e-02   
39      2275.70      1.29010    9.185e-03   
40      2322.50      1.24680    1.520e-02   
41      2397.90      1.25400    1.246e-02   
42      2465.60      1.20480    1.256e-02   
43      2525.20      1.14310    5.754e-03   
44      2581.85      1.11125    8.695e-03   
45      2656.30      1.09460    8.970e-03   
46      2718.30      1.06990    5.851e-03   
47      2779.40      1.07150    7.090e-03   
48      2843.90      1.05860    9.314e-03   
49      2901.40      1.01650    7.304e-03   
50      2944.80      0.98043    1.132e-02   
51      3007.50      0.97443    9.790e-03   
52      3079.80      0.98555    7.052e-03   
53      3167.50      0.92985    7.675e-03   
54      3237.90      0.91138    5.383e-03   
55      3301.80      0.91048    7.227e-03   
56      3392.20      0.95325    5.584e-03   
57      3472.80      0.91765    6.258e-03   
58      3529.40      0.93162    8.372e-03   
59      3579.80      0.97819    7.656e-03   
60      3645.30      1.02810    5.646e-03   
61      3748.20      1.01770    5.790e-03   
62      3839.50      1.02190    8.817e-03   
63      3951.60      1.05910    6.319e-03   
64      4024.80      1.06200    6.369e-03   
65      4189.40      1.07860    3.987e-03   
66      4311.70      1.00540    5.080e-03   
67      4408.60      0.98676    5.025e-03   
68      4593.50      0.96996    5.917e-03   
69      4740.40      0.98334    5.434e-03   
70      4857.80      0.97905    6.119e-03   
71      5044.20      0.90482    1.185e-02   
72      5207.20      0.83875    4.381e-03   
73      5417.00      0.73532    6.276e-03   
74      5558.55      0.70583    7.599e-03   
75      5741.10      0.70144    5.804e-03   
76      5905.30      0.66488    5.568e-03   
77      6050.40      0.69081    5.175e-03   
78      6243.70      0.63627    1.427e-03   
79      8575.40      0.37726    1.882e-04   
80      9579.10      0.34557    1.177e-04   
81     10141.00      0.30428    1.792e-04   
82     11430.00      0.25355    1.140e-04   
83     12430.00      0.21205    1.970e-04   
84     13470.00      0.21316    2.700e-02   
85     15181.00      0.15351    7.970e-03   
86     16995.00      0.13574    2.973e-02   
87     19585.00      0.08377    1.653e-02   
88     21817.00      0.04683    9.668e-03   
89     60613.50      0.00334    3.339e-03   
90    257245.00      0.00339    3.393e-03   
91    411595.00      0.00241    2.411e-03   
