#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0        951.30      0.76521    7.652e-01   
1       1004.80      1.03830    1.038e+00   
2       1030.30      0.59292    5.929e-01   
3       1057.10      0.39455    3.946e-01   
4       1145.90      0.12406    1.241e-01   
5       1180.40      0.17910    4.337e-01   
6       1212.90      0.35520    3.552e-01   
7       1273.40      0.18154    3.525e-01   
8       1332.40      0.41225    4.123e-01   
9       1358.90      0.14261    1.759e-01   
10      1392.70      0.35370    3.537e-01   
11      1432.80      0.38806    3.881e-01   
12      1453.90      0.41349    9.229e-02   
13      1471.70      0.29534    2.953e-01   
14      1502.90      0.24986    2.499e-01   
15      1536.90      0.31320    1.509e-01   
16      1577.50      0.33252    3.325e-01   
17      1615.60      0.46965    2.534e-01   
18      1636.50      0.49757    1.618e-01   
19      1659.30      0.41160    1.369e-01   
20      1702.10      0.30615    3.061e-01   
21      1723.70      0.30424    1.271e-01   
22      1746.80      0.25975    4.783e-02   
23      1759.10      0.21180    2.276e-02   
24      1786.70      0.21301    2.130e-01   
25      1821.80      0.59172    5.865e-02   
26      1922.20      0.27239    1.431e-01   
27      1984.80      0.27807    1.686e-01   
28      2028.40      0.14359    2.489e-01   
29      2040.30      0.31386    7.257e-02   
30      2082.60      0.14248    1.529e-01   
31      2104.80      0.22288    2.229e-01   
32      2153.20      0.21724    9.914e-02   
33      2178.40      0.44986    1.300e-01   
34      2210.50      0.54664    1.029e-01   
35      2268.00      0.14415    7.774e-02   
36      2342.10      0.33341    3.334e-01   
37      2421.70      0.29678    6.278e-02   
38      2465.80      0.16709    1.984e-01   
39      2535.40      0.22798    6.912e-02   
40      2615.90      0.21845    1.615e-01   
41      2705.90      0.15705    8.254e-02   
42      2791.90      0.26974    1.641e-01   
43      2832.30      0.28382    8.642e-02   
44      2873.15      0.37921    9.398e-02   
45      2906.00      0.25831    1.083e-01   
46      3033.40      0.37167    5.503e-02   
47      3102.90      0.43271    6.646e-02   
48      3154.30      0.57729    4.382e-02   
49      3231.70      0.43829    2.117e-02   
50      3320.50      0.42717    3.082e-02   
51      3389.30      0.34140    8.879e-02   
52      3418.10      0.55344    1.920e-02   
53      3456.80      0.49016    3.680e-02   
54      3502.00      0.55809    4.272e-02   
55      3566.90      0.52294    1.839e-02   
56      3702.10      0.58508    2.552e-02   
57      3808.20      0.93191    3.982e-02   
58      3890.60      1.04180    2.208e-02   
59      4063.30      0.84238    6.252e-03   
60      4133.80      0.89769    4.239e-02   
61      4197.20      1.20130    4.733e-03   
62      4235.90      1.03450    2.227e-02   
63      4322.20      0.94238    3.054e-02   
64      4400.50      1.03310    1.879e-02   
65      4508.10      0.85580    2.746e-02   
66      4616.20      1.15970    1.040e-02   
67      4699.80      0.98635    1.220e-02   
68      4865.20      1.42480    1.712e-02   
69      5477.50      1.36000    1.875e-02   
70      5708.30      1.33370    1.945e-02   
71      5744.80      1.35580    2.383e-02   
72      5818.70      1.33590    4.243e-02   
73      5854.30      1.47740    4.461e-03   
74      5886.40      1.36315    8.363e-03   
75      5928.00      1.32400    1.045e-02   
76      5975.00      1.36900    4.847e-03   
77      6077.20      1.40510    5.331e-03   
78      8991.50      1.62630    1.165e-04   
79      9617.90      1.71240    1.992e-04   
80      9988.90      1.80060    3.556e-05   
81     11944.00      1.61140    7.917e-05   
82     12288.00      1.63770    3.724e-05   
83     12884.00      1.47940    7.620e-05   
84     15286.00      1.37870    1.262e-02   
85     15748.00      1.27610    2.604e-03   
86     19741.00      1.01720    5.462e-03   
87     21416.00      0.75468    1.370e-02   
88     21936.00      0.70891    5.838e-03   
89     64777.00      0.24005    1.655e-03   
90    271130.00      0.13113    6.165e-03   
91    433800.00      0.18556    2.405e-03   
