#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0        826.20      0.48688    4.869e-01   
1        885.78      0.54187    4.836e-01   
2        961.99      1.43230    1.463e-01   
3       1001.00      2.02640    3.674e-02   
4       1032.60      2.19250    3.184e-02   
5       1073.50      2.32070    5.146e-02   
6       1141.90      2.40150    4.761e-02   
7       1175.50      2.27420    6.113e-02   
8       1204.90      2.86370    3.230e-02   
9       1243.90      3.27190    5.069e-03   
10      1280.55      3.28950    6.863e-02   
11      1309.50      3.07690    9.839e-03   
12      1335.20      3.19310    2.238e-02   
13      1359.05      3.27605    1.240e-02   
14      1385.20      3.35460    2.987e-02   
15      1410.45      3.21395    1.728e-02   
16      1435.40      3.14600    8.422e-03   
17      1446.90      3.08290    1.426e-02   
18      1470.15      3.14200    8.789e-03   
19      1505.40      2.83980    1.526e-02   
20      1536.05      2.92730    7.766e-03   
21      1572.70      2.76390    1.899e-02   
22      1625.45      2.84085    1.561e-02   
23      1647.70      2.65840    1.349e-02   
24      1681.90      2.58210    5.933e-03   
25      1706.20      2.50140    2.006e-02   
26      1725.00      2.42820    6.242e-03   
27      1748.60      2.54610    6.479e-03   
28      1772.15      2.42185    8.532e-03   
29      1792.75      2.54945    7.024e-03   
30      1817.80      2.24940    1.011e-02   
31      1863.05      2.25515    1.874e-02   
32      1910.45      2.05175    1.171e-01   
33      1964.80      1.99190    1.030e-02   
34      2020.50      1.81775    1.889e-02   
35      2054.70      1.90455    1.119e-02   
36      2095.80      1.75090    1.052e-02   
37      2145.70      1.65250    1.198e-02   
38      2182.85      1.65215    8.151e-03   
39      2229.70      1.57260    8.483e-03   
40      2311.70      1.51000    1.246e-02   
41      2350.20      1.28815    3.136e-02   
42      2383.65      1.36580    2.353e-02   
43      2440.45      1.39875    6.355e-03   
44      2513.00      1.29480    1.405e-02   
45      2547.55      1.33580    3.422e-02   
46      2651.60      1.13905    1.851e-02   
47      2757.85      1.10670    1.150e-02   
48      2802.10      1.21900    4.518e-03   
49      2843.35      1.09760    1.931e-02   
50      2891.00      1.11430    9.501e-03   
51      2936.50      1.10780    1.060e-02   
52      2994.95      1.14050    8.591e-03   
53      3077.40      0.96528    1.622e-02   
54      3162.20      0.98544    1.651e-02   
55      3281.80      0.94831    8.361e-03   
56      3393.75      0.97398    4.786e-03   
57      3439.40      1.01030    5.455e-03   
58      3478.50      0.94341    8.248e-03   
59      3544.95      1.02385    5.626e-03   
60      3599.25      1.04380    1.039e-02   
61      3705.70      1.08860    5.843e-03   
62      3781.60      1.08050    2.516e-02   
63      3871.40      1.05070    8.977e-03   
64      4010.25      1.05655    2.161e-02   
65      4157.00      1.06000    1.687e-03   
66      4318.20      0.95935    6.243e-03   
67      4543.20      0.96032    7.244e-03   
68      4732.50      1.05600    4.814e-03   
69      4784.60      1.12300    1.477e-02   
70      4825.45      1.15275    5.077e-02   
71      4910.60      1.11205    9.069e-03   
72      5010.00      0.94512    3.262e-02   
73      5159.80      0.87395    1.288e-02   
74      5469.60      0.72555    2.099e-02   
75      5767.55      0.63119    7.081e-03   
76      5931.30      0.62625    9.789e-03   
77      6024.10      0.61325    8.444e-03   
78      6163.00      0.57819    2.091e-03   
79      8212.05      0.36692    4.416e-04   
80      9676.10      0.30624    1.966e-04   
81     10037.50      0.24184    2.068e-04   
82     10770.00      0.23767    3.434e-04   
83     12545.00      0.17074    1.649e-04   
84     13086.00      0.16089    1.846e-02   
85     15384.00      0.09287    2.352e-02   
86     17505.00      0.10697    1.092e-02   
87     18697.00      0.08279    4.137e-02   
88     21979.00      0.03448    2.353e-02   
89     57634.00      0.04150    3.733e-02   
90    240140.00      0.07060    7.060e-02   
91    384230.00      0.04802    4.802e-02   
