#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0        822.81      0.53307    5.331e-01   
1        916.05      0.64874    3.177e-01   
2        954.83      1.29830    5.876e-02   
3        991.48      1.77825    2.872e-02   
4       1038.70      1.82850    4.973e-02   
5       1078.95      2.02820    3.026e-02   
6       1126.00      2.01370    3.394e-02   
7       1167.95      1.98880    2.798e-02   
8       1205.50      2.41905    2.596e-02   
9       1240.20      2.78340    1.244e-02   
10      1270.70      2.79465    2.006e-02   
11      1305.95      2.83725    1.774e-02   
12      1334.80      2.87260    1.199e-02   
13      1357.70      2.84260    9.812e-03   
14      1382.70      2.94230    1.065e-02   
15      1406.10      2.81680    1.187e-02   
16      1436.45      2.83925    9.953e-03   
17      1462.90      2.76820    1.284e-02   
18      1496.30      2.65985    9.620e-03   
19      1517.15      2.69160    7.282e-03   
20      1550.60      2.63660    8.909e-03   
21      1569.85      2.62980    9.494e-03   
22      1605.80      2.63400    1.214e-02   
23      1628.85      2.50645    9.895e-03   
24      1653.60      2.50535    6.387e-03   
25      1682.40      2.45000    6.298e-03   
26      1704.55      2.38545    6.684e-03   
27      1732.90      2.36425    5.778e-03   
28      1767.70      2.28090    8.571e-03   
29      1803.70      2.23460    6.508e-03   
30      1849.45      2.11450    9.736e-03   
31      1896.80      2.03490    1.513e-02   
32      1932.20      1.97950    1.206e-02   
33      1965.80      1.95830    1.084e-02   
34      2004.90      1.79700    1.538e-02   
35      2036.30      1.78980    1.279e-02   
36      2080.60      1.66920    1.509e-02   
37      2125.10      1.65035    1.081e-02   
38      2172.00      1.63195    1.168e-02   
39      2210.30      1.58200    1.188e-02   
40      2259.45      1.57820    1.274e-02   
41      2319.00      1.50670    8.267e-03   
42      2375.55      1.43310    1.226e-02   
43      2455.40      1.36070    9.529e-03   
44      2519.20      1.26840    8.336e-03   
45      2581.20      1.31400    7.862e-03   
46      2655.40      1.28695    8.401e-03   
47      2701.10      1.25350    7.346e-03   
48      2752.45      1.18310    8.084e-03   
49      2816.90      1.19820    8.084e-03   
50      2880.95      1.11645    8.286e-03   
51      2944.45      1.10495    9.609e-03   
52      3006.30      1.10970    5.787e-03   
53      3101.95      1.08425    7.246e-03   
54      3182.90      1.01735    6.631e-03   
55      3248.20      1.07780    4.501e-03   
56      3312.85      1.04145    5.935e-03   
57      3371.20      1.00370    6.904e-03   
58      3464.15      1.00450    7.118e-03   
59      3536.75      1.02670    7.050e-03   
60      3597.00      1.10100    8.731e-03   
61      3687.75      1.12210    6.683e-03   
62      3800.20      1.18335    6.132e-03   
63      3908.00      1.11400    4.958e-03   
64      4011.35      1.08345    4.653e-03   
65      4108.90      1.06385    5.446e-03   
66      4263.10      1.00030    6.558e-03   
67      4398.70      0.96734    7.693e-03   
68      4547.10      1.04970    9.590e-03   
69      4660.45      0.99637    1.084e-02   
70      4791.80      0.97326    6.594e-03   
71      5004.50      0.94162    7.334e-03   
72      5219.10      0.84832    7.006e-03   
73      5388.45      0.71127    7.385e-03   
74      5506.80      0.69233    8.494e-03   
75      5619.70      0.64345    7.524e-03   
76      5734.30      0.67870    1.100e-02   
77      5970.00      0.60369    6.670e-03   
78      6151.20      0.63471    1.532e-03   
79      8511.50      0.36368    2.088e-04   
80      9305.90      0.32004    1.921e-04   
81      9949.80      0.27648    1.736e-04   
82     11294.00      0.23816    1.088e-04   
83     12248.00      0.19944    2.992e-04   
84     13295.00      0.15688    1.119e-02   
85     14965.00      0.13942    9.990e-03   
86     16762.00      0.10789    2.743e-02   
87     19655.00      0.07265    8.586e-03   
88     21520.00      0.04605    1.642e-02   
89     60314.00      0.02251    2.251e-02   
90    251910.00      0.03377    3.377e-02   
91    403060.00      0.02222    2.222e-02   
