#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0        815.86      4.86190    4.862e+00   
1        829.44      0.51265    5.127e-01   
2        841.62      0.76135    2.953e-01   
3        898.48      1.67000    3.460e-01   
4        956.49      2.79950    2.201e-01   
5        973.69      4.60170    1.666e-01   
6       1037.90      4.88860    1.700e-02   
7       1072.20      3.65630    2.582e-01   
8       1092.45      4.53825    6.325e-02   
9       1154.80      3.98170    8.403e-02   
10      1168.90      3.63560    1.245e-01   
11      1185.00      5.18450    8.251e-02   
12      1196.90      5.26480    4.931e-02   
13      1239.95      5.86755    2.457e-02   
14      1278.10      5.65510    3.643e-01   
15      1298.50      5.73970    8.399e-02   
16      1317.70      5.32360    3.017e-02   
17      1328.80      5.17420    3.669e-02   
18      1341.50      5.35770    3.160e-02   
19      1375.80      5.58175    4.923e-02   
20      1392.90      4.90610    9.302e-02   
21      1412.00      5.00270    1.444e-02   
22      1426.30      5.10730    1.239e-02   
23      1434.90      5.05680    2.437e-02   
24      1444.30      5.35670    2.036e-02   
25      1462.45      5.05220    2.383e-02   
26      1497.50      4.86960    3.096e-02   
27      1514.80      4.97020    6.176e-02   
28      1567.60      4.59550    1.489e-02   
29      1625.00      4.50750    3.619e-02   
30      1645.20      4.22190    3.960e-02   
31      1685.20      4.44480    7.162e-02   
32      1703.00      3.88170    1.659e-01   
33      1716.00      4.11150    5.062e-02   
34      1736.10      3.80660    6.508e-02   
35      1762.10      3.60820    2.460e-01   
36      1784.90      3.94870    3.024e-02   
37      1796.60      3.56940    3.804e-02   
38      1831.50      3.40020    2.742e-02   
39      1873.20      3.21110    2.224e-01   
40      1903.50      2.90600    4.006e-01   
41      1936.10      3.16415    4.132e-02   
42      2000.60      3.25200    4.756e-02   
43      2034.20      3.02600    3.394e-02   
44      2116.40      2.90890    3.461e-02   
45      2183.40   -26428.00000   -2.643e+04   
46      2208.40      2.03200    4.878e-02   
47      2327.30      2.32995    4.803e-02   
48      2342.60      2.40400    5.111e-02   
49      2364.40      2.05150    2.554e-02   
50      2389.20      0.20714    1.109e-01   
51      2523.40      1.88540    4.105e-02   
52      2545.60      1.58815    8.236e-02   
53      2581.10      1.72290    2.546e-02   
54      2760.10      1.90550    7.196e-03   
55      2794.40      1.64920    1.102e-02   
56      2827.80      1.73050    4.493e-02   
57      2853.60      1.70910    3.734e-02   
58      2951.70      1.42565    2.394e-02   
59      3066.20      1.54650    3.738e-02   
60      3104.90      1.28140    7.830e-02   
61      3168.50      1.38090    2.320e-02   
62      3404.40      1.32240    9.433e-03   
63      3435.30      1.47615    2.924e-02   
64      3469.10      1.43930    2.346e-02   
65      3509.70      1.30970    1.749e-02   
66      3704.40      1.51430    1.086e-02   
67      3759.10      1.21730    9.943e-02   
68      3805.90      1.46510    1.070e-01   
69      4065.20      1.06815    2.497e-02   
70      4738.80      1.59420    2.340e-02   
71      4767.30      1.59110    3.160e-02   
72      4786.70      1.80050    2.170e-02   
73      4798.60      1.86800    6.309e-02   
74      4819.00      1.91330    1.875e-02   
75      4855.60      1.55220    4.151e-02   
76      4900.10      1.85400    5.971e-02   
77      5161.30      1.37160    8.933e-03   
78      5237.50      1.20880    4.469e-02   
79      7820.50      0.38048    1.782e-03   
80      7965.50      0.30468    1.096e-03   
81      8595.10      0.27087    6.503e-04   
82     10022.00      0.24660    8.703e-04   
83     10268.00      0.19661    7.113e-04   
84     12716.00      0.16817    2.104e-02   
85     12958.00      0.14223    1.025e-01   
86     14965.00      0.05740    2.580e-02   
87     17725.00      0.06389    4.119e-02   
88     19048.00      0.05388    5.388e-02   
89     53822.50      0.06221    6.221e-02   
90    222690.00      0.17487    1.749e-01   
91    356310.00      0.12114    1.211e-01   
