#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0        790.56      0.73501    7.350e-01   
1        904.86      1.09950    3.183e-01   
2        946.90      2.23350    1.017e-01   
3        988.34      2.87590    3.346e-02   
4       1021.60      3.70920    2.632e-02   
5       1065.00      3.78890    4.147e-02   
6       1103.30      3.59270    1.747e-02   
7       1143.70      3.35470    3.180e-02   
8       1172.20      3.84780    3.593e-02   
9       1209.30      4.20230    1.493e-02   
10      1234.35      4.55015    1.388e-02   
11      1265.60      4.62290    1.473e-02   
12      1302.50      4.62020    1.222e-02   
13      1324.40      4.61040    1.202e-02   
14      1350.50      4.63185    1.131e-02   
15      1372.50      4.58540    7.562e-03   
16      1399.50      4.55450    1.091e-02   
17      1432.60      4.45500    1.102e-02   
18      1466.45      4.28230    1.045e-02   
19      1488.40      4.12410    4.868e-03   
20      1506.90      4.03060    6.532e-03   
21      1549.10      3.95980    1.196e-02   
22      1573.20      3.90660    8.511e-03   
23      1600.70      3.78400    1.029e-02   
24      1621.30      3.75080    7.058e-03   
25      1640.00      3.68330    8.390e-03   
26      1669.45      3.57995    1.480e-02   
27      1693.10      3.57050    6.040e-03   
28      1716.50      3.47410    7.722e-03   
29      1753.90      3.27450    8.187e-03   
30      1783.40      3.21275    7.962e-03   
31      1827.40      3.08150    9.950e-03   
32      1869.40      2.99250    1.583e-02   
33      1918.40      2.77860    1.069e-02   
34      1958.80      2.70775    1.158e-02   
35      1997.90      2.58770    5.492e-03   
36      2035.30      2.44110    5.322e-03   
37      2078.60      2.32660    6.649e-03   
38      2114.25      2.33785    7.999e-03   
39      2149.10      2.22460    1.339e-02   
40      2195.30      2.15860    1.001e-02   
41      2253.70      2.08240    9.795e-03   
42      2295.05      2.02285    1.192e-02   
43      2350.10      1.89740    1.192e-02   
44      2431.20      1.78460    9.388e-03   
45      2507.10      1.72920    6.589e-03   
46      2563.80      1.64740    7.295e-03   
47      2637.10      1.67870    4.987e-03   
48      2697.30      1.42620    7.220e-03   
49      2763.50      1.43740    6.629e-03   
50      2821.25      1.41970    1.257e-02   
51      2870.40      1.37820    5.020e-03   
52      2943.10      1.32580    1.188e-02   
53      3038.20      1.29710    1.074e-02   
54      3124.60      1.16895    4.065e-03   
55      3176.40      1.21510    6.088e-03   
56      3242.70      1.16430    4.636e-03   
57      3320.10      1.11710    5.557e-03   
58      3399.25      1.13185    4.011e-03   
59      3456.30      1.05790    1.107e-02   
60      3516.20      1.11330    5.162e-03   
61      3621.70      1.19010    1.105e-02   
62      3767.45      1.15995    5.721e-03   
63      3865.40      1.18510    6.247e-03   
64      3955.00      1.13330    3.465e-03   
65      4116.80      1.00770    4.799e-03   
66      4223.95      1.02110    3.967e-03   
67      4333.80      0.98009    5.362e-03   
68      4400.50      1.00610    9.301e-03   
69      4541.40      0.99345    1.153e-02   
70      4664.90      1.04180    9.200e-03   
71      4806.10      0.99895    8.480e-03   
72      5163.60      0.89412    1.473e-02   
73      5398.20      0.65161    8.204e-03   
74      5517.40      0.60816    5.802e-03   
75      5647.50      0.60312    5.786e-03   
76      5816.00      0.56613    7.262e-03   
77      5915.00      0.55929    9.309e-03   
78      6075.55      0.56855    3.469e-03   
79      7967.60      0.31653    4.626e-04   
80      9182.20      0.27048    2.556e-04   
81      9783.20      0.24265    1.711e-04   
82     11285.00      0.19062    2.354e-04   
83     12085.00      0.16205    1.769e-04   
84     12819.00      0.13596    1.351e-02   
85     14930.00      0.08553    1.767e-02   
86     16200.50      0.07195    1.658e-02   
87     19785.00      0.04393    2.044e-02   
88     21614.00      0.03170    1.935e-02   
89     60606.00      0.01492    1.492e-02   
90    250190.00      0.03034    3.034e-02   
91    400300.00      0.01817    1.817e-02   
