#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0        819.04      1.18620    1.186e+00   
1        855.62      0.68536    4.987e-01   
2        930.27      2.02400    1.623e-01   
3        972.17      3.47650    5.324e-02   
4       1004.90      4.54120    1.870e-02   
5       1043.50      5.25570    1.039e-02   
6       1084.70      4.81460    2.920e-02   
7       1127.10      4.90620    1.966e-02   
8       1167.45      4.14430    3.659e-02   
9       1196.90      5.35160    2.068e-02   
10      1225.50      6.09130    1.054e-02   
11      1266.70      5.90790    8.726e-03   
12      1295.10      5.94150    1.211e-02   
13      1325.30      5.86490    2.460e-02   
14      1349.30      5.90380    1.368e-02   
15      1375.50      5.70810    1.054e-02   
16      1392.50      5.68700    1.055e-02   
17      1425.00      5.36460    8.382e-03   
18      1439.50      5.43810    1.069e-02   
19      1465.10      5.28870    6.665e-03   
20      1497.40      5.16830    1.310e-02   
21      1525.20      4.92470    1.218e-02   
22      1553.60      4.85430    4.277e-03   
23      1591.20      4.73180    9.133e-03   
24      1622.40      4.53650    1.013e-02   
25      1651.50      4.33230    9.712e-03   
26      1687.55      4.29260    6.128e-03   
27      1705.60      4.06600    2.625e-02   
28      1728.10      4.07300    1.010e-02   
29      1764.40      3.98020    1.728e-02   
30      1781.50      3.86130    9.602e-03   
31      1797.90      3.72980    7.497e-03   
32      1834.00      3.64830    9.121e-03   
33      1881.30      3.44490    7.710e-03   
34      1920.00      3.25940    1.186e-02   
35      1984.30      3.17620    2.217e-02   
36      2014.30      3.04360    1.459e-02   
37      2059.00      2.95780    7.572e-03   
38      2103.70      2.84230    8.622e-03   
39      2149.40      2.71140    6.314e-03   
40      2193.80      2.50710    6.210e-03   
41      2242.10      2.41140    9.451e-03   
42      2306.70      2.23010    1.745e-02   
43      2345.10      2.24500    1.151e-02   
44      2394.30      2.10070    1.593e-02   
45      2453.80      1.93850    1.071e-02   
46      2527.70      1.97950    8.086e-03   
47      2575.10      1.88320    1.024e-02   
48      2669.10      1.66810    9.197e-03   
49      2750.10      1.68710    5.755e-03   
50      2798.00      1.61190    6.792e-03   
51      2843.90      1.59130    1.531e-02   
52      2899.80      1.48320    4.646e-03   
53      2958.40      1.41360    1.187e-02   
54      3037.90      1.45040    8.604e-03   
55      3103.90      1.27720    1.691e-02   
56      3210.10      1.31290    7.332e-03   
57      3283.40      1.30020    7.098e-03   
58      3395.50      1.21530    5.026e-03   
59      3438.90      1.28330    1.290e-02   
60      3518.10      1.22600    6.384e-03   
61      3582.20      1.25760    4.909e-03   
62      3651.40      1.28500    8.929e-03   
63      3764.50      1.35780    2.018e-02   
64      3856.00      1.22350    1.070e-02   
65      3987.90      1.09220    6.958e-03   
66      4127.80      1.08690    6.037e-03   
67      4312.60      1.00480    5.493e-03   
68      4493.70      0.94855    1.425e-02   
69      4717.10      1.17550    7.384e-03   
70      4778.80      1.25710    2.231e-02   
71      4815.00      1.32270    3.137e-02   
72      4963.80      1.08980    1.235e-02   
73      5028.90      1.07380    1.425e-02   
74      5240.90      0.91770    5.763e-03   
75      5581.10      0.62941    8.352e-03   
76      5745.10      0.55682    9.888e-03   
77      5950.10      0.55631    6.651e-03   
78      6120.40      0.58494    3.519e-03   
79      7937.10      0.30372    4.522e-04   
80      9147.10      0.27760    2.664e-04   
81      9953.00      0.24081    3.325e-04   
82     10464.00      0.21140    3.180e-04   
83     12051.00      0.16337    1.828e-04   
84     12809.00      0.13358    2.284e-02   
85     14414.00      0.10411    1.700e-02   
86     16410.00      0.07802    1.719e-02   
87     18408.00      0.04858    2.920e-02   
88     21308.00      0.04842    7.935e-03   
89     56404.00      0.01029    1.029e-02   
90    234855.00      0.02221    2.221e-02   
91    375770.00      0.01486    1.486e-02   
