#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0        821.27      0.58642    5.864e-01   
1        924.29      1.26540    9.613e-02   
2        972.58      1.47445    9.048e-02   
3       1008.70      1.54040    1.439e-01   
4       1056.00      2.02980    8.816e-02   
5       1094.50      2.40800    9.823e-02   
6       1129.40      2.19125    1.022e-02   
7       1177.00      2.00900    6.822e-02   
8       1208.05      2.80765    9.517e-03   
9       1234.70      2.76180    2.234e-02   
10      1270.95      3.03200    3.471e-02   
11      1318.00      2.72100    3.006e-02   
12      1345.95      2.82000    9.420e-03   
13      1377.30      2.85055    9.651e-03   
14      1411.30      2.95600    7.301e-03   
15      1454.80      2.85170    7.571e-03   
16      1490.80      2.65800    7.718e-03   
17      1517.65      2.46640    1.170e-02   
18      1551.50      2.70660    3.025e-03   
19      1585.45      2.59120    2.257e-02   
20      1618.60      2.49960    1.237e-02   
21      1638.75      2.45680    1.364e-02   
22      1686.70      2.43140    2.055e-02   
23      1706.20      2.42115    9.156e-03   
24      1755.50      2.35210    3.050e-03   
25      1786.60      2.23140    1.141e-02   
26      1843.00      2.13020    5.586e-03   
27      1890.70      1.97080    1.381e-02   
28      1933.00      1.84420    1.496e-02   
29      1999.90      1.80670    2.006e-02   
30      2031.50      1.56780    9.690e-03   
31      2089.00      1.61810    7.859e-03   
32      2135.50      1.66450    1.103e-02   
33      2191.50      1.46440    1.460e-02   
34      2218.75      1.52115    1.794e-02   
35      2279.90      1.50450    1.032e-02   
36      2328.45      1.48035    1.712e-02   
37      2384.30      1.22370    1.473e-02   
38      2484.55      1.31860    1.152e-02   
39      2566.20      1.17890    1.049e-02   
40      2601.20      1.27750    9.437e-03   
41      2651.20      1.20000    1.742e-02   
42      2747.00      1.21990    1.141e-02   
43      2794.65      1.15180    6.505e-03   
44      2853.00      1.20860    1.847e-02   
45      2878.30      1.12210    9.662e-03   
46      2924.40      1.06440    1.133e-02   
47      3013.05      1.02760    1.896e-02   
48      3113.70      0.77465    1.794e-02   
49      3143.80      0.87667    8.001e-03   
50      3207.05      1.01470    1.237e-02   
51      3235.80      0.99722    1.205e-02   
52      3338.20      1.01445    1.847e-02   
53      3403.50      1.00580    5.269e-03   
54      3446.70      0.98469    1.317e-02   
55      3500.90      0.79570    1.775e-02   
56      3557.20      1.13060    7.761e-03   
57      3643.60      1.09830    1.398e-02   
58      3772.65      1.10750    1.244e-02   
59      3838.30      1.00430    9.936e-03   
60      3911.35      1.05892    1.399e-02   
61      4018.20      1.08640    6.412e-03   
62      4138.75      1.12470    7.911e-03   
63      4231.75      1.09350    8.199e-03   
64      4339.20      0.94138    8.689e-03   
65      4434.70      1.01959    1.974e-02   
66      4493.00      1.00170    3.255e-02   
67      4628.95      0.99118    9.532e-03   
68      4766.10      1.09230    1.724e-02   
69      4856.05      1.00016    6.821e-03   
70      5256.90      0.90598    4.913e-03   
71      5400.50      0.86164    2.545e-02   
72      5452.00   32001.00000    3.200e+04   
73      5599.50      0.75987    3.073e-03   
74      5829.40      0.72887    9.578e-03   
75      5901.95      0.68869    1.992e-02   
76      6065.10      0.68966    7.312e-03   
77      6215.10      0.75139    2.970e-03   
78      8410.75      0.44321    3.017e-04   
79      9266.50      0.41144    2.475e-04   
80      9846.65      0.38693    4.653e-04   
81     11016.00      0.34349    2.052e-04   
82     11823.00      0.27855    2.609e-04   
83     12695.00      0.27511    3.674e-04   
84     14350.00      0.17241    3.318e-02   
85     15653.00      0.18233    5.503e-02   
86     17026.50      0.15250    3.595e-02   
87     19945.00      0.12773    2.194e-02   
88     21745.00      0.05324    6.206e-02   
89     60335.00      0.02235    2.235e-02   
90    256250.00      0.02166    2.166e-02   
91    410005.00      0.01224    1.224e-02   
