#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0        895.23      0.21577    2.887e-01   
1        932.65      0.68234    2.446e-01   
2        976.36      0.90940    4.622e-02   
3       1036.20      0.96654    1.394e-01   
4       1071.95      1.02425    9.748e-03   
5       1115.30      0.95945    2.542e-02   
6       1160.30      1.32415    2.246e-02   
7       1204.80      1.16060    3.786e-02   
8       1253.90      1.50500    1.574e-02   
9       1285.05      1.42670    3.061e-02   
10      1325.00      1.57480    1.540e-03   
11      1357.75      1.69615    1.320e-02   
12      1383.90      1.70280    5.797e-03   
13      1408.85      1.72590    1.467e-02   
14      1438.20      1.60020    1.527e-02   
15      1468.80      1.68335    1.242e-02   
16      1492.55      1.60225    2.475e-02   
17      1535.60      1.68830    4.012e-03   
18      1548.80      1.59495    8.857e-03   
19      1580.70      1.58850    7.155e-03   
20      1608.55      1.56520    9.123e-03   
21      1631.30      1.48380    7.109e-03   
22      1649.45      1.59130    1.076e-02   
23      1675.60      1.63470    6.854e-03   
24      1718.10      1.44855    5.228e-03   
25      1757.55      1.47350    7.000e-03   
26      1795.20      1.41090    7.120e-03   
27      1841.60      1.49500    7.625e-03   
28      1867.90      1.32080    1.005e-02   
29      1910.55      1.35835    1.890e-02   
30      1941.00      1.25470    8.375e-03   
31      1980.15      1.23980    1.915e-02   
32      2023.20      1.06070    8.932e-03   
33      2059.10      1.24130    4.431e-02   
34      2102.00      1.15885    9.861e-03   
35      2128.70      1.11020    9.987e-03   
36      2194.60      1.01940    7.507e-03   
37      2213.70      0.95730    4.007e-02   
38      2285.25      0.98309    5.632e-03   
39      2339.40      0.91565    1.240e-02   
40      2421.75      0.86874    1.261e-02   
41      2493.45      0.97585    4.383e-03   
42      2536.30      0.57697    2.481e-02   
43      2576.80      0.95454    1.061e-02   
44      2646.10      0.84211    1.140e-02   
45      2719.65      0.97375    7.595e-03   
46      2777.10      0.90703    1.516e-02   
47      2826.70      0.85614    7.608e-03   
48      2928.50      0.84156    1.755e-02   
49      2993.10      0.91108    5.175e-03   
50      3032.20      0.81034    4.640e-03   
51      3104.60      0.83754    6.362e-03   
52      3154.65      0.78943    1.338e-02   
53      3231.70      0.84674    1.117e-03   
54      3287.45      0.83729    1.440e-02   
55      3345.20      0.83791    9.562e-03   
56      3439.45      0.92355    1.253e-02   
57      3526.25      0.82472    4.963e-03   
58      3605.30      0.93529    6.769e-03   
59      3684.95      1.00009    3.839e-03   
60      3769.60      0.93198    6.211e-03   
61      3880.20      0.96384    1.921e-03   
62      3983.60      0.90404    2.666e-03   
63      4026.30      0.95252    6.263e-03   
64      4136.90      1.06195    8.506e-03   
65      4282.60      1.03420    4.425e-03   
66      4363.15      1.04140    4.862e-03   
67      4442.50      1.00000    1.577e-03   
68      4584.45      0.94952    8.168e-03   
69      4864.00      0.89322    1.356e-03   
70      5206.75      0.87694    6.150e-03   
71      5252.20      0.82210    2.508e-02   
72      5355.35      0.84839    4.222e-03   
73      5512.55      0.81473    4.660e-03   
74      5580.60      0.73013    2.016e-03   
75      5707.95      0.76758    5.461e-03   
76      5970.60      0.79763    5.711e-03   
77      6134.15      0.79083    4.318e-03   
78      7191.70      0.67829    5.264e-04   
79      8768.80      0.51537    7.279e-05   
80      9523.30      0.45943    2.717e-05   
81     10801.00      0.41737    9.320e-05   
82     11626.50      0.37581    4.691e-05   
83     12506.00      0.31951    1.528e-05   
84     13986.00      0.29858    1.210e-02   
85     15077.00      0.27088    1.126e-03   
86     16653.50      0.23281    1.436e-02   
87     19781.00      0.19348    3.799e-03   
88     21993.50      0.11061    2.196e-03   
89     61217.50      0.03351    2.916e-03   
90    258135.00      0.01379    1.379e-02   
91    413015.00      0.01006    5.810e-03   
