#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0        818.15      0.57438    5.744e-01   
1        902.42      0.38667    3.867e-01   
2        965.58      0.41087    4.109e-01   
3       1008.70      0.58936    2.632e-01   
4       1041.50      0.96371    5.083e-02   
5       1080.10      0.84003    4.501e-02   
6       1132.20      0.90094    8.757e-02   
7       1168.70      1.14320    3.202e-02   
8       1199.05      0.96728    9.495e-02   
9       1235.60      1.19010    3.690e-02   
10      1257.50      1.48170    3.938e-02   
11      1291.40      1.65750    2.100e-02   
12      1327.60      1.56550    2.446e-02   
13      1354.60      1.67540    1.721e-02   
14      1376.30      1.56655    1.998e-02   
15      1407.30      1.51350    2.459e-02   
16      1425.30      1.59330    9.490e-03   
17      1458.50      1.59900    1.719e-02   
18      1474.10      1.66170    1.110e-02   
19      1493.70      1.68640    2.457e-02   
20      1527.80      1.64700    6.146e-03   
21      1548.10      1.65090    1.783e-02   
22      1597.20      1.56920    2.516e-02   
23      1628.10      1.51000    1.710e-02   
24      1653.40      1.52730    6.550e-03   
25      1673.80      1.57410    1.775e-02   
26      1707.15      1.56145    1.344e-02   
27      1737.70      1.55950    7.074e-03   
28      1756.00      1.54770    3.237e-03   
29      1787.20      1.53540    7.625e-03   
30      1818.50      1.41330    7.684e-03   
31      1873.40      1.36720    1.168e-02   
32      1909.10      1.40960    2.051e-02   
33      1971.30      1.32400    1.320e-02   
34      2000.50      1.18970    8.602e-03   
35      2042.60      1.17330    2.208e-02   
36      2082.10      1.11200    1.122e-02   
37      2124.50      1.09290    1.393e-02   
38      2153.95      1.12790    6.180e-03   
39      2211.00      1.05720    2.310e-02   
40      2249.20      1.04110    8.380e-03   
41      2331.10      1.01910    1.083e-02   
42      2379.20      1.03250    8.094e-03   
43      2453.00      0.97704    9.692e-03   
44      2511.15      1.01350    1.159e-02   
45      2571.10      0.95169    7.240e-03   
46      2656.00      0.99250    1.827e-02   
47      2719.60      0.92467    6.031e-03   
48      2767.20      0.95933    8.501e-03   
49      2850.40      0.91969    7.513e-03   
50      2919.65      0.93654    1.241e-02   
51      2951.70      0.91254    5.406e-03   
52      3006.10      0.91008    5.689e-03   
53      3093.10      0.90999    1.116e-02   
54      3170.90      0.85477    1.186e-02   
55      3237.40      0.87275    2.723e-03   
56      3304.90      0.79039    8.084e-03   
57      3425.60      0.90137    5.560e-03   
58      3486.00      0.93090    2.940e-03   
59      3544.00      0.93127    6.162e-03   
60      3621.90      0.89735    5.433e-03   
61      3696.60      0.96285    7.348e-03   
62      3818.05      1.04405    5.277e-03   
63      3896.00      1.00110    6.743e-03   
64      4022.40      1.05380    4.825e-03   
65      4126.70      1.02860    1.172e-02   
66      4288.70      1.03150    4.153e-03   
67      4353.10      1.00680    3.272e-03   
68      4542.70      0.98039    1.473e-02   
69      4702.80      0.94404    5.328e-03   
70      4835.30      0.96461    4.515e-03   
71      5061.00      0.90765    8.347e-03   
72      5143.50      0.85183    7.036e-03   
73      5296.20      0.81844    9.794e-03   
74      5503.70      0.69867    6.976e-03   
75      5648.90      0.68994    1.438e-02   
76      5842.10      0.69120    1.754e-03   
77      5994.20      0.63522    6.364e-03   
78      6070.90      0.69320    8.953e-04   
79      8433.10      0.42045    1.623e-04   
80      9336.45      0.37499    1.079e-04   
81      9984.10      0.33458    8.345e-05   
82     11162.00      0.28613    1.133e-04   
83     12460.00      0.22754    1.040e-04   
84     13540.00      0.16697    1.820e-02   
85     15024.00      0.15858    5.971e-03   
86     16541.00      0.15458    9.341e-03   
87     19444.00      0.07978    1.490e-02   
88     22024.00      0.07123    6.124e-03   
89     59419.00      0.01753    2.305e-02   
90    245860.00      0.03417    3.417e-02   
91    393375.00      0.02282    2.282e-02   
