#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0        827.24      0.25517    2.552e-01   
1        900.00      0.56155    5.615e-01   
2        941.98      0.31283    3.128e-01   
3        980.06      0.79928    7.993e-01   
4       1036.50      0.68145    1.866e-01   
5       1056.00      0.65578    7.384e-02   
6       1098.30      0.81381    9.273e-02   
7       1160.80      0.71740    1.261e-01   
8       1192.25      0.87414    6.825e-02   
9       1212.70      1.11510    5.518e-02   
10      1256.90      1.06980    9.156e-02   
11      1289.00      1.25810    3.667e-02   
12      1313.20      1.19070    7.806e-02   
13      1347.55      1.22960    3.446e-02   
14      1363.70      1.46220    1.532e-02   
15      1395.50      1.41930    7.462e-03   
16      1424.60      1.23060    5.629e-02   
17      1447.70      1.27630    1.933e-02   
18      1468.10      1.33960    2.339e-02   
19      1491.20      1.33420    4.605e-02   
20      1520.50      1.39410    1.467e-02   
21      1539.60      1.38890    1.250e-02   
22      1556.20      1.39310    1.055e-02   
23      1590.20      1.36260    4.672e-02   
24      1615.30      1.10290    2.825e-02   
25      1643.95      1.28620    2.974e-02   
26      1663.10      1.36480    1.683e-02   
27      1683.80      1.39030    1.392e-02   
28      1721.80      1.36250    3.416e-02   
29      1738.10      1.30460    1.647e-02   
30      1760.40      1.31605    1.410e-02   
31      1795.80      1.30310    1.122e-02   
32      1814.30      1.27390    1.403e-02   
33      1852.40      1.13230    5.637e-02   
34      1894.00      1.15730    5.662e-03   
35      1927.60      1.32300    7.480e-02   
36      1959.20      1.14230    1.651e-02   
37      1993.00      1.06190    2.513e-02   
38      2037.00      1.11870    7.541e-02   
39      2065.60      0.95655    2.702e-02   
40      2122.90      0.53588    2.169e-01   
41      2147.70      0.80300    4.829e-02   
42      2201.90      0.88810    1.851e-02   
43      2232.80      0.72346    2.660e-02   
44      2267.20      0.72930    7.624e-02   
45      2347.00      1.00260    1.455e-02   
46      2396.00      0.91803    3.904e-02   
47      2481.20      0.83634    1.527e-02   
48      2532.10      0.96927    1.736e-02   
49      2592.30      0.92721    1.779e-02   
50      2702.40      0.84074    8.399e-03   
51      2748.00      0.87799    7.617e-03   
52      2797.50      0.88865    8.499e-03   
53      2865.80      0.89280    1.294e-02   
54      2936.10      0.84637    1.915e-02   
55      3025.80      0.80534    1.028e-02   
56      3079.70      0.84850    5.658e-03   
57      3155.30      0.69516    1.794e-02   
58      3261.85      0.78649    5.687e-03   
59      3367.90      0.85554    2.586e-02   
60      3422.80      0.77197    4.171e-03   
61      3489.70      0.82714    7.679e-03   
62      3580.70      0.89187    1.311e-02   
63      3712.35      0.97823    9.463e-03   
64      3818.40      0.99260    8.397e-03   
65      3890.10      0.99954    9.149e-03   
66      4076.80      0.99817    5.467e-03   
67      4212.40      1.01990    7.706e-03   
68      4303.80      0.99560    1.317e-03   
69      4532.30      1.00610    8.530e-03   
70      4688.60      0.93961    3.871e-02   
71      4831.90      0.85860    8.301e-03   
72      5160.10      0.92874    2.034e-02   
73      5268.50      0.81638    2.542e-03   
74      5376.20      0.80179    2.366e-02   
75      5545.15      0.74897    7.392e-03   
76      5715.30      0.65971    3.897e-02   
77      5922.80      0.73564    2.170e-02   
78      6014.40      0.74116    2.639e-03   
79      7706.50      0.48513    2.448e-04   
80      8832.60      0.42322    1.217e-04   
81      9769.80      0.38097    7.127e-05   
82     10804.00      0.33207    1.062e-04   
83     11951.00      0.27374    1.192e-04   
84     12661.00      0.20169    3.831e-03   
85     14407.00      0.15769    5.830e-03   
86     16109.50      0.16613    3.387e-03   
87     19487.00      0.10007    4.303e-03   
88     21776.00      0.07319    3.030e-03   
89     59944.00      0.00787    4.913e-03   
90    250160.00      0.01380    1.380e-02   
91    400250.00      0.00894    8.936e-03   
